filer_cik,filer_name,filing_count,targets,latest_filing,earliest_filing,last_form_type,auto_classification,manual_classification,existing_entity_id,action,notes
1306550,BlackRock Energy & Resources Trust,2906,2049,2023-12-06,2022-12-30,SC 13G/A,INSTITUTION,MERGE,REPLACE_WITH_BLACKROCK_EID,add CIK identifier to BlackRock,Confirmed BlackRock entity
932471,Vanguard Horizon Funds,856,442,2024-12-06,2024-10-02,SC 13G/A,INSTITUTION,MERGE,REPLACE_WITH_VANGUARD_EID,add CIK identifier to Vanguard,Confirmed Vanguard entity
1184765,FIRST TRUST PORTFOLIOS LP,445,102,2024-12-06,2022-01-10,SC 13G/A,INSTITUTION,MERGE,REPLACE_WITH_FIRST_TRUST_PORTFOLIOS_EID,add CIK identifier to First Trust Portfolios,Confirmed First Trust Portfolios entity
1678858,Wellington Management Group LLP,221,221,2022-02-04,2022-02-04,SC 13G/A,INSTITUTION,MERGE,REPLACE_WITH_WELLINGTON_MANAGEMENT_EID,add CIK identifier to Wellington Management,Confirmed Wellington Management entity
947871,Shearman & Sterling LLP,175,76,2024-11-21,2022-01-19,SC 13G/A,LIKELY_LAW_FIRM,LAW_FIRM,,,
918923,BIOTECHNOLOGY VALUE FUND L P,144,57,2024-12-17,2022-01-03,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",
1319244,Integrated Core Strategies (us) LLC,106,72,2024-11-07,2022-01-18,SC 13G/A,INSTITUTION,MERGE,REPLACE_WITH_MILLENNIUM_MANAGEMENT_EID,add CIK identifier to Millennium Management,Confirmed Millennium Management entity
1352546,Flynn James E,94,43,2024-11-15,2022-02-08,SC 13G/A,INSTITUTION,INDIVIDUAL,,,
1171520,Electronic Publishing Services Inc,78,32,2024-11-14,2022-01-25,SC 13G/A,INSTITUTION,EXCLUDE,,,Likely filing agent - 78 filings across targets
1131362,HIRSCHMAN ORIN,69,34,2024-11-08,2022-01-07,SC 13G/A,INSTITUTION,INDIVIDUAL,,,
905718,Lowenstein Sandler LLP,42,38,2022-04-14,2022-01-03,SC 13G/A,LIKELY_LAW_FIRM,LAW_FIRM,,,
1451785,HM Treasury,37,1,2024-11-25,2022-01-18,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as SWF",UK Government Treasury
1449433,"Apollo Management Holdings GP, LLC",36,15,2024-11-14,2022-01-04,SC 13G/A,INSTITUTION,MERGE,REPLACE_WITH_APOLLO_GLOBAL_MANAGEMENT_EID,add CIK identifier to Apollo Global Management,Confirmed Apollo Global Management entity
936828,GIC Private Ltd,36,18,2024-12-10,2022-01-24,SC 13G/A,INSTITUTION,MERGE,REPLACE_WITH_GIC_EID,add CIK identifier to GIC,Confirmed GIC entity
