crd,firm_name,aum_billions,stratum,parsed_total,parsed_entities,entity_names,in_matched,audit_status,audit_entities_correct,audit_entities_missed,audit_codes_correct,audit_notes,audit_pymupdf_entities,audit_plumber_entities,audit_common,audit_code_match,audit_pymupdf_only,audit_plumber_only,audit_size_mb
109355,"MDT ADVISERS, A DIVISION OF FEDERATED MDTA LLC",11.66,matched_large,11,5,"FEDERATED MDTA TRUST(E); HBSS ACQUISITION CO.(C); FII HOLDINGS, INC.(E); FEDERATED HERMES, INC.(E); FEDERATED MDTA TRUST(E)",True,MATCH,,,,,4,4,4,4,,,1.7
105377,"LOOMIS, SAYLES & COMPANY, L.P.",350.89,matched_large,15,2,"LOOMIS, SAYLES & COMPANY, INCORPORATED(NA); NATIXIS INVESTMENT MANAGERS, LLC(E)",True,PLUMBER_EXTRA,,,,,6,2,0,0,"BPCE; MANAGERS, LLC; INCORPORATED","LOOMIS, SAYLES & COMPANY, INCORPORATED; NATIXIS INVESTMENT MANAGERS, LLC",3.2
301973,PTMA INVESTMENT ADVISORS,27.79,matched_large,32,17,"PUBLIC TRUST ADVISORS, LLC(E); PMA PARENT HOLDINGS, LLC(E); TA PMA INTERMEDIATE, LLC(E); TA PMA PURCHASER, LLC(E); PMA-PTA HOLDINGS, LLC(E)",True,MATCH,,,,,17,17,17,17,,,1.2
160925,"GRAHAM CAPITAL MANAGEMENT, L.P.",28.54,matched_large,17,7,"KGT INVESTMENT PARTNERS, L.P.(E); KGT GP LLC(NA); KGT CAPITAL LIMITED PARTNERSHIP(E); KGT, INC.(E); KENNETH G. TROPIN REVOCABLE TRUST(E)",True,CODE_MISMATCH,,,,,8,7,7,6,"GRAHAM CAPITAL MANAGEMENT, L.P.",,5.0
144594,"O'SHAUGHNESSY ASSET MANAGEMENT, LLC",19.78,matched_large,14,1,"FRANKLIN RESOURCES, INC.(E)",True,MATCH,,,,,1,1,1,1,,,1.1
138653,J O HAMBRO CAPITAL MANAGEMENT LIMITED,23.28,matched_large,12,3,PENDAL GROUP LIMITED(E); PERPETUAL ACQUISITION COMPANY LIMITED(E); PERPETUAL LIMITED(E),True,PLUMBER_EXTRA,,,,,3,3,2,2,COMPANY LIMITED,PERPETUAL ACQUISITION COMPANY LIMITED,1.8
107338,"SUNAMERICA ASSET MANAGEMENT, LLC",57.42,matched_large,29,19,"APH HOLDINGS, L.P.(E); APO CORP.(E); APOLLO ASSET MANAGEMENT, INC(E); APOLLO HYBRID VALUE CREDIT HOLDINGS, L.P(D); APOLLO HYBRID VALUE FUND, L.P(D)",True,PLUMBER_EXTRA,,,,,19,19,16,16,"(BERMUDA) LTD; VENERABLE HOLDINGS, INC.; GMBH & CO KG",ATHORA LEBENSVERSICHERUNG AG; ATHORA DEUTSCHLAND HOLDING GMBH & CO KG; ATHORA EUROPE HOLDING (BERMUDA) LTD,1.1
111883,"AQR CAPITAL MANAGEMENT, LLC",160.52,matched_large,14,4,"HOLDINGS, LLC(E); AQR CAPITAL MANAGEMENT GROUP, L.P.(D); AFFILIATED MANAGERS GROUP, INC.(E); TOPSPIN ACQUISITION, LLC(C)",True,PYMUPDF_ONLY,,,,,4,0,0,0,"AQR CAPITAL MANAGEMENT GROUP, L.P.; TOPSPIN ACQUISITION, LLC; AFFILIATED MANAGERS GROUP, INC.",,36.0
106975,"VAUGHAN NELSON INVESTMENT MANAGEMENT, L.P.",15.87,matched_large,14,7,"NATIXIS INVESTMENT MANAGERS, LLC(E); VAUGHAN NELSON INVESTMENT MANAGEMENT, IN(NA); NATIXIS INVESTMENT MANAGERS(E); NATIXIS INVESTMENT MANAGERS, LLC(E); NATIXIS INVESTMENT MANAGERS PARTICIPATIO(E)",True,PLUMBER_EXTRA,,,,,6,6,4,4,"MANAGEMENT, INC.; PARTICIPATIONS 1","NATIXIS INVESTMENT MANAGERS PARTICIPATIONS 1; VAUGHAN NELSON INVESTMENT MANAGEMENT, INC.",1.9
157920,"CLEARLAKE CAPITAL GROUP, L.P.",79.58,matched_large,132,45,"CLEARLAKE CAPITAL GROUP GP,(NA); CCG OPERATIONS, LLC(E); CCG GLOBAL, LLC(E); HOLDINGS, L.P.(E); CCG OPERATIONS, LLC(D)",True,PYMUPDF_ONLY,,,,,14,0,0,0,"CCG MEMBERCO LIMITED; CLEARLAKE CAPITAL PARENT HOLDINGS, L.P.; CLEARLAKE CAPITAL GROUP, L.P.",,26.0
