parent_eid,parent_name,orphan_eid,orphan_name,score,action
152,"CARILLON TOWER ADVISERS, INC.",18802,"CARILLON TOWER ADVISERS, INC.",100.0,WIRE
864,"METLIFE INVESTMENT MANAGEMENT, LLC",18180,"METLIFE INVESTMENT MANAGEMENT, LLC",100.0,WIRE
4460,CRESCENT CAPITAL GROUP LP,19861,CRESCENT CAPITAL GROUP LP,100.0,WIRE
5000,BROOKFIELD PUBLIC SECURITIES GROUP LLC,19838,BROOKFIELD PUBLIC SECURITIES GROUP LLC,100.0,WIRE
5022,PROSHARE ADVISORS LLC,19368,PROSHARE ADVISORS LLC,100.0,WIRE
7623,GQG PARTNERS LLC,18062,GQG PARTNERS LLC,100.0,WIRE
7646,CENTERSQUARE INVESTMENT MANAGEMENT LLC,18243,CENTERSQUARE INVESTMENT MANAGEMENT LLC,100.0,WIRE
8473,NEW YORK LIFE INVESTMENT MANAGEMENT LLC,18315,NEW YORK LIFE INVESTMENT MANAGEMENT LLC,100.0,WIRE
11166,CBRE INVESTMENT MANAGEMENT LISTED REAL ASSETS LLC,18645,CBRE INVESTMENT MANAGEMENT LISTED REAL ASSETS LLC,100.0,WIRE
17916,"LORD, ABBETT & CO. LLC",893,"LORD, ABBETT & CO. LLC",100.0,WIRE
17992,EULAV ASSET MANAGEMENT,7667,EULAV ASSET MANAGEMENT,100.0,WIRE
18027,"LISANTI CAPITAL GROWTH, LLC",8199,"LISANTI CAPITAL GROWTH, LLC",100.0,WIRE
18028,"POLARIS CAPITAL MANAGEMENT, LLC",9141,"POLARIS CAPITAL MANAGEMENT, LLC",100.0,WIRE
18037,"OAKTREE FUND ADVISORS, LLC",7459,"OAKTREE FUND ADVISORS, LLC",100.0,WIRE
18051,NATIONWIDE FUND ADVISORS,3313,NATIONWIDE FUND ADVISORS,100.0,WIRE
18177,"BRIGHTHOUSE INVESTMENT ADVISERS, LLC",7758,"BRIGHTHOUSE INVESTMENT ADVISERS, LLC",100.0,WIRE
18286,"GRANTHAM, MAYO, VAN OTTERLOO & CO. LLC",7119,"GRANTHAM, MAYO, VAN OTTERLOO & CO. LLC",100.0,WIRE
18370,EASTERLY INVESTMENT PARTNERS LLC,7781,EASTERLY INVESTMENT PARTNERS LLC,100.0,WIRE
18378,"AMERICAN BEACON ADVISORS, INC.",10486,"AMERICAN BEACON ADVISORS, INC.",100.0,WIRE
18514,FEDERATED MDTA LLC,6221,FEDERATED MDTA LLC,100.0,WIRE
