crd,firm_name,legal_name,city,state,aum_billions,name_match_score,flag
104596,DODGE & COX,DODGE & COX,SAN FRANCISCO,CA,400.29,100,MINOR_VARIANT
110296,BAILLIE GIFFORD OVERSEAS LTD,BAILLIE GIFFORD OVERSEAS LTD,EDINBURGH,,162.55,100,MINOR_VARIANT
107160,PAYDEN & RYGEL,PAYDEN & RYGEL,LOS ANGELES,CA,150.95,100,MINOR_VARIANT
115785,THRIVENT FINANCIAL FOR LUTHERANS,THRIVENT FINANCIAL FOR LUTHERANS,MINNEAPOLIS,MN,141.11,100,MINOR_VARIANT
105516,PRIMECAP MANAGEMENT CO,PRIMECAP MANAGEMENT CO,PASADENA,CA,135.87,100,MINOR_VARIANT
151480,"SANDERS CAPITAL, LLC","SANDERS CAPITAL, LLC",WEST PALM BEACH,FL,100.24,100,MINOR_VARIANT
104702,WCM INVESTMENT MANAGEMENT,"WCM INVESTMENT MANAGEMENT, LLC",LAGUNA BEACH,CA,74.69,91,MINOR_VARIANT
317431,PINESTONE ASSET MANAGEMENT INC.,PINESTONE ASSET MANAGEMENT INC.,"MONTREAL, QUEBEC",,50.78,100,MINOR_VARIANT
104727,"MONETA GROUP INVESTMENT ADVISORS, LLC","MONETA GROUP INVESTMENT ADVISORS, LLC",ST. LOUIS,MO,42.8,100,MINOR_VARIANT
107271,SAVANT WEALTH MANAGEMENT,"SAVANT CAPITAL,  LLC",ROCKFORD,IL,38.13,42,DBA_MISMATCH
130099,"INVESTURE, LLC","INVESTURE, LLC",CHARLOTTESVILLE,VA,35.03,100,MINOR_VARIANT
107022,JACOBS LEVY EQUITY MANAGEMENT,JACOBS LEVY EQUITY MANAGEMENT INC,FLORHAM PARK,NJ,31.27,94,MINOR_VARIANT
106422,EAGLE CAPITAL MANAGEMENT LLC,EAGLE CAPITAL MANAGEMENT LLC,NEW YORK,NY,31.19,100,MINOR_VARIANT
104796,CLARK CAPITAL MANAGEMENT GROUP INC,CLARK CAPITAL MANAGEMENT GROUP INC,PHILADELPHIA,PA,30.55,100,MINOR_VARIANT
110093,LUTHER KING CAPITAL MANAGEMENT CORPORATION,LUTHER KING CAPITAL MANAGEMENT CORPORATION,FORT WORTH,TX,30.15,100,MINOR_VARIANT
22998,"MUZINICH & CO., INC.","MUZINICH & CO., INC.",NEW YORK,NY,27.31,100,MINOR_VARIANT
107033,FULLER & THALER ASSET MANAGEMENT INC,FULLER & THALER ASSET MANAGEMENT INC,SAN MATEO,CA,27.11,100,MINOR_VARIANT
309733,RUFFER LLP,RUFFER LLP,LONDON,,24.2,100,MINOR_VARIANT
106139,BAHL & GAYNOR INC,BAHL & GAYNOR INC,CINCINNATI,OH,20.99,100,MINOR_VARIANT
117054,"JOHNSON INVESTMENT COUNSEL, INC.","JOHNSON INVESTMENT COUNSEL, INC.",CINCINNATI,OH,20.87,100,MINOR_VARIANT
110425,"MATSON MONEY, INC.","MATSON MONEY, INC.",MASON,OH,20.57,100,MINOR_VARIANT
159641,COMPREHENSIVE FINANCIAL MANAGEMENT LLC,COMPREHENSIVE FINANCIAL MANAGEMENT LLC,LOS GATOS,CA,17.89,100,MINOR_VARIANT
118608,ORBIMED ADVISORS LLC,ORBIMED ADVISORS LLC,NEW YORK,NY,17.34,100,MINOR_VARIANT
157594,HIMALAYA CAPITAL,HIMALAYA CAPITAL MANAGEMENT LLC,SEATTLE,WA,17.18,68,DBA_MISMATCH
298735,KIRKOSWALD ASSET MANAGEMENT LLC,KIRKOSWALD ASSET MANAGEMENT LLC,NEW YORK,NY,16.09,100,MINOR_VARIANT
157349,MADISON DEARBORN PARTNERS,"MADISON DEARBORN PARTNERS, LLC",CHICAGO,IL,16.08,91,MINOR_VARIANT
171412,ETF ARCHITECT,"EMPOWERED FUNDS, LLC",NEWTOWN SQUARE,PA,16.05,24,DBA_MISMATCH
106355,SPRUCEGROVE INVESTMENT MANAGEMENT LTD,SPRUCEGROVE INVESTMENT MANAGEMENT LTD,"TORONTO, ONTARIO",,15.38,100,MINOR_VARIANT
108601,BRIGHTON JONES LLC,BRIGHTON JONES LLC,SEATTLE,WA,14.99,100,MINOR_VARIANT
109149,"FIDUCIARY MANAGEMENT, INC.","FIDUCIARY MANAGEMENT, INC.",MILWAUKEE,WI,14.98,100,MINOR_VARIANT
163706,BOOTHBAY FUND MANAGEMENT,"BOOTHBAY FUND MANAGEMENT, LLC",NEW YORK,NY,14.51,91,MINOR_VARIANT
163776,"PDT PARTNERS, LLC","PDT PARTNERS, LLC",NEW YORK,NY,14.02,100,MINOR_VARIANT
312511,"YOUSIF CAPITAL MANAGEMENT, LLC","YOUSIF CAPITAL MANAGEMENT, LLC",BLOOMFIELD HILLS,MI,13.98,100,MINOR_VARIANT
110049,"APPLETON PARTNERS, INC.","APPLETON PARTNERS, INC.",BOSTON,MA,13.45,100,MINOR_VARIANT
126246,"IRA GROUP, INC.","INVESTMENT RESEARCH & ADVISORY GROUP, INC.",ATLANTA,GA,13.2,53,DBA_MISMATCH
107153,"LORING, WOLCOTT & COOLIDGE FIDUCIARY ADVISORS, LLP","LORING, WOLCOTT & COOLIDGE FIDUCIARY ADVISORS, LLP",BOSTON,MA,12.91,100,MINOR_VARIANT
108805,COLDSTREAM WEALTH MANAGEMENT,COLDSTREAM CAPITAL MANAGEMENT INC,BELLEVUE,WA,12.44,69,DBA_MISMATCH
125780,CAPITAL FUND MANAGEMENT S.A.,CAPITAL FUND MANAGEMENT S.A.,PARIS,,12.27,100,MINOR_VARIANT
149335,"GOTHAM ASSET MANAGEMENT, LLC","GOTHAM ASSET MANAGEMENT, LLC",NEW YORK,NY,12.13,100,MINOR_VARIANT
125012,WESTWOOD GLOBAL INVESTMENTS,WESTWOOD GLOBAL INVESTMENTS LLC,PARK CITY,UT,11.82,93,MINOR_VARIANT
140746,WHALE ROCK CAPITAL MANAGEMENT,WHALE ROCK CAPITAL MANAGEMENT LLC,BOSTON,MA,11.67,94,MINOR_VARIANT
104729,GREENHAVEN ASSOCIATES INC,GREENHAVEN ASSOCIATES INC,PURCHASE,NY,11.66,100,MINOR_VARIANT
2002,GILDER GAGNON HOWE & CO. LLC,GILDER GAGNON HOWE & CO. LLC,NEW YORK,NY,11.6,100,MINOR_VARIANT
150764,"CAPITAL WEALTH PLANNING, LLC","CAPITAL WEALTH PLANNING, LLC",NAPLES,FL,11.42,100,MINOR_VARIANT
