crd_number,sec_file_number,cik,firm_name,legal_name,city,state,address,adv_5f_raum,adv_5f_raum_discrtnry,adv_5f_raum_non_discrtnry,adv_5f_num_accts,pct_discretionary,strategy_inferred,is_activist,has_hedge_funds,has_pe_funds,has_vc_funds
38,801-57838,,AMERICAN INVESTORS CO,"L.S.Y., INC",SAN RAMON,CA,"12667 ALCOSTA BLVD., SUITE 160",578062390.0,576373248.0,1689142.0,1530,99.71,active,False,N,N,N
70,801-56943,9319,"BCG SECURITIES, INC.","BCG SECURITIES, INC.",CHERRY HILL,NJ,51 HADDONFIELD ROAD,740027520.0,0.0,740027520.0,1900,0.0,passive,False,N,N,N
79,801-3702,1362244,J.P. MORGAN SECURITIES LLC,J.P. MORGAN SECURITIES LLC,NEW YORK,NY,270 PARK AVENUE,352605441286.0,289321282546.0,63284158740.0,1055400,82.05,active,False,N,N,N
199,801-45761,27182,D.A. DAVIDSON & CO.,D.A. DAVIDSON & CO.,GREAT FALLS,MT,8 THIRD STREET NORTH,41839245699.0,38297454732.0,3541790967.0,92146,91.53,active,False,N,N,N
231,801-54739,277871,BNY MELLON SECURITIES CORPORATION,BNY MELLON SECURITIES CORPORATION,NEW YORK,NY,240 GREENWICH STREET,7139421698.0,701258256.0,6438163442.0,3823,9.82,passive,False,N,N,N
249,801-887,,OPPENHEIMER & CO. INC.,OPPENHEIMER & CO. INC.,NEW YORK,NY,85 BROAD STREET,32418994154.0,12439025049.0,19979969105.0,37605,38.37,hedge_fund,False,Y,N,N
250,801-3297,53903,EDWARD JONES,"EDWARD D. JONES & CO., L.P.",ST. LOUIS,MO,12555 MANCHESTER RD,824988034503.0,342573363149.0,482414671354.0,5086856,41.52,unknown,False,N,N,N
265,801-41722,,ESI FINANCIAL ADVISORS,"EQUITY SERVICES, INC.",MONTPELIER,VT,ONE NATIONAL LIFE DRIVE,2451252093.0,527145911.0,1924106182.0,12116,21.51,unknown,False,N,N,N
319,801-67696,37846,FOLGER NOLAN FLEMING DOUGLAS INCORPORATED,FOLGER NOLAN FLEMING DOUGLAS INCORPORATED,WASHINGTON,DC,725 15TH STREET NW,857718871.0,0.0,857718871.0,471,0.0,passive,False,N,N,N
329,801-60335,85816,RUSSELL INVESTMENTS,"RUSSELL INVESTMENTS IMPLEMENTATION SERVICES, LLC",SEATTLE,WA,401 UNION STREET,79682796997.0,79544640226.0,138156771.0,152,99.83,passive,False,N,N,N
361,801-16048,769993,GOLDMAN SACHS & CO. LLC,GOLDMAN SACHS & CO. LLC,NEW YORK,NY,200 WEST STREET,114897715726.0,114628892923.0,268822803.0,41782,99.77,active,False,N,N,N
396,801-66333,,SECURITY CAPITAL MANAGEMENT,"HAZLETT, BURT & WATSON, INC.",WHEELING,WV,1300 CHAPLINE STREET,1197878280.0,619135939.0,578742341.0,2314,51.69,unknown,False,N,N,N
463,801-7258,200401,JANNEY MONTGOMERY SCOTT LLC,JANNEY MONTGOMERY SCOTT LLC,PHILADELPHIA,PA,1717 ARCH STREET,100795564390.0,64384829586.0,36410734804.0,239256,63.88,unknown,False,N,N,N
519,801-14059,5954,LINCOLN INVESTMENT,"LINCOLN INVESTMENT PLANNING, LLC",FORT WASHINGTON,PA,601 OFFICE CENTER DRIVE,18904482714.0,8877698796.0,10026783918.0,201292,46.96,unknown,False,N,N,N
594,801-48726,1607239,"MOORS & CABOT, INC","MOORS & CABOT, INC.",BOSTON,MA,ONE FEDERAL STREET,3437764388.0,3207189473.0,230574915.0,5074,93.29,active,False,N,N,N
611,801-61332,,"MUTUAL OF OMAHA INVESTOR SERVICES, INC.","MUTUAL OF OMAHA INVESTOR SERVICES, INC.",OMAHA,NE,3300 MUTUAL OF OMAHA PLAZA,24355321.0,24355321.0,0.0,116,100.0,active,False,N,N,N
628,801-63623,,"FIFTH THIRD SECURITIES, INC.","FIFTH THIRD SECURITIES, INC.",CINCINNATI,OH,34 FOUNTAIN SQUARE PLAZA,9127646064.0,9127646064.0,0.0,43067,100.0,active,False,N,N,N
665,801-108049,,PIPER SANDLER & CO.,PIPER SANDLER & CO.,MINNEAPOLIS,MN,350 NORTH 5TH STREET,1985004532.0,0.0,1985004532.0,1,0.0,passive,False,N,N,N
705,801-10418,1084208,"RAYMOND JAMES & ASSOCIATES, INC.","RAYMOND JAMES & ASSOCIATES, INC.",ST. PETERSBURG,FL,880 CARILLON PARKWAY,500955604975.0,378677672587.0,122277932388.0,1143145,75.59,unknown,False,N,N,N
713,801-113034,90108,RICHARDS MERRILL WEALTH MANAGEMENT,"RICHARDS, MERRILL & PETERSON, INC.",SPOKANE,WA,612 WEST MAIN STREET,514464239.0,423149655.0,91314584.0,1061,82.25,active,False,N,N,N
728,801-7395,,ROTHSCHILD INVESTMENT,ROTHSCHILD INVESTMENT LLC,CHICAGO,IL,311 SOUTH WACKER DRIVE,2310915581.0,2280060353.0,30855228.0,2425,98.66,private_equity,False,N,N,Y
793,801-10746,948905,"STIFEL, NICOLAUS & COMPANY, INCORPORATED","STIFEL, NICOLAUS & COMPANY, INCORPORATED",ST LOUIS,MO,501 N BROADWAY,171209609487.0,107751106114.0,63458503373.0,368405,62.94,private_equity,False,N,N,Y
824,801-60881,1480751,"AMOVA ASSET MANAGEMENT AMERICAS, INC.","AMOVA ASSET MANAGEMENT AMERICAS, INC.",NEW YORK,NY,605 THIRD AVENUE,9037916729.0,8950541056.0,87375673.0,18,99.03,active,False,N,N,N
877,801-6358,1142495,WEDBUSH SECURITIES INC.,WEDBUSH SECURITIES INC.,PASADENA,CA,ATTN: COMPLIANCE DEPT.,5684848455.0,3935472537.0,1749375918.0,10048,69.23,unknown,False,N,N,N
908,801-126111,728216,"WULFF, HANSEN & CO.","WULFF, HANSEN & CO.",SAN RAFAEL,CA,100 SMITH RANCH ROAD,132528477.0,132528477.0,0.0,138,100.0,active,False,N,N,N
1037,801-10334,3475,ALEXANDER INVESTMENT SERVICES CO.,ALEXANDER INVESTMENT SERVICES CO.,LOUISVILLE,KY,909 LILY CREEK ROAD #101,496269176.0,12299900.0,483969276.0,1250,2.48,passive,False,N,N,N
1047,801-129805,,"M. E. ALLISON & CO., INC.","M. E. ALLISON & CO., INC.",SAN ANTONIO,TX,"950 E. BASSE ROAD, 2ND FL.",287435346.0,225471242.0,61964104.0,405,78.44,unknown,False,N,N,N
1137,801-54949,12600,"PRINCIPAL SECURITIES, INC.","PRINCIPAL SECURITIES, INC.",DES MOINES,IA,711 HIGH STREET,14827718110.0,10852399521.0,3975318589.0,63730,73.19,unknown,False,N,N,N
1175,801-110786,,BARRETT & COMPANY,"BARRETT & COMPANY, INC.",PROVIDENCE,RI,42 WEYBOSSET STREET,453480963.0,399363885.0,54117078.0,1040,88.07,active,False,N,N,N
1249,801-118955,,JAMES I. BLACK & COMPANY,JAMES I. BLACK & COMPANY,LAKELAND,FL,311 SOUTH FLORIDA AVENUE,144067165.0,0.0,144067165.0,130,0.0,passive,False,N,N,N
1252,801-688,12518,WILLIAM BLAIR & COMPANY L.L.C.,WILLIAM BLAIR & COMPANY L.L.C.,CHICAGO,IL,150 NORTH RIVERSIDE PLAZA,58329726421.0,52903700483.0,5426025938.0,37973,90.7,private_equity,False,N,Y,N
1329,801-117531,,"SMITH, BROWN & GROOVER INC. D/B/A SBG WEALTH MANAGEMENT","SMITH, BROWN & GROOVER, INC.",MACON,GA,4001 VINEVILLE AVE,283344603.0,283344603.0,0.0,715,100.0,active,False,N,N,N
1331,801-121156,14745,"BROWN, LISLE/CUMMINGS, INC","BROWN, LISLE/CUMMINGS, INC.",PROVIDENCE,RI,ONE TURKS HEAD PLACE,414675665.0,408159483.0,6516182.0,445,98.43,active,False,N,N,N
1464,801-71639,20502,"ASSOCIATED INVESTMENT SERVICES, INC.","ASSOCIATED INVESTMENT SERVICES, INC.",GREEN BAY,WI,433 MAIN STREET,1000633569.0,0.0,1000633569.0,5050,0.0,passive,False,N,N,N
