parent_crd,parent_name,parent_eid,parent_aum_b,orphan_eid,orphan_name,name_score,action
106482,DIMENSIONAL FUND ADVISORS LP,5026,835.71,18096,Dimensional Fund Advisors LP,100.0,WIRE
106482,DIMENSIONAL FUND ADVISORS LP,5026,835.71,7,Dimensional Fund Advisors,94.33962264150944,WIRE
106482,DIMENSIONAL FUND ADVISORS LP,5026,835.71,18098,Dimensional Fund Advisors Ltd.,93.10344827586206,WIRE
106482,DIMENSIONAL FUND ADVISORS LP,5026,835.71,7,DIMENSIONAL FUND,72.72727272727273,REVIEW
110391,"LORD, ABBETT & CO. LLC",893,270.39,17916,"Lord, Abbett & Co. LLC",100.0,WIRE
110391,"LORD, ABBETT & CO. LLC",893,270.39,56,Lord Abbett,66.66666666666667,REVIEW
110391,"LORD, ABBETT & CO. LLC",893,270.39,56,LORD ABBETT,66.66666666666667,REVIEW
110296,BAILLIE GIFFORD OVERSEAS LTD,3729,162.55,1961,BAILLIE GIFFORD & CO LTD,73.07692307692308,REVIEW
110296,BAILLIE GIFFORD OVERSEAS LTD,3729,162.55,9198,Baillie Gifford International LLC,65.57377049180329,REVIEW
110296,BAILLIE GIFFORD OVERSEAS LTD,3729,162.55,7996,BAILLIE GIFFORD & CO,62.5,REVIEW
106357,THORNBURG INVESTMENT MANAGEMENT INC,2925,45.29,18537,"Thornburg Investment Management, Inc.",97.22222222222221,WIRE
104727,"MONETA GROUP INVESTMENT ADVISORS, LLC",4907,42.8,9808,MONETARY MANAGEMENT GROUP INC,60.60606060606061,REVIEW
106584,FAYEZ SAROFIM & CO.,7558,34.51,18029,"Fayez Sarofim & Co., LLC",88.37209302325581,WIRE
106422,EAGLE CAPITAL MANAGEMENT LLC,7002,31.19,9119,"Eagle Capital Management, LLC",98.24561403508771,WIRE
106422,EAGLE CAPITAL MANAGEMENT LLC,7002,31.19,4056,"EagleClaw Capital Managment, LLC",90.0,WIRE
107033,FULLER & THALER ASSET MANAGEMENT INC,3599,27.11,19229,"Fuller & Thaler Asset Management, Inc.",97.2972972972973,WIRE
125780,CAPITAL FUND MANAGEMENT S.A.,6291,12.27,6144,"Sequoia Capital Fund Management, L.P.",80.0,REVIEW
105281,JENSEN INVESTMENT MANAGEMENT INC.,257,11.24,4520,Nabity-Jensen Investment Management Inc,69.44444444444444,REVIEW
113128,"CULLEN CAPITAL MANAGEMENT, LLC",313,9.09,20004,Cullen Capital Management LLC,98.30508474576271,WIRE
105448,R M DAVIS INC,4310,7.27,10665,"Prism Advisors, Inc.",60.60606060606061,REVIEW
107517,SYM FINANCIAL ADVISORS,1620,4.88,11031,Symetra Financial CORP,72.72727272727273,REVIEW
107517,SYM FINANCIAL ADVISORS,1620,4.88,7904,"Symphony Financial, Ltd. Co.",60.0,REVIEW
104951,FAMILY MANAGE LLC,4384,4.4,9998,"Family Capital Management, Inc.",62.5,REVIEW
