firm_crd,firm_name,entity_id,schedule,name,jurisdiction,title_or_status,date,ownership_code,control_person,is_entity,relationship_type
10111,PRIMERICA ADVISORS,5135,A,PRIMERICA FINANCE CORPORATION,DE,DIRECT OWNER,10/1995,E,Y,True,wholly_owned
10111,PRIMERICA ADVISORS,5135,A,"JENDUSA, NICHOLAS ADAM",I,EXECUTIVE VICE PRESIDENT,07/2023,NA,Y,False,
10111,PRIMERICA ADVISORS,5135,A,"WOODRING, DANIEL AARON",I,EXECUTIVE VICE PRESIDENT AND CHIEF COMPLIANCE OFFICER,01/2011,NA,Y,False,
10111,PRIMERICA ADVISORS,5135,A,"NEMETZ, WILLIAM JAMES",I,"DIRECTOR; EXECUTIVE VICE PRESIDENT, CHIEF OPERATING OFFICER",02/2022,NA,Y,False,
10111,PRIMERICA ADVISORS,5135,A,"SUKIN, KAREN LYNN",I,EXECUTIVE VICE PRESIDENT AND GENERAL COUNSEL,06/2015,NA,Y,False,
10111,PRIMERICA ADVISORS,5135,A,"MILLER, DEBORAH LYNN",I,EXECUTIVE VICE PRESIDENT,05/2010,NA,Y,False,
10111,PRIMERICA ADVISORS,5135,A,"RIVET, LORI ALLISON",I,EXECUTIVE VICE PRESIDENT,03/2017,NA,Y,False,
10111,PRIMERICA ADVISORS,5135,A,"WEIGLE, BRIAN STEVEN",I,DIRECTOR AND EXECUTIVE VICE PRESIDENT,03/2023,NA,Y,False,
10111,PRIMERICA ADVISORS,5135,A,"WELLS, MICHAEL KURT",I,EXECUTIVE VICE PRESIDENT & TREASURER,07/2023,NA,N,False,
10111,PRIMERICA ADVISORS,5135,A,"REGARD, PAUL ETIENNE",I,"PRESIDENT, DIRECTOR AND CHIEF EXECUTIVE OFFICER",10/2023,NA,Y,False,
10111,PRIMERICA ADVISORS,5135,A,"COLEY, DASIA DEBORAH",I,VICE PRESIDENT AND CHIEF FINANCIAL OFFICER,05/2024,NA,Y,False,
10111,PRIMERICA ADVISORS,5135,A,"LESUTIS, MICHAEL",I,SENIOR VICE PRESIDENT & CHIEF COUNSEL,10/2024,NA,Y,False,
10111,PRIMERICA ADVISORS,5135,A,"PRIMERICA, INC.",DE,PRIMERICA FINANCE CORPORATION,SOLE SHAREHOLDER,E,Y,True,wholly_owned
103727,"GAGNON SECURITIES, LLC",8552,A,"GAGNON, NEIL JOSEPH",I,MANAGER/CEO,10/1999,C,Y,False,parent_brand
103727,"GAGNON SECURITIES, LLC",8552,A,"GAGNON, BRIAN JOSEPH",I,MEMBER,01/2002,B,Y,False,
103727,"GAGNON SECURITIES, LLC",8552,A,"DREW, MAUREEN ONEILL",I,MEMBER,01/2002,B,Y,False,
103727,"GAGNON SECURITIES, LLC",8552,A,"JAMPOLE, MATTHEW HOWARD",I,MEMBER,12/2004,NA,N,False,
103727,"GAGNON SECURITIES, LLC",8552,A,"BEINSTEIN, HENRY CARL",I,MEMBER,04/2005,NA,N,False,
103727,"GAGNON SECURITIES, LLC",8552,A,"ROBOHM, JONATHAN WILLIAMS",I,MEMBER,04/2005,NA,N,False,
103727,"GAGNON SECURITIES, LLC",8552,A,"LEE, DWIGHT EISENHOWER",I,MEMBER,08/2005,NA,N,False,
