crd,firm_name,entity_id,entity_type,aum_billions,total_parsed_rows,individuals_found,entities_no_code,entities_with_code,classification,action,reason,best_match_name,best_match_score,best_match_target
104555,STRATEGIC ADVISERS LLC,9268,institution,1067.66,14,12,2,0,ENTITY_NO_CODE,REVIEW,2 entities missing ownership code,,,
106482,DIMENSIONAL FUND ADVISORS LP,5026,institution,835.71,9,7,2,0,ENTITY_NO_CODE,REVIEW,2 entities missing ownership code,,,
105764,MELLON INVESTMENTS CORPORATION,3050,institution,763.69,10,7,3,0,ENTITY_NO_CODE,REVIEW,3 entities missing ownership code,,,
104596,DODGE & COX,15,institution,400.29,10,10,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $400.3B — likely has corporate parent",,,
105642,"BNY MELLON INVESTMENT ADVISER, INC.",7032,institution,365.42,3,0,3,0,ENTITY_NO_CODE,REVIEW,3 entities missing ownership code,,,
104652,JANUS HENDERSON INVESTORS,11231,institution,274.67,6,4,2,0,ENTITY_NO_CODE,REVIEW,2 entities missing ownership code,,,
110391,"LORD, ABBETT & CO. LLC",893,institution,270.39,6,6,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $270.4B — likely has corporate parent",,,
105778,AMERICAN CENTURY INVESTMENT MANAGEMENT INC,8544,institution,268.47,5,5,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $268.5B — likely has corporate parent",,,
106435,MANULIFE INVESTMENT MANAGEMENT (US) LLC,10538,institution,201.36,14,8,6,0,ENTITY_NO_CODE,REVIEW,6 entities missing ownership code,,,
105922,MORGAN STANLEY INVESTMENT MANAGEMENT LIMITED,2956,institution,165.35,11,7,4,0,ENTITY_NO_CODE,REVIEW,4 entities missing ownership code,,,
110296,BAILLIE GIFFORD OVERSEAS LTD,3729,institution,162.55,58,56,2,0,ENTITY_NO_CODE,REVIEW,2 entities missing ownership code,,,
283720,GQG PARTNERS,7623,institution,153.0,1,1,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $153.0B — likely has corporate parent",,,
107160,PAYDEN & RYGEL,5726,institution,150.95,6,6,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $150.9B — likely has corporate parent",,,
115785,THRIVENT FINANCIAL FOR LUTHERANS,1699,institution,141.11,16,16,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $141.1B — likely has corporate parent",,,
105516,PRIMECAP MANAGEMENT CO,6309,institution,135.87,9,9,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $135.9B — likely has corporate parent",,,
104853,BOSTON MANAGEMENT AND RESEARCH,112,institution,128.14,2,0,2,0,ENTITY_NO_CODE,REVIEW,2 entities missing ownership code,,,
110181,BROWN ADVISORY,6987,institution,121.94,1,0,1,0,ENTITY_NO_CODE,REVIEW,1 entities missing ownership code,,,
151480,"SANDERS CAPITAL, LLC",4404,institution,100.24,6,6,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $100.2B — likely has corporate parent",,,
10409,"MML INVESTORS SERVICES, LLC",2176,institution,90.02,14,13,1,0,ENTITY_NO_CODE,REVIEW,1 entities missing ownership code,,,
104702,WCM INVESTMENT MANAGEMENT,11228,institution,74.69,8,4,4,0,ENTITY_NO_CODE,REVIEW,4 entities missing ownership code,,,
134155,PROSHARE ADVISORS LLC,5022,institution,74.0,11,8,0,3,PARSER_GAP,REVIEW,3 entities with codes but no relationship type,,,
106720,FIDUCIENT ADVISORS LLC,8570,institution,67.64,15,6,9,0,ENTITY_NO_CODE,REVIEW,9 entities missing ownership code,,,
105734,RUSSELL INVESTMENTS,9927,institution,62.38,11,6,5,0,ENTITY_NO_CODE,REVIEW,5 entities missing ownership code,,,
317431,PINESTONE ASSET MANAGEMENT INC.,3700,institution,50.78,3,3,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $50.8B — likely has corporate parent",,,
106357,THORNBURG INVESTMENT MANAGEMENT INC,2925,institution,45.29,11,10,1,0,ENTITY_NO_CODE,REVIEW,1 entities missing ownership code,,,
104727,"MONETA GROUP INVESTMENT ADVISORS, LLC",4907,institution,42.8,16,16,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $42.8B — likely has corporate parent",,,
107432,MONDRIAN INVESTMENT PARTNERS LIMITED,855,institution,41.48,8,7,1,0,ENTITY_NO_CODE,REVIEW,1 entities missing ownership code,,,
105169,PACIFIC LIFE FUND ADVISORS LLC,1685,institution,41.08,6,3,3,0,ENTITY_NO_CODE,REVIEW,3 entities missing ownership code,,,
107271,SAVANT WEALTH MANAGEMENT,7581,institution,38.13,13,11,2,0,ENTITY_NO_CODE,REVIEW,2 entities missing ownership code,,,
130099,"INVESTURE, LLC",5087,institution,35.03,9,9,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $35.0B — likely has corporate parent",,,
106584,FAYEZ SAROFIM & CO.,7558,institution,34.51,9,8,1,0,ENTITY_NO_CODE,REVIEW,1 entities missing ownership code,,,
107022,JACOBS LEVY EQUITY MANAGEMENT,3549,institution,31.27,5,5,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $31.3B — likely has corporate parent",,,
106422,EAGLE CAPITAL MANAGEMENT LLC,7002,institution,31.19,7,7,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $31.2B — likely has corporate parent",,,
104796,CLARK CAPITAL MANAGEMENT GROUP INC,6428,institution,30.55,15,15,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $30.6B — likely has corporate parent",,,
110093,LUTHER KING CAPITAL MANAGEMENT CORPORATION,6402,institution,30.15,2,2,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $30.1B — likely has corporate parent",,,
22998,"MUZINICH & CO., INC.",1596,institution,27.31,19,15,0,4,PARSER_GAP,REVIEW,4 entities with codes but no relationship type,,,
107033,FULLER & THALER ASSET MANAGEMENT INC,3599,institution,27.11,12,11,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
105404,"BRANDES INVESTMENT PARTNERS, LP",10487,institution,26.69,12,10,2,0,ENTITY_NO_CODE,REVIEW,2 entities missing ownership code,,,
292451,"H&H INTERNATIONAL INVESTMENT, LLC",4291,institution,25.5,2,2,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $25.5B — likely has corporate parent",,,
309733,RUFFER LLP,3010,institution,24.2,12,12,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $24.2B — likely has corporate parent",,,
106108,BNY ADVISORS,2393,institution,23.96,10,8,2,0,ENTITY_NO_CODE,REVIEW,2 entities missing ownership code,,,
106139,BAHL & GAYNOR INC,4262,institution,20.99,17,17,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $21.0B — likely has corporate parent",,,
117054,"JOHNSON INVESTMENT COUNSEL, INC.",947,institution,20.87,8,8,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $20.9B — likely has corporate parent",,,
110425,"MATSON MONEY, INC.",9953,institution,20.57,5,5,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $20.6B — likely has corporate parent",,,
104948,HIGHLAND ASSOCIATES INC,7000,institution,20.14,1,0,1,0,ENTITY_NO_CODE,REVIEW,1 entities missing ownership code,,,
106523,MUTUAL OF AMERICA CAPITAL MANAGEMENT LLC,1639,institution,19.17,9,8,1,0,ENTITY_NO_CODE,REVIEW,1 entities missing ownership code,,,
104945,LONGFELLOW INVESTMENT MANAGEMENT CO. LLC,9177,institution,18.93,9,9,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $18.9B — likely has corporate parent",,,
159641,COMPREHENSIVE FINANCIAL MANAGEMENT LLC,5763,institution,17.89,6,6,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $17.9B — likely has corporate parent",,,
118608,ORBIMED ADVISORS LLC,5136,institution,17.34,12,12,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $17.3B — likely has corporate parent",,,
157594,HIMALAYA CAPITAL,3080,institution,17.18,4,4,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $17.2B — likely has corporate parent",,,
298735,KIRKOSWALD ASSET MANAGEMENT LLC,1713,institution,16.09,2,1,1,0,ENTITY_NO_CODE,REVIEW,1 entities missing ownership code,,,
