crd,firm_name,aum_billions,classification,validated_date,status
104596,DODGE & COX,400.29,INDIVIDUAL_ONLY_LARGE,2026-04-08,confirmed_independent
107160,PAYDEN & RYGEL,150.95,INDIVIDUAL_ONLY_LARGE,2026-04-08,confirmed_independent
115785,THRIVENT FINANCIAL FOR LUTHERANS,141.11,INDIVIDUAL_ONLY_LARGE,2026-04-08,confirmed_independent
105516,PRIMECAP MANAGEMENT CO,135.87,INDIVIDUAL_ONLY_LARGE,2026-04-08,confirmed_independent
151480,"SANDERS CAPITAL, LLC",100.24,INDIVIDUAL_ONLY_LARGE,2026-04-08,confirmed_independent
104702,WCM INVESTMENT MANAGEMENT,74.69,ENTITY_NO_CODE,2026-04-08,confirmed_independent
317431,PINESTONE ASSET MANAGEMENT INC.,50.78,INDIVIDUAL_ONLY_LARGE,2026-04-08,confirmed_independent
104727,"MONETA GROUP INVESTMENT ADVISORS, LLC",42.8,INDIVIDUAL_ONLY_LARGE,2026-04-08,confirmed_independent
107271,SAVANT WEALTH MANAGEMENT,38.13,ENTITY_NO_CODE,2026-04-08,confirmed_independent
130099,"INVESTURE, LLC",35.03,INDIVIDUAL_ONLY_LARGE,2026-04-08,confirmed_independent
107022,JACOBS LEVY EQUITY MANAGEMENT,31.27,INDIVIDUAL_ONLY_LARGE,2026-04-08,confirmed_independent
106422,EAGLE CAPITAL MANAGEMENT LLC,31.19,INDIVIDUAL_ONLY_LARGE,2026-04-08,confirmed_independent
104796,CLARK CAPITAL MANAGEMENT GROUP INC,30.55,INDIVIDUAL_ONLY_LARGE,2026-04-08,confirmed_independent
110093,LUTHER KING CAPITAL MANAGEMENT CORPORATION,30.15,INDIVIDUAL_ONLY_LARGE,2026-04-08,confirmed_independent
22998,"MUZINICH & CO., INC.",27.31,PARSER_GAP,2026-04-08,confirmed_independent
107033,FULLER & THALER ASSET MANAGEMENT INC,27.11,PARSER_GAP,2026-04-08,confirmed_independent
309733,RUFFER LLP,24.2,INDIVIDUAL_ONLY_LARGE,2026-04-08,confirmed_independent
106139,BAHL & GAYNOR INC,20.99,INDIVIDUAL_ONLY_LARGE,2026-04-08,confirmed_independent
117054,"JOHNSON INVESTMENT COUNSEL, INC.",20.87,INDIVIDUAL_ONLY_LARGE,2026-04-08,confirmed_independent
110425,"MATSON MONEY, INC.",20.57,INDIVIDUAL_ONLY_LARGE,2026-04-08,confirmed_independent
