name,entity,type,category
 BATTERY MANAGEMENT CORP.,institution,,venture_capital
" COSMIC MANAGEMENT, LLC",institution,,active
 CROSSLINK CAPITAL INC,institution,,active
 DEERE & CO,institution,,strategic
" ENAVATE SCIENCES GP, LLC",institution,,uncategorized
" FOUNDRY GROUP NEXT, LLC",institution,,venture_capital
" FOUNDRY GROUP, LLC",institution,,venture_capital
 GRANITE ASIA CAPITAL PTE. LTD.,institution,,active
 GREYCROFT LP,institution,,venture_capital
" INSTITUTIONAL VENTURE MANAGEMENT XV, LLC",institution,,venture_capital
" INSTITUTIONAL VENTURE MANAGEMENT XVI, LLC ",institution,,venture_capital
" LIGHTSPEED MANAGEMENT COMPANY, L.L.C.",institution,,venture_capital
 LILLY ENDOWMENT INC,institution,,endowment_foundation
" LMDAGG, L.L.C.",institution,,uncategorized
" MERCATO PARTNERS GROWTH III GP, LLC",institution,,active
" PELION, INC.",institution,,strategic
" RED TREE MANAGEMENT, LLC",institution,,active
" REDPOINT MANAGEMENT, LLC",institution,,venture_capital
" REVOLUTION GROWTH MANAGEMENT COMPANY, INC.",institution,,active
" SAMSARA BIOCAPITAL, LLC",institution,,active
 SIP GLOBAL OPPORTUNITY MANAGER LLC,institution,,venture_capital
 SONNIPE LTD,institution,,wealth_management
 STILWELL VALUE LLC,institution,,activist
 TVL MANAGEMENT CORP,institution,,active
" VR ADVISER, LLC",institution,,hedge_fund
"1060 Capital, LLC",institution,,hedge_fund
10Elms LLP,institution,,uncategorized
111 Capital,institution,,active
111 Capital,institution,,active
"1248 Management, LLC",institution,,active
13D Management LLC,institution,,activist
140 Summer Partners LP,institution,,hedge_fund
14B Captial Management LP,institution,,active
1623 Capital LLC,institution,,active
1776 Wealth LLC,institution,,wealth_management
180 GPS Investments IC Ltd,institution,,active
"1888 Investments, LLC",institution,,active
"1919 Investment Counsel, LLC",institution,,active
1922 Investment Co LLC,institution,,active
1922 Investments GP LLC,institution,,active
1922 Investments Holdings Partners LP,institution,,hedge_fund
1922 Trust,institution,,endowment_foundation
22C Capital LLC,institution,,active
"22NW, LP",institution,,activist
25 LLC,institution,,uncategorized
26North Partners LP,institution,,hedge_fund
272 Capital LP,institution,,active
2774719 Ontario Ltd,institution,,strategic
2Xideas US Inc.,institution,,strategic
325 CAPITAL LLC,institution,,active
"3Chopt Investment Partners, LLC",institution,,active
46 Peaks LLC,institution,,uncategorized
53 HOUSE LLP,institution,,uncategorized
53 HOUSE LLP,institution,,uncategorized
53 House SA,institution,,uncategorized
"55 North Private Wealth, LLC",institution,,wealth_management
"5AM Venture Management, LLC",institution,,venture_capital
"5T Wealth, LLC",institution,,wealth_management
"5th Street Advisors, LLC",institution,,wealth_management
"72 Investment Holdings, LLC",institution,,active
"8 KNOTS MANAGEMENT, LLC",institution,,active
"8 KNOTS MANAGEMENT, LLC",institution,,active
"8VC GP I, LLC",institution,,venture_capital
"9823 Capital, L.P.",institution,,active
"A&I FINANCIAL SERVICES, LLC",institution,,wealth_management
"A. D. Beadell Investment Counsel, Inc.",institution,,active
"ABANCO INVESTORS LTD., LLC",institution,,strategic
ABC ARBITRAGE SA,institution,,hedge_fund
"ABLES, IANNONE, MOORE & ASSOCIATES, INC.",institution,,strategic
"ABLES, IANNONE, MOORE & ASSOCIATES, INC.",institution,,strategic
ABN AMRO INVESTMENT SOLUTIONS,institution,,active
ABNER HERRMAN & BROCK LLC,institution,,wealth_management
ABNER HERRMAN & BROCK LLC,institution,,wealth_management
"ABRAMS BISON INVESTMENTS, LLC",institution,,active
"ABRAMS BISON PARTNERS, LP",institution,,active
ABS Direct Equity Fund LLC,institution,,uncategorized
"ACAS, LLC",institution,,uncategorized
"ACCESS FINANCIAL SERVICES, INC.",institution,,wealth_management
ACCOUNT MANAGEMENT LLC,institution,,active
"ACCREDITED INVESTOR SERVICES, LLC",institution,,uncategorized
"ACIMA PRIVATE WEALTH, LLC",institution,,wealth_management
"ACME, LLC",institution,,uncategorized
ACORN FINANCIAL ADVISORY SERVICES INC /ADV,institution,,wealth_management
"ADAMS NATURAL RESOURCES FUND, INC.",institution,,strategic
ADAPT Investment Managers SA,institution,,active
"ADE, LLC",institution,,uncategorized
ADVANCED MICRO DEVICES INC,institution,,strategic
ADVENTIST HEALTH SYSTEM SUNBELT HEALTHCARE CORP,institution,,strategic
"ADVISOR PARTNERS II, LLC",institution,,active
