relationship_id,parent_entity_id,parent_name,parent_aum,parent_cik,child_entity_id,child_name,child_aum,child_cik,relationship_type,category
11622,27,Affiliated Managers Group,0.0,,4323,Harding Loevner LP,0.0,0000928196,wholly_owned,D
11625,27,Affiliated Managers Group,0.0,,9245,SYSTEMATIC FINANCIAL MANAGEMENT LP,0.0,0001085936,wholly_owned,D
11629,27,Affiliated Managers Group,0.0,,5675,FRONTIER CAPITAL MANAGEMENT CO LLC,0.0,0000351173,wholly_owned,D
11630,8968,"AFFILIATED MANAGERS GROUP, INC.",0.0,0001004434,4323,Harding Loevner LP,0.0,0000928196,wholly_owned,D
11632,9025,"Berger Financial Group, Inc",0.0,0001826136,5630,"HIGHLAND CAPITAL MANAGEMENT, LLC",0.0,0000860486,wholly_owned,D
11633,1370,"Community Bank, N.A.",0.0,0001632187,3628,"NOTTINGHAM ADVISORS, INC.",0.0,0001093276,wholly_owned,D
11634,9297,"Invesco Advisers, Inc.",0.0,0000020430,9193,Invesco Investment Advisers LLC,0.0,0001088928,wholly_owned,D
11635,569,Invesco Ltd.,0.0,0000914208,9193,Invesco Investment Advisers LLC,0.0,0001088928,wholly_owned,D
11636,18000,"OppenheimerFunds, Inc.",0.0,,9193,Invesco Investment Advisers LLC,0.0,0001088928,wholly_owned,D
11639,8837,Desjardins Global Asset Management Inc.,0.0,0001563660,9926,GUARDIAN CAPITAL LP,0.0,0001224324,wholly_owned,D
11640,6607,Federation des caisses Desjardins du Quebec,0.0,0002022297,9926,GUARDIAN CAPITAL LP,0.0,0001224324,wholly_owned,D
11641,4653,"Garde Capital, Inc.",0.0,0001616328,9926,GUARDIAN CAPITAL LP,0.0,0001224324,mutual_structure,D
11644,11020,Empower Annuity Insurance Co of America,0.0,0000744455,3052,PANAGORA ASSET MANAGEMENT INC,0.0,0000883677,wholly_owned,D
11646,3770,OLD NATIONAL BANCORP /IN/,0.0,0000707179,8630,1834 INVESTMENT ADVISORS CO,0.0,0001138486,wholly_owned,D
11647,1359,GUGGENHEIM CAPITAL LLC,0.0,0001283072,9191,Security Investors LLC,0.0,0000791185,wholly_owned,D
11649,195,"Guggenheim Partners Investment Management, LLC",0.0,0001425852,9191,Security Investors LLC,0.0,0000791185,wholly_owned,D
11650,7091,"FIG Parent, LLC",0.0,0002024041,9191,Security Investors LLC,0.0,0000791185,wholly_owned,D
11652,10914,PRUDENTIAL FINANCIAL INC,0.0,0001137774,6939,PGIM INVESTMENTS LLC,0.0,0001038001,wholly_owned,D
11654,3072,MMA ASSET MANAGEMENT LLC,0.0,0001842667,10660,MARK ASSET MANAGEMENT LP,0.0,0000860176,mutual_structure,D
11658,8327,"OSAIC HOLDINGS, INC.",0.0,0001677044,252,WASATCH ADVISORS LP,0.0,0000814133,wholly_owned,D
