series_id,report_month,accession_number,cusip,n
1525201_0001193125-25-296892,2025-09,BACKFILL_MIG015_1525201_0001193125-25-296892_2025-09,C8856UAE8,2
1525201_0001193125-26-075564,2025-12,BACKFILL_MIG015_1525201_0001193125-26-075564_2025-12,C8856UAE8,2
1788399_0001193125-26-075572,2025-12,BACKFILL_MIG015_1788399_0001193125-26-075572_2025-12,C8856UAE8,2
1982467_0001193125-26-070923,2025-12,BACKFILL_MIG015_1982467_0001193125-26-070923_2025-12,09081AAC4,2
S000001736,2025-12,BACKFILL_MIG015_S000001736_2025-12,C8856UAE8,2
S000002079,2025-06,BACKFILL_MIG015_S000002079_2025-06,88731EAJ9,2
S000002916,2025-08,BACKFILL_MIG015_S000002916_2025-08,69370RAF4,2
S000002916,2025-11,BACKFILL_MIG015_S000002916_2025-11,69370RAF4,2
S000003893,2025-12,BACKFILL_MIG015_S000003893_2025-12,900123DJ6,2
S000003896,2025-09,BACKFILL_MIG015_S000003896_2025-09,947075AU1,2
S000004053,2025-11,BACKFILL_MIG015_S000004053_2025-11,283822WK6,2
S000004834,2025-10,BACKFILL_MIG015_S000004834_2025-10,64971X4D7,2
S000004834,2026-01,BACKFILL_MIG015_S000004834_2026-01,64971X4D7,2
S000004848,2025-12,BACKFILL_MIG015_S000004848_2025-12,64971X4D7,2
S000009446,2025-12,BACKFILL_MIG015_S000009446_2025-12,64966TGT5,2
S000014481,2025-12,BACKFILL_MIG015_S000014481_2025-12,665279873,2
S000014625,2024-12,BACKFILL_MIG015_S000014625_2024-12,N/A,2
S000014625,2025-06,BACKFILL_MIG015_S000014625_2025-06,N/A,2
S000014625,2025-12,BACKFILL_MIG015_S000014625_2025-12,N/A,2
S000017340,2024-10,BACKFILL_MIG015_S000017340_2024-10,025537101,2
S000017340,2024-10,BACKFILL_MIG015_S000017340_2024-10,526057104,2
S000026479,2025-12,BACKFILL_MIG015_S000026479_2025-12,02406PBC3,2
S000026479,2025-12,BACKFILL_MIG015_S000026479_2025-12,36170JAD8,2
S000026479,2025-12,BACKFILL_MIG015_S000026479_2025-12,366504AA6,2
S000026479,2025-12,BACKFILL_MIG015_S000026479_2025-12,451102CC9,2
S000026479,2025-12,BACKFILL_MIG015_S000026479_2025-12,654922AD5,2
S000026479,2025-12,BACKFILL_MIG015_S000026479_2025-12,852234AU7,2
S000028164,2025-12,BACKFILL_MIG015_S000028164_2025-12,C8856UAE8,2
S000032784,2025-09,BACKFILL_MIG015_S000032784_2025-09,TC8Z0QKP4,2
S000036875,2025-11,BACKFILL_MIG015_S000036875_2025-11,171239AJ5,2
S000039682,2025-09,BACKFILL_MIG015_S000039682_2025-09,C8856UAE8,2
S000039682,2025-12,BACKFILL_MIG015_S000039682_2025-12,C8856UAE8,2
S000044287,2025-09,BACKFILL_MIG015_S000044287_2025-09,,4
S000044287,2025-12,BACKFILL_MIG015_S000044287_2025-12,,2
S000044832,2025-12,BACKFILL_MIG015_S000044832_2025-12,C8856UAE8,2
S000046032,2025-06,BACKFILL_MIG015_S000046032_2025-06,517907101,2
S000046032,2025-09,BACKFILL_MIG015_S000046032_2025-09,517907101,2
S000046032,2025-12,BACKFILL_MIG015_S000046032_2025-12,517907101,2
S000051261,2025-10,BACKFILL_MIG015_S000051261_2025-10,866796AD7,2
S000051261,2026-01,BACKFILL_MIG015_S000051261_2026-01,866796AD7,2
S000051381,2025-07,BACKFILL_MIG015_S000051381_2025-07,526057104,2
S000053356,2025-12,BACKFILL_MIG015_S000053356_2025-12,C8856UAE8,2
S000054802,2025-08,BACKFILL_MIG015_S000054802_2025-08,639057AQ1,2
S000054802,2025-11,BACKFILL_MIG015_S000054802_2025-11,639057AQ1,2
S000057731,2025-10,BACKFILL_MIG015_S000057731_2025-10,649852AS9,2
S000057731,2025-10,BACKFILL_MIG015_S000057731_2025-10,84247PND9,2
S000057731,2026-01,BACKFILL_MIG015_S000057731_2026-01,649852AS9,2
S000057731,2026-01,BACKFILL_MIG015_S000057731_2026-01,84247PND9,2
S000060107,2026-01,BACKFILL_MIG015_S000060107_2026-01,013051EW3,2
S000062174,2024-11,BACKFILL_MIG015_S000062174_2024-11,655663102,2
S000068181,2025-12,BACKFILL_MIG015_S000068181_2025-12,B2763WM80,2
S000068181,2025-12,BACKFILL_MIG015_S000068181_2025-12,D03614BG4,2
S000068181,2025-12,BACKFILL_MIG015_S000068181_2025-12,G31206AJ7,2
S000071158,2025-09,BACKFILL_MIG015_S000071158_2025-09,V7780T103,2
S000072932,2025-11,BACKFILL_MIG015_S000072932_2025-11,01741RAN2,2
S000072932,2025-11,BACKFILL_MIG015_S000072932_2025-11,78454LAW0,2
S000072932,2025-11,BACKFILL_MIG015_S000072932_2025-11,96949VAL7,2
S000073686,2025-06,BACKFILL_MIG015_S000073686_2025-06,912797LW5,2
S000073686,2025-12,BACKFILL_MIG015_S000073686_2025-12,912797RH2,2
S000073714,2025-10,BACKFILL_MIG015_S000073714_2025-10,C8856UAE8,2
S000079330,2025-09,BACKFILL_MIG015_S000079330_2025-09,,4
S000080059,2025-12,BACKFILL_MIG015_S000080059_2025-12,C8856UAE8,2
S000080072,2025-12,BACKFILL_MIG015_S000080072_2025-12,C8856UAE8,2
S000080074,2025-12,BACKFILL_MIG015_S000080074_2025-12,C8856UAE8,2
