filer_cik,filer_name,inst_parent_name,series_count,total_nav,series_names_sample,entity_name,manager_type,is_passive,rollup_target,existing_entity_id
0000884394,SPDR S&P 500 ETF TRUST,,2,"$1,384,685,108,198",SPDR S&P 500 ETF TRUST | SPDR S&P 500 ETF TRUST,SPDR S&P 500 ETF TRUST,,,SELF,
0000013075,Bond Fund of America,,1,"$101,149,751,897",Bond Fund of America,Bond Fund of America,,,SELF,
0001735964,Cliffwater Corporate Lending Fund,,2,"$91,714,625,741",Cliffwater Corporate Lending Fund | Cliffwater Corporate Lending Fund,Cliffwater Corporate Lending Fund,,,SELF,
0001041130,SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST,,2,"$85,615,945,114",SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST | SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST,SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST,,,SELF,
0000050142,Tax Exempt Bond Fund of America,,1,"$48,164,858,424",Tax Exempt Bond Fund of America,Tax Exempt Bond Fund of America,,,SELF,
0000936958,SPDR S&P MIDCAP 400 ETF TRUST,,2,"$47,413,807,430",State Street SPDR S&P MidCap 400SM ETF Trust | SPDR S&P MidCap 400 ETF Trust,SPDR S&P MIDCAP 400 ETF TRUST,,,SELF,
0001274676,AB CORPORATE SHARES,,1,"$34,589,457,487",AB Municipal Income Shares,AB CORPORATE SHARES,,,SELF,
0001447247,"Partners Group Private Equity (Master Fund), LLC",,2,"$34,517,995,780","Partners Group Private Equity (Master Fund), LLC | Partners Group Private Equity Fund, LLC","Partners Group Private Equity (Master Fund), LLC",,,SELF,
0000826813,Intermediate Bond Fund of America,,1,"$28,536,743,012",Intermediate Bond Fund of America,Intermediate Bond Fund of America,,,SELF,
0000925950,American High-Income Municipal Bond Fund,,1,"$26,592,802,562",American High-Income Municipal Bond Fund,American High-Income Municipal Bond Fund,,,SELF,
0000823620,American High Income Trust,,1,"$26,300,655,376",American High Income Trust,American High Income Trust,,,SELF,
0001475712,Global Opportunities Portfolio,,1,"$24,585,991,300",Global Opportunities Portfolio,Global Opportunities Portfolio,,,SELF,
0001579982,ARK ETF Trust,,3,"$23,290,308,861",ARK Innovation ETF | ARK Next Generation Internet ETF | ARK Autonomous Technology & Robotics ETF,ARK ETF Trust,,,SELF,
0001510599,PIMCO Dynamic Income Fund,,2,"$15,068,247,655",PIMCO Dynamic Income Fund | PIMCO Dynamic Income Fund,PIMCO Dynamic Income Fund,,,SELF,
