resolution_id,source_type,identifier_type,series_id,series_name,family_name,filer_cik,filer_name,inst_parent_name,report_month_count,total_nav,candidate_entity_count,candidate_names,pending_since,decision
1131,NPORT,series_id,884394_0001410368-26-020131,SPDR S&P 500 ETF TRUST,SPDR S&P 500 ETF TRUST,0000884394,,,1,712027045852.4606,0,,2026-04-15 08:10:18.206341,
1130,NPORT,series_id,884394_0001410368-25-031962,SPDR S&P 500 ETF TRUST,SPDR S&P 500 ETF TRUST,0000884394,,,1,672658062345.6096,0,,2026-04-15 08:10:18.206341,
1669,NPORT,series_id,S000009231,Bond Fund of America,Bond Fund of America,0000013075,,,1,101149751896.56999,0,,2026-04-15 08:10:18.206341,
1674,NPORT,series_id,S000009238,Tax Exempt Bond Fund of America,Tax Exempt Bond Fund of America,0000050142,,,2,48164858423.5202,0,,2026-04-15 08:10:18.206341,
523,NPORT,series_id,1735964_0001735964-26-000003,Cliffwater Corporate Lending Fund,Cliffwater Corporate Lending Fund,0001735964,,,1,47508433837.03017,0,,2026-04-15 08:10:18.206341,
524,NPORT,series_id,1735964_0001735964-26-000006,Cliffwater Corporate Lending Fund,Cliffwater Corporate Lending Fund,0001735964,,,1,44206191904.07021,0,,2026-04-15 08:10:18.206341,
15,NPORT,series_id,1041130_0001410368-26-034110,SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST,SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST,0001041130,,,1,43518555134.13,0,,2026-04-15 08:10:18.206341,
14,NPORT,series_id,1041130_0001410368-25-041185,SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST,SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST,0001041130,,,1,42097389979.71,0,,2026-04-15 08:10:18.206341,
2040,NPORT,series_id,S000029560,AB Municipal Income Shares,AB CORPORATE SHARES,0001274676,,,2,34589457486.89999,0,,2026-04-15 08:10:18.206341,
1672,NPORT,series_id,S000009236,Intermediate Bond Fund of America,Intermediate Bond Fund of America,0000826813,,,1,28536743012.329975,0,,2026-04-15 08:10:18.206341,
1667,NPORT,series_id,S000009229,American High-Income Municipal Bond Fund,American High-Income Municipal Bond Fund,0000925950,,,2,26592802561.939972,0,,2026-04-15 08:10:18.206341,
1668,NPORT,series_id,S000009230,American High Income Trust,American High Income Trust,0000823620,,,1,26300655375.680004,0,,2026-04-15 08:10:18.206341,
1987,NPORT,series_id,S000027417,Global Opportunities Portfolio,Global Opportunities Portfolio,0001475712,,,2,24585991300.340004,0,,2026-04-15 08:10:18.206341,
1190,NPORT,series_id,936958_0000940400-26-009353,State Street SPDR S&P MidCap 400SM ETF Trust,SPDR S&P MIDCAP 400 ETF TRUST,0000936958,,,1,24027547911.500023,0,,2026-04-15 08:10:18.206341,
1189,NPORT,series_id,936958_0000940400-25-011971,SPDR S&P MidCap 400 ETF Trust,SPDR S&P MIDCAP 400 ETF TRUST,0000936958,,,1,23386259518.8,0,,2026-04-15 08:10:18.206341,
286,NPORT,series_id,1447247_0001410368-25-032775,"Partners Group Private Equity (Master Fund), LLC","Partners Group Private Equity (Master Fund), LLC",0001447247,,,1,17451208737.470013,0,,2026-04-15 08:10:18.206341,
287,NPORT,series_id,1447247_0001410368-26-021571,"Partners Group Private Equity Fund, LLC","Partners Group Private Equity Fund, LLC",0001447247,,,1,17066787042.649984,0,,2026-04-15 08:10:18.206341,
2314,NPORT,series_id,S000042977,ARK Innovation ETF,ARK ETF Trust,0001579982,,,2,15073032926.779999,0,,2026-04-15 08:10:18.206341,
2022,NPORT,series_id,S000028884,"Cohen & Steers Preferred Securities & Income Fund, Inc.","COHEN & STEERS PREFERRED SECURITIES & INCOME FUND, INC.",0001484750,,,2,14830779543.739992,0,,2026-04-15 08:10:18.206341,
1906,NPORT,series_id,S000022423,Senior Debt Portfolio,Senior Debt Portfolio,0000933188,,,2,13746830859.420002,0,,2026-04-15 08:10:18.206341,
1777,NPORT,series_id,S000013585,Short-Term Bond Fund of America,Short-Term Bond Fund of America,0001368040,,,1,12596046447.450014,0,,2026-04-15 08:10:18.206341,
1673,NPORT,series_id,S000009237,Limited Term Tax Exempt Bond Fund of America,Limited Term Tax Exempt Bond Fund of America,0000909427,,,2,11891700568.969995,0,,2026-04-15 08:10:18.206341,
1717,NPORT,series_id,S000010934,Federated Hermes Institutional High Yield Bond Fund,Federated Hermes Institutional Trust,0000925723,,,2,11700322704.109997,0,,2026-04-15 08:10:18.206341,
2042,NPORT,series_id,S000029761,Global Macro Absolute Return Advantage Portfolio,Global Macro Absolute Return Advantage Portfolio,0001493214,,,2,11643930914.340002,0,,2026-04-15 08:10:18.206341,
1676,NPORT,series_id,S000009240,Capital World Bond Fund,Capital World Bond Fund,0000812303,,,1,9864997061.99002,0,,2026-04-15 08:10:18.206341,
292,NPORT,series_id,1467631_0001193125-26-076818,ACAP Strategic Fund,ACAP Strategic Fund,0001467631,,,1,8507797077.129997,0,,2026-04-15 08:10:18.206341,
3120,NPORT,series_id,S000067475,Axonic Strategic Income Fund,AXONIC FUNDS,0001791032,,,2,7969504637.660002,0,,2026-04-15 08:10:18.206341,
340,NPORT,series_id,1510599_0001099263-26-003115,PIMCO Dynamic Income Fund,PIMCO Dynamic Income Fund,0001510599,,,1,7690073480.689996,0,,2026-04-15 08:10:18.206341,
469,NPORT,series_id,1678124_0001049169-26-000654,CION Ares Diversified Credit Fund,CION Ares Diversified Credit Fund,0001678124,,,1,7677052269.120003,0,,2026-04-15 08:10:18.206341,
659,NPORT,series_id,1842754_0001193125-26-080327,Cliffwater Enhanced Lending Fund,Cliffwater Enhanced Lending Fund,0001842754,,,1,7578203388.249997,0,,2026-04-15 08:10:18.206341,
1696,NPORT,series_id,S000010128,"AB GLOBAL BOND FUND, INC.","AB GLOBAL BOND FUND, INC.",0000883676,,,1,7406895027.370006,0,,2026-04-15 08:10:18.206341,
1692,NPORT,series_id,S000009768,AFL CIO Housing Investment Trust,AFL CIO Housing Investment Trust,0000225030,,,1,7388534378.770001,0,,2026-04-15 08:10:18.206341,
339,NPORT,series_id,1510599_0001099263-25-004579,PIMCO Dynamic Income Fund,PIMCO Dynamic Income Fund,0001510599,,,1,7378174174.200001,0,,2026-04-15 08:10:18.206341,
468,NPORT,series_id,1678124_0001049169-25-000888,CION Ares Diversified Credit Fund,CION Ares Diversified Credit Fund,0001678124,,,1,7260358805.519994,0,,2026-04-15 08:10:18.206341,
520,NPORT,series_id,1725472_0001410368-26-021125,Carlyle Tactical Private Credit Fund,Carlyle Tactical Private Credit Fund,0001725472,,,1,7135943372.370007,0,,2026-04-15 08:10:18.206341,
519,NPORT,series_id,1725472_0001410368-25-032295,Carlyle Tactical Private Credit Fund,Carlyle Tactical Private Credit Fund,0001725472,,,1,6870581456.490003,0,,2026-04-15 08:10:18.206341,
428,NPORT,series_id,1609212_0001193125-26-082467,"AMG Pantheon Master Fund, LLC","AMG Pantheon Master Fund, LLC",0001609212,,,1,6565037953.239996,0,,2026-04-15 08:10:18.206341,
427,NPORT,series_id,1609212_0001193125-25-303668,"AMG Pantheon Master Fund, LLC","AMG Pantheon Master Fund, LLC",0001609212,,,1,6344114019.660003,0,,2026-04-15 08:10:18.206341,
1693,NPORT,series_id,S000009981,AB HIGH INCOME FUND INC,AB HIGH INCOME FUND INC,0000915845,,,2,6245251554.769979,0,,2026-04-15 08:10:18.206341,
323,NPORT,series_id,1500233_0001193125-26-130642,Ironwood Institutional Multi-Strategy Fund LLC,Ironwood Institutional Multi-Strategy Fund LLC,0001500233,,,1,6242207722.0,0,,2026-04-15 08:10:18.206341,
426,NPORT,series_id,1609211_0001193125-26-082466,"AMG Pantheon Fund, LLC","AMG Pantheon Fund, LLC",0001609211,,,1,6166330668.15,0,,2026-04-15 08:10:18.206341,
1490,NPORT,series_id,S000005247,Global Macro Portfolio,Global Macro Portfolio,0000918706,,,2,6137825234.57001,0,,2026-04-15 08:10:18.206341,
322,NPORT,series_id,1500233_0001193125-25-328001,Ironwood Institutional Multi-Strategy Fund LLC,Ironwood Institutional Multi-Strategy Fund LLC,0001500233,,,1,6014596328.0,0,,2026-04-15 08:10:18.206341,
425,NPORT,series_id,1609211_0001193125-25-303669,"AMG Pantheon Fund, LLC","AMG Pantheon Fund, LLC",0001609211,,,1,5999726263.66,0,,2026-04-15 08:10:18.206341,
105,NPORT,series_id,1195737_0001195737-25-000009,Nuveen AMT-Free Quality Municipal Income Fund,Nuveen AMT-Free Quality Municipal Income Fund,0001195737,,,1,5868565524.78001,0,,2026-04-15 08:10:18.206341,
106,NPORT,series_id,1195737_0001195737-26-000006,Nuveen AMT-Free Quality Municipal Income Fund,Nuveen AMT-Free Quality Municipal Income Fund,0001195737,,,1,5829730664.450001,0,,2026-04-15 08:10:18.206341,
603,NPORT,series_id,1803491_0001193125-26-082176,Hamilton Lane Private Assets Fund,Hamilton Lane Private Assets Fund,0001803491,,,1,5598362882.150004,0,,2026-04-15 08:10:18.206341,
1664,NPORT,series_id,S000009127,Mortgage Core Fund,Federated Hermes Core Trust,0001034106,,,1,5558675471.15,0,,2026-04-15 08:10:18.206341,
588,NPORT,series_id,1789470_0001193125-26-080141,StepStone Private Markets,StepStone Private Markets,0001789470,,,1,5444635643.570003,0,,2026-04-15 08:10:18.206341,
707,NPORT,series_id,1864609_0001193125-26-080646,Cascade Private Capital Fund,Cascade Private Capital Fund,0001864609,,,1,5413513515.640002,0,,2026-04-15 08:10:18.206341,
788,NPORT,series_id,1955857_0002071691-26-005312,Brookfield Infrastructure Income Fund Inc.,Brookfield Infrastructure Income Fund Inc.,0001955857,,,1,5047238815.53,0,,2026-04-15 08:10:18.206341,
2121,NPORT,series_id,S000033316,FlexShares iBoxx 3-Year Target Duration TIPS Index Fund,FlexShares Trust,0001491978,,,2,5040930527.629999,0,,2026-04-15 08:10:18.206341,
2705,NPORT,series_id,S000059080,Virtus InfraCap U.S. Preferred Stock ETF,ETFis Series Trust I,0001559109,,,2,5036993133.109995,0,,2026-04-15 08:10:18.206341,
602,NPORT,series_id,1803491_0001193125-25-300657,Hamilton Lane Private Assets Fund,Hamilton Lane Private Assets Fund,0001803491,,,1,5026278576.060002,0,,2026-04-15 08:10:18.206341,
727,NPORT,series_id,1876006_0001049169-26-000700,Ares Private Markets Fund,Ares Private Markets Fund,0001876006,,,1,4916417854.340003,0,,2026-04-15 08:10:18.206341,
587,NPORT,series_id,1789470_0001193125-25-301326,StepStone Private Markets,StepStone Private Markets,0001789470,,,1,4890744085.7300005,0,,2026-04-15 08:10:18.206341,
787,NPORT,series_id,1955857_0002071691-25-007868,Brookfield Infrastructure Income Fund Inc.,Brookfield Infrastructure Income Fund Inc.,0001955857,,,1,4886698069.940001,0,,2026-04-15 08:10:18.206341,
43,NPORT,series_id,1083839_0001083839-25-000010,Nuveen Quality Municipal Income Fund,Nuveen Quality Municipal Income Fund,0001083839,,,1,4810448519.699998,0,,2026-04-15 08:10:18.206341,
768,NPORT,series_id,1918642_0001193125-26-081254,StepStone Private Venture and Growth Fund,StepStone Private Venture & Growth Fund,0001918642,,,1,4799784126.29,0,,2026-04-15 08:10:18.206341,
769,NPORT,series_id,1918642_0001193125-26-119313,StepStone Private Venture and Growth Fund,StepStone Private Venture & Growth Fund,0001918642,,,1,4799784126.289997,0,,2026-04-15 08:10:18.206341,
44,NPORT,series_id,1083839_0001083839-26-000006,Nuveen Quality Municipal Income Fund,Nuveen Quality Municipal Income Fund,0001083839,,,1,4776863492.069992,0,,2026-04-15 08:10:18.206341,
708,NPORT,series_id,1864609_0001864609-26-000003,Cascade Private Capital Fund,Cascade Private Capital Fund,0001864609,,,1,4704671737.329999,0,,2026-04-15 08:10:18.206341,
175,NPORT,series_id,1275214_0001410368-26-034348,CALAMOS STRATEGIC TOTAL RETURN FUND,CALAMOS STRATEGIC TOTAL RETURN FUND,0001275214,,,1,4681612089.350002,1,CALAMOS STRATEGIC TOTAL RETURN FUND,2026-04-15 08:10:18.206341,
1031,NPORT,series_id,806628_0000940400-26-012461,DNP Select Income Fund Inc,DNP Select Income Fund Inc,0000806628,,,1,4670527279.729998,0,,2026-04-15 08:10:18.206341,
47,NPORT,series_id,1090116_0001090116-26-000006,Nuveen AMT-Free Municipal Credit Income Fund,Nuveen AMT-Free Municipal Credit Income Fund,0001090116,,,1,4642996450.799999,0,,2026-04-15 08:10:18.206341,
46,NPORT,series_id,1090116_0001090116-25-000009,Nuveen AMT-Free Municipal Credit Income Fund,Nuveen AMT-Free Municipal Credit Income Fund,0001090116,,,1,4637444625.62,0,,2026-04-15 08:10:18.206341,
726,NPORT,series_id,1876006_0001049169-25-000903,Ares Private Markets Fund,Ares Private Markets Fund,0001876006,,,1,4619878622.380001,0,,2026-04-15 08:10:18.206341,
1030,NPORT,series_id,806628_0000940400-25-013961,DNP Select Income Fund Inc.,DNP Select Income Fund Inc,0000806628,,,1,4591736188.06,0,,2026-04-15 08:10:18.206341,
174,NPORT,series_id,1275214_0001410368-25-042381,CALAMOS STRATEGIC TOTAL RETURN FUND,CALAMOS STRATEGIC TOTAL RETURN FUND,0001275214,,,1,4577934718.220006,1,CALAMOS STRATEGIC TOTAL RETURN FUND,2026-04-15 08:10:18.206341,
477,NPORT,series_id,1688554_0001099263-26-003116,PIMCO Flexible Credit Income Fund,PIMCO Flexible Credit Income Fund,0001688554,,,1,4436772949.1299925,0,,2026-04-15 08:10:18.206341,
119,NPORT,series_id,1216583_0001216583-26-000006,Nuveen Preferred & Income Opportunities Fund,Nuveen Preferred & Income Opportunities Fund,0001216583,,,1,4396456181.010001,0,,2026-04-15 08:10:18.206341,
163,NPORT,series_id,1263994_0001263994-25-000011,Reaves Utility Income Fund,Reaves Utility Income Fund,0001263994,,,1,4391566918.7699995,0,,2026-04-15 08:10:18.206341,
118,NPORT,series_id,1216583_0001216583-25-000009,Nuveen Preferred & Income Opportunities Fund,Nuveen Preferred & Income Opportunities Fund,0001216583,,,1,4361444590.490001,0,,2026-04-15 08:10:18.206341,
2315,NPORT,series_id,S000042978,ARK Next Generation Internet ETF,ARK ETF Trust,0001579982,,,2,4340873064.58,0,,2026-04-15 08:10:18.206341,
164,NPORT,series_id,1263994_0001263994-26-000013,Reaves Utility Income Fund,Reaves Utility Income Fund,0001263994,,,1,4303873634.7,0,,2026-04-15 08:10:18.206341,
476,NPORT,series_id,1688554_0001099263-25-004580,PIMCO Flexible Credit Income Fund,PIMCO Flexible Credit Income Fund,0001688554,,,1,4237832524.0100026,0,,2026-04-15 08:10:18.206341,
57,NPORT,series_id,1137887_0001137887-26-000006,Nuveen Municipal Credit Income Fund,Nuveen Municipal Credit Income Fund,0001137887,,,1,4084283936.439998,0,,2026-04-15 08:10:18.206341,
56,NPORT,series_id,1137887_0001137887-25-000009,Nuveen Municipal Credit Income Fund,Nuveen Municipal Credit Income Fund,0001137887,,,1,4082856318.4999976,0,,2026-04-15 08:10:18.206341,
177,NPORT,series_id,1275617_0001410368-26-019358,COHEN & STEERS INFRASTRUCTURE FUND INC,COHEN & STEERS INFRASTRUCTURE FUND INC,0001275617,,,1,4065791161.570001,0,,2026-04-15 08:10:18.206341,
750,NPORT,series_id,1899610_0001049169-26-000694,Carlyle AlpInvest Private Markets Fund,Carlyle AlpInvest Private Markets Fund,0001899610,,,1,3959347034.1899986,0,,2026-04-15 08:10:18.206341,
2313,NPORT,series_id,S000042976,ARK Autonomous Technology & Robotics ETF,ARK ETF Trust,0001579982,,,2,3876402869.7299995,0,,2026-04-15 08:10:18.206341,
1269,NPORT,series_id,S000001913,CCM Community Impact Bond Fund,COMMUNITY CAPITAL TRUST,0001078195,,,1,3839409901.079992,0,,2026-04-15 08:10:18.206341,
372,NPORT,series_id,1551047_0001049169-26-000713,Bluerock Private Real Estate Fund,Bluerock Private Real Estate Fund,0001551047,,,1,3812364632.439998,0,,2026-04-15 08:10:18.206341,
3006,NPORT,series_id,S000065273,Leader Capital High Quality Income Fund,Leader Funds Trust,0001766436,,,3,3751193731.120001,0,,2026-04-15 08:10:18.206341,
2499,NPORT,series_id,S000051713,"Cohen & Steers Low Duration Preferred and Income Fund, Inc.","Cohen & Steers Low Duration Preferred & Income Fund, Inc.",0001652200,,,2,3671495441.890001,0,,2026-04-15 08:10:18.206341,
176,NPORT,series_id,1275617_0001410368-25-032596,COHEN & STEERS INFRASTRUCTURE FUND INC,COHEN & STEERS INFRASTRUCTURE FUND INC,0001275617,,,1,3591827485.369998,0,,2026-04-15 08:10:18.206341,
410,NPORT,series_id,1597634_0001049169-26-000390,Apollo Diversified Real Estate Fund,APOLLO DIVERSIFIED REAL ESTATE FUND,0001597634,,,1,3561166139.460001,0,,2026-04-15 08:10:18.206341,
1488,NPORT,series_id,S000005235,HIGH INCOME OPPORTUNITIES PORTFOLIO,High Income Opportunities Portfolio,0000921370,,,2,3471339785.8199973,0,,2026-04-15 08:10:18.206341,
2629,NPORT,series_id,S000056192,abrdn Bloomberg All Commodity Strategy K-1 Free ETF,abrdn ETFs,0001597934,,,2,3406140051.750001,0,,2026-04-15 08:10:18.206341,
749,NPORT,series_id,1899610_0001049169-25-000998,Carlyle AlpInvest Private Markets Fund,Carlyle AlpInvest Private Markets Fund,0001899610,,,1,3283989592.6200013,0,,2026-04-15 08:10:18.206341,
160,NPORT,series_id,1260729_0000940400-26-009523,Gabelli Dividend & Income Trust,Gabelli Dividend & Income Trust,0001260729,,,1,3283147474.0200014,0,,2026-04-15 08:10:18.206341,
2157,NPORT,series_id,S000035082,AZL MVP Growth Index Strategy Fund,Allianz Variable Insurance Products Fund of Funds Trust,0001301708,,,2,3277699369.0699997,0,,2026-04-15 08:10:18.206341,
325,NPORT,series_id,1500234_0001193125-26-130641,Ironwood Multi-Strategy Fund LLC,Ironwood Multi-Strategy Fund LLC,0001500234,,,1,3250371312.0,0,,2026-04-15 08:10:18.206341,
159,NPORT,series_id,1260729_0000940400-25-011960,Gabelli Dividend & Income Trust,Gabelli Dividend & Income Trust,0001260729,,,1,3193289119.259999,0,,2026-04-15 08:10:18.206341,
551,NPORT,series_id,1753712_0001410368-25-032910,Lord Abbett Credit Opportunities Fund,Lord Abbett Credit Opportunities Fund,0001753712,,,1,3141268231.1599994,0,,2026-04-15 08:10:18.206341,
258,NPORT,series_id,1379438_0001410368-26-034166,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,0001379438,,,1,3135330626.539999,0,,2026-04-15 08:10:18.206341,
324,NPORT,series_id,1500234_0001193125-25-328002,Ironwood Multi-Strategy Fund LLC,Ironwood Multi-Strategy Fund LLC,0001500234,,,1,3118071575.0,0,,2026-04-15 08:10:18.206341,
4320,NPORT,series_id,S000082992,GMO U.S. Quality ETF,GMO ETF Trust,0001981627,,,1,3028249851.6599994,0,,2026-04-15 08:10:18.206341,
1852,NPORT,series_id,S000017994,Emerging Markets Local Income Portfolio,Emerging Markets Local Income Portfolio,0001394395,,,2,3002834052.5400047,0,,2026-04-15 08:10:18.206341,
552,NPORT,series_id,1753712_0001410368-26-020081,Lord Abbett Credit Opportunities Fund,Lord Abbett Credit Opportunities Fund,0001753712,,,1,2991573539.7200003,0,,2026-04-15 08:10:18.206341,
257,NPORT,series_id,1379438_0001410368-25-042708,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,0001379438,,,1,2984514839.7700005,0,,2026-04-15 08:10:18.206341,
148,NPORT,series_id,1253327_0001410368-26-034134,Eaton Vance Tax-Advantaged Dividend Income Fund,Eaton Vance Tax-Advantaged Dividend Income Fund,0001253327,,,1,2978277857.879999,0,,2026-04-15 08:10:18.206341,
39,NPORT,series_id,1074952_0001074952-26-000002,Nuveen California Quality Municipal Income Fund,Nuveen California Quality Municipal Income Fund,0001074952,,,1,2927042464.8400006,0,,2026-04-15 08:10:18.206341,
2836,NPORT,series_id,S000062125,FlexShares High Yield Value - Scored Bond Index Fund,FlexShares Trust,0001491978,,,2,2917334705.430005,0,,2026-04-15 08:10:18.206341,
