row_id,report_month,report_date,accession_number_old,accession_number_new,cusip,isin,issuer_name,shares_or_principal,market_value_usd_unknown,market_value_usd_nport,mv_delta,match_basis,syn_match,entity_id_correction,action
20940017,2024-11,2024-11-30,BACKFILL_MIG015_UNKNOWN_2024-11,0001752724-25-018310,N/A,,Americas Gold & Silver Corp.,68400000.0000,29313238.81,29313238.81,0.000000,issuer_name,byte_identical,11278→26793,FLIP_AND_RELABEL
20940065,2024-11,2024-11-30,BACKFILL_MIG015_UNKNOWN_2024-11,0001752724-25-018310,N/A,,Bellavista Resources Ltd,789474.0000,221421.87,221421.87,0.000000,issuer_name,byte_identical,11278→26793,FLIP_AND_RELABEL
20940069,2024-11,2024-11-30,BACKFILL_MIG015_UNKNOWN_2024-11,0001752724-25-018310,N/A,,Bendito Resources Inc,1200000.0000,1200000.00,1200000.00,0.000000,issuer_name,byte_identical,11278→26793,FLIP_AND_RELABEL
20940042,2024-11,2024-11-30,BACKFILL_MIG015_UNKNOWN_2024-11,0001752724-25-018310,N/A,,Bendito Resources Inc,4288000.0000,1072000.00,1072000.00,0.000000,issuer_name,byte_identical,11278→26793,FLIP_AND_RELABEL
20939981,2024-11,2024-11-30,BACKFILL_MIG015_UNKNOWN_2024-11,0001752724-25-018310,N/A,,Bendito Resources Inc,4000000.0000,1000000.00,1000000.00,0.000000,issuer_name,byte_identical,11278→26793,FLIP_AND_RELABEL
20940037,2024-11,2024-11-30,BACKFILL_MIG015_UNKNOWN_2024-11,0001752724-25-018310,N/A,,Cygnus Gold Ltd,8304438.0000,704154.27,704154.27,0.000000,issuer_name,byte_identical,11278→26793,FLIP_AND_RELABEL
20940075,2024-11,2024-11-30,BACKFILL_MIG015_UNKNOWN_2024-11,0001752724-25-018310,N/A,,Cygnus Gold Ltd,5631596.0000,477517.25,477517.25,0.000000,issuer_name,byte_identical,11278→26793,FLIP_AND_RELABEL
20940057,2024-11,2024-11-30,BACKFILL_MIG015_UNKNOWN_2024-11,0001752724-25-018310,N/A,,Evolve Strategic Element Royalties Ltd,2154000.0000,1000035.71,1000035.71,0.000000,issuer_name,byte_identical,11278→26793,FLIP_AND_RELABEL
20940034,2024-11,2024-11-30,BACKFILL_MIG015_UNKNOWN_2024-11,0001752724-25-018310,60934N682,,Federated Hermes U.S. Treasury Cash Reserves - Institutional Shares,17378817.5900,17378817.59,17378817.59,0.000000,issuer_name,byte_identical,11278→26793,FLIP_AND_RELABEL
20940032,2024-11,2024-11-30,BACKFILL_MIG015_UNKNOWN_2024-11,0001752724-25-018310,N/A,,FireFly Metals Ltd,1052632.0000,748371.58,748371.58,0.000000,issuer_name,byte_identical,11278→26793,FLIP_AND_RELABEL
