section,category,source_path,source_size_bytes,source_mtime,archive_path,archive_size_bytes,archive_md5sum,compression_ratio,deletion_status
1_full_db_exports,full_db_export,data/backups/13f_backup_20260502_080830,3441083209,2026-05-02T08:08:43,BackupToDrive/13f_backup_20260502_080830.tar.gz,2862697770,7581f631f615cc76afdc1bbd7c5d3905,0.8319,deleted
1_full_db_exports,full_db_export,data/backups/13f_backup_20260502_052505,3441027103,2026-05-02T05:25:20,BackupToDrive/13f_backup_20260502_052505.tar.gz,2862795795,7a4e171105d876277ec39a6a6e01865e,0.8320,deleted
1_full_db_exports,full_db_export,data/backups/13f_backup_20260502_172551,3440964186,2026-05-02T17:26:04,BackupToDrive/13f_backup_20260502_172551.tar.gz,2862469283,1239ae4214c8c5cd41c42ead47ea839c,0.8319,deleted
1_full_db_exports,full_db_export,data/backups/13f_backup_20260430_185107,3440794640,2026-04-30T18:51:29,BackupToDrive/13f_backup_20260430_185107.tar.gz,2863003454,b72a39aeccd920941094f69fb143dac9,0.8321,deleted
1_full_db_exports,full_db_export,data/backups/13f_backup_20260502_185832,3440688126,2026-05-02T18:59:04,BackupToDrive/13f_backup_20260502_185832.tar.gz,2862766691,f8257c999b06a1345ce0e76eee4d6227,0.8320,deleted
1_full_db_exports,full_db_export,data/backups/13f_backup_20260502_131809,3440667579,2026-05-02T13:18:24,BackupToDrive/13f_backup_20260502_131809.tar.gz,2862993101,5788782195d6baa20b0a3b6a3c6e9e48,0.8321,deleted
1_full_db_exports,full_db_export,data/backups/13f_backup_20260502_145010,3440632123,2026-05-02T14:50:26,BackupToDrive/13f_backup_20260502_145010.tar.gz,2862957723,abd05345771fa91f6f8c1e79ed52d27d,0.8321,deleted
1_full_db_exports,full_db_export,data/backups/13f_backup_20260501_103837,3440578951,2026-05-01T10:38:51,BackupToDrive/13f_backup_20260501_103837.tar.gz,2862905055,d2381e6b59a837639d0b799d184a7b3f,0.8321,deleted
1_full_db_exports,full_db_export,data/backups/13f_backup_20260502_202932,3435034413,2026-05-02T20:30:05,BackupToDrive/13f_backup_20260502_202932.tar.gz,2857362181,5ae8fddacbe2e7c1ed7f037f9b299439,0.8318,deleted
1_full_db_exports,full_db_export,data/backups/13f_backup_20260503_072956,3434685261,2026-05-03T07:30:12,BackupToDrive/13f_backup_20260503_072956.tar.gz,2857745339,8ffde790ba718cd90349f1ac89de82dd,0.8320,deleted
1_full_db_exports,full_db_export,data/backups/13f_backup_20260427_191936,3412964432,2026-04-27T19:19:50,BackupToDrive/13f_backup_20260427_191936.tar.gz,2841467273,55298ef5ea39a559ddb93dc9d484ecc3,0.8326,deleted
1_full_db_exports,full_db_export,data/backups/13f_backup_20260428_134957,3406605168,2026-04-28T13:50:08,BackupToDrive/13f_backup_20260428_134957.tar.gz,2834167175,b2c00fe0ce10e8a02ab3079e37dfcec0,0.8320,deleted
1_full_db_exports,full_db_export,data/backups/13f_backup_20260428_150858,3405890570,2026-04-28T15:09:08,BackupToDrive/13f_backup_20260428_150858.tar.gz,2832775412,78240419cfce99f830ee567b85a85811,0.8317,deleted
1_full_db_exports,full_db_export,data/backups/13f_backup_20260428_124210,3400528596,2026-04-28T12:42:23,BackupToDrive/13f_backup_20260428_124210.tar.gz,2829320530,077d17833c389b81c78cd7f85894e0f0,0.8320,deleted
