rank,brand_eid,brand_canonical_name,brand_cik,fund_aum_billions,supplementary_name_token_filer,x1_hit,x1_candidates,x1_evidence,x2_hit,x2_candidates,x2_evidence,x3_hit,x3_candidates,x3_evidence,x4_hit,x4_candidates,x4_subprobes,x4_evidence,n_signals_corroborated,x4_4c_only_no_candidate,candidate_concordance,concordance_eids,bucket
1,18073,J.P. Morgan Investment Management Inc.,,2714.5,"name-token overlap ['MORGAN'] with 13F filer 'Morgan Stanley' (cik=0000895421, n=179943)",False,,,False,,,False,,,True,,4c,4c: registrant_cik=0000356476 has 21 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000837276 has 7 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0001126087 has 24 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0001668512 has 12 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000814679 has 15 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000914036 has 26 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000778207 has 20 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0001027263 has 37 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000742212 has 16 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000893730 has 3 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0001736078 has 4 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0001039001 has 8 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000353905 has 19 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000719423 has 18 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000813900 has 26 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0001048702 has 20 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0001413032 has 21 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0001567101 has 11 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000930007 has 14 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0001047712 has 2 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000933691 has 47 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0001003239 has 11 distinct adviser_crd values (multi-adviser fund issuer),0,True,True,,D
2,2322,PIMCO,0001163368,2044.2,,False,,,True,1909;9115,"eid=1909 alias='Pacific Asset Management, LLC' normalized='PACIFIC' n_holdings=243 | eid=9115 alias='PACIFIC FINANCIAL GROUP INC' normalized='PACIFIC' n_holdings=259",False,,,True,,4c,4c: registrant_cik=0000887340 has 19 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0001047304 has 2 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000875186 has 9 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0001126087 has 24 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000914036 has 26 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0001131013 has 14 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000810893 has 2 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000933691 has 47 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0001227523 has 7 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0001479360 has 2 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0001567101 has 11 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000813900 has 26 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000742212 has 16 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0001724826 has 9 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0001027263 has 37 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000930007 has 14 distinct adviser_crd values (multi-adviser fund issuer),1,True,True,1909;9115,C
3,9904,"TEACHERS ADVISORS, LLC",0000939222,1571.1,"name-token overlap ['TEACHERS'] with 13F filer 'Teachers Retirement System of the State of Kentucky' (cik=0000714142, n=14867)",False,,,False,,,False,,,True,,4c,4c: registrant_cik=0001872555 has 11 distinct adviser_crd values (multi-adviser fund issuer),0,True,True,,D
4,1355,FRANKLIN ADVISERS INC,0000898420,1162.8,"name-token overlap ['FRANKLIN'] with 13F filer 'Franklin Resources Inc' (cik=0000038777, n=55862)",False,,,False,,,False,,,True,,4c,4c: registrant_cik=0000809707 has 2 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0001176343 has 4 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000837274 has 9 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000822671 has 4 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000933691 has 47 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000719423 has 18 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000916488 has 2 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000356476 has 21 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0001126087 has 24 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0001474103 has 4 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000357295 has 2 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000932101 has 2 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0001022804 has 2 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0001295293 has 3 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000914209 has 4 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000081259 has 2 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000914036 has 26 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0001005942 has 3 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0001995745 has 10 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000216934 has 2 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000868648 has 2 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0001027263 has 37 distinct adviser_crd values (multi-adviser fund issuer),0,True,True,,D
6,2400,Fidelity Management & Research Co LLC,0000035368,714.6,"name-token overlap ['RESEARCH'] with 13F filer 'Tower Research Capital LLC (TRC)' (cik=0001533421, n=29587)",False,,,False,,,False,,,True,,4c,4c: registrant_cik=0000035348 has 3 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000061397 has 3 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000708191 has 3 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000035315 has 4 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000081205 has 4 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000720318 has 4 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000722574 has 2 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000751199 has 6 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000831016 has 6 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000354046 has 4 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000215829 has 4 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000754510 has 4 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000819118 has 2 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000024238 has 4 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000035331 has 3 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000035341 has 4 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000320351 has 3 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000315700 has 4 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000927384 has 4 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000356494 has 4 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000707823 has 4 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000225322 has 2 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000744822 has 6 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000823535 has 5 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000795422 has 2 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0001303459 has 4 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000035402 has 2 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000729218 has 6 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000275309 has 4 distinct adviser_crd values (multi-adviser fund issuer),0,True,True,,D
7,11,Fidelity / FMR,,415.3,"name-token overlap ['FMR'] with 13F filer 'FMR LLC' (cik=0000315066, n=52627)",False,,,True,10443,eid=10443 alias='FIDELITY / FMR' normalized='FIDELITY / FMR' n_holdings=52627,False,,,False,,,,1,False,True,10443,C
8,3,State Street / SSGA,,301.9,"name-token overlap ['STATE', 'STREET'] with 13F filer 'State Street Corp' (cik=0000093751, n=17111)",False,,,True,7984,eid=7984 alias='STATE STREET / SSGA' normalized='STATE STREET / SSGA' n_holdings=17111,False,,,False,,,,1,False,True,7984,C
9,18983,"Jackson National Asset Management, LLC",,300.8,"name-token overlap ['NATIONAL'] with 13F filer 'National Bank of Canada /FI/' (cik=0000926171, n=21886)",False,,,False,,,False,,,True,,4c,4c: registrant_cik=0000933691 has 47 distinct adviser_crd values (multi-adviser fund issuer),0,True,True,,D
10,17930,Federated Advisory Services Company,,275.3,"name-token overlap ['ADVISORY', 'SERVICES'] with 13F filer 'Advisory Services Network, LLC' (cik=0001573876, n=29600)",False,,,False,,,False,,,True,,4c,4c: registrant_cik=0000789281 has 2 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000918199 has 3 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000912577 has 2 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0000013386 has 2 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0001340579 has 2 distinct adviser_crd values (multi-adviser fund issuer) | 4c: registrant_cik=0001363526 has 3 distinct adviser_crd values (multi-adviser fund issuer),0,True,True,,D
11,19555,"WisdomTree Asset Management, Inc.",,262.2,,False,,,False,,,False,,,True,,4c,4c: registrant_cik=0001350487 has 5 distinct adviser_crd values (multi-adviser fund issuer),0,True,True,,D
