rank,brand_eid,brand_canonical_name,brand_cik,fund_aum_usd_billions,paired_filer_eid,paired_filer_name,paired_filer_cik,pairing_evidence,confidence,next_action,supplementary_name_match,parent_relationship_summary,n_step2a,n_step2b,n_step2c
1,18073,J.P. Morgan Investment Management Inc.,,2714.5,,,,no Step 2a/2b ADV signal,LOW,MANUAL_PAIRING_REQUIRED,"name-token overlap ['MORGAN'] with 13F filer 'Morgan Stanley' (cik=0000895421, n=179943)",no parent,0,0,5
2,2322,PIMCO,0001163368,2044.2,,,,no Step 2a/2b ADV signal,LOW,MANUAL_PAIRING_REQUIRED,,no parent,0,0,0
3,9904,"TEACHERS ADVISORS, LLC",0000939222,1571.1,,,,no Step 2a/2b ADV signal,LOW,MANUAL_PAIRING_REQUIRED,"name-token overlap ['TEACHERS'] with 13F filer 'Teachers Retirement System of the State of Kentucky' (cik=0000714142, n=14867)",no parent,0,0,5
4,1355,FRANKLIN ADVISERS INC,0000898420,1162.8,,,,no Step 2a/2b ADV signal,LOW,MANUAL_PAIRING_REQUIRED,"name-token overlap ['FRANKLIN'] with 13F filer 'Franklin Resources Inc' (cik=0000038777, n=55862)",no parent,0,0,4
5,17924,T. Rowe Price Associates,,1105.5,3616.0,T. Rowe Price,0000080255,"CRD 105496 -> adv_managers cik 80255 (T. ROWE PRICE ASSOCIATES, INC.) -> visible eid (single CRD chain to one visible eid)",HIGH,BRIDGE_READY,"name-token overlap ['ASSOCIATES', 'PRICE', 'ROWE'] with 13F filer 'T. Rowe Price Associates Inc /MD/' (cik=0000080255, n=18064)",no parent,0,1,2
6,2400,Fidelity Management & Research Co LLC,0000035368,714.6,,,,no Step 2a/2b ADV signal,LOW,MANUAL_PAIRING_REQUIRED,"name-token overlap ['RESEARCH'] with 13F filer 'Tower Research Capital LLC (TRC)' (cik=0001533421, n=29587)",no parent,0,0,5
7,11,Fidelity / FMR,,415.3,,,,no Step 2a/2b ADV signal,LOW,MANUAL_PAIRING_REQUIRED,"name-token overlap ['FMR'] with 13F filer 'FMR LLC' (cik=0000315066, n=52627)",no parent,0,0,3
8,3,State Street / SSGA,,301.9,,,,no Step 2a/2b ADV signal,LOW,MANUAL_PAIRING_REQUIRED,"name-token overlap ['STATE', 'STREET'] with 13F filer 'State Street Corp' (cik=0000093751, n=17111)",no parent,0,0,1
9,18983,"Jackson National Asset Management, LLC",,300.8,,,,no Step 2a/2b ADV signal,LOW,MANUAL_PAIRING_REQUIRED,"name-token overlap ['NATIONAL'] with 13F filer 'National Bank of Canada /FI/' (cik=0000926171, n=21886)",no parent,0,0,5
10,17930,Federated Advisory Services Company,,275.3,,,,no Step 2a/2b ADV signal,LOW,MANUAL_PAIRING_REQUIRED,"name-token overlap ['ADVISORY', 'SERVICES'] with 13F filer 'Advisory Services Network, LLC' (cik=0001573876, n=29600)",no parent,0,0,5
11,19555,"WisdomTree Asset Management, Inc.",,262.2,,,,no Step 2a/2b ADV signal,LOW,MANUAL_PAIRING_REQUIRED,,no parent,0,0,0
12,10538,MANULIFE INVESTMENT MANAGEMENT (US) LLC,0001034182,258.0,,,,no Step 2a/2b ADV signal,LOW,MANUAL_PAIRING_REQUIRED,"name-token overlap ['US'] with 13F filer 'US Bancorp \de\' (cik=0000036104, n=39117)","parent eid=8994 (MANULIFE FINANCIAL CORP, invisible, type=wholly_owned, src=ADV_SCHEDULE_MANUAL)",0,0,5
13,8,First Trust,,232.7,,,,no Step 2a/2b ADV signal,LOW,MANUAL_PAIRING_REQUIRED,"name-token overlap ['FIRST'] with 13F filer 'First Trust Advisors LP' (cik=0001125816, n=11367)","parent eid=19601 (First Trust Advisors L.P., invisible, type=wholly_owned, src=orphan_scan)",0,0,5
14,2232,"SUNAMERICA ASSET MANAGEMENT, LLC",0000863926,222.2,,,,no Step 2a/2b ADV signal,LOW,MANUAL_PAIRING_REQUIRED,,no parent,0,0,0
15,2562,"Equitable Investment Management, LLC",0001965856,221.1,,,,no Step 2a/2b ADV signal,LOW,MANUAL_PAIRING_REQUIRED,"name-token overlap ['EQUITABLE'] with 13F filer 'Equitable Holdings, Inc.' (cik=0001333986, n=6269)","parent eid=9668 (Equitable Investment Management Group, LLC, invisible, type=wholly_owned, src=orphan_scan)",0,0,2
16,18177,"Brighthouse Investment Advisers, LLC",,168.9,,,,no Step 2a/2b ADV signal,LOW,MANUAL_PAIRING_REQUIRED,,no parent,0,0,0
17,7823,"Thrivent Asset Management, LLC",0001346952,153.1,,,,no Step 2a/2b ADV signal,LOW,MANUAL_PAIRING_REQUIRED,"name-token overlap ['THRIVENT'] with 13F filer 'Thrivent Financial for Lutherans' (cik=0000314984, n=15380)",no parent,0,0,1
18,18298,"Transamerica Asset Management, Inc.",,145.4,,,,no Step 2a/2b ADV signal,LOW,MANUAL_PAIRING_REQUIRED,"name-token overlap ['TRANSAMERICA'] with 13F filer 'Transamerica Financial Advisors, LLC' (cik=0001502149, n=4571)",no parent,0,0,1
19,17935,Macquarie Investment Management Global Limited,,138.4,,,,no Step 2a/2b ADV signal,LOW,MANUAL_PAIRING_REQUIRED,"name-token overlap ['MACQUARIE'] with 13F filer 'Macquarie Group Ltd' (cik=0001418333, n=11004)",no parent,0,0,5
20,5127,PUTNAM INVESTMENT MANAGEMENT LLC,0000081273,133.0,,,,no Step 2a/2b ADV signal,LOW,MANUAL_PAIRING_REQUIRED,,"parent eid=16 (Putnam Investments, invisible, type=fund_sponsor, src=parent_bridge)",0,0,0
