top_parent_entity_id,top_parent_canonical_name,thirteen_f_aum_billions,fund_tier_aum_billions,combined_aum_billions,n_funds_under,n_inst_subsidiaries,coverage_class,am_heuristic,n_rows,fund_tier_trace_aum_b,n_funds,category
6657,Capital World Investors,735.299355771,0.0,735.299355771,0,1,13F_only,True,0,0.0,0,A_genuine_13F_only_or_C_loader_gap
260,CITADEL ADVISORS LLC,665.872168045,0.0,665.872168045,0,1,13F_only,True,0,0.0,0,A_genuine_13F_only_or_C_loader_gap
7136,Capital International Investors,637.974701306,0.0,637.974701306,0,1,13F_only,True,0,0.0,0,A_genuine_13F_only_or_C_loader_gap
7125,Capital Research Global Investors,541.732783094,0.0,541.732783094,0,1,13F_only,True,0,0.0,0,A_genuine_13F_only_or_C_loader_gap
4248,Amundi Asset Management,367.994756112,0.0,367.994756112,8,3,13F_only,True,0,0.0,0,A_genuine_13F_only_or_C_loader_gap
8477,Envestnet Asset Management,337.094825788,0.0,337.094825788,0,1,13F_only,True,0,0.0,0,A_genuine_13F_only_or_C_loader_gap
1755,"Fisher Asset Management, LLC",292.994292134,0.0,292.994292134,0,1,13F_only,True,0,0.0,0,A_genuine_13F_only_or_C_loader_gap
5342,"PNC Financial Services Group, Inc.",183.109843854,0.0,183.109843854,0,1,13F_only,True,0,0.0,0,A_genuine_13F_only_or_C_loader_gap
8145,"D. E. Shaw & Co., Inc.",182.424024893,0.0,182.424024893,0,1,13F_only,True,0,0.0,0,A_genuine_13F_only_or_C_loader_gap
9005,"Sumitomo Mitsui Trust Group, Inc.",170.274749858,0.0,170.274749858,0,1,13F_only,True,0,0.0,0,A_genuine_13F_only_or_C_loader_gap
682,NORTHWESTERN MUTUAL WEALTH MANAGEMENT CO,158.118171945,0.0,158.118171945,0,1,13F_only,True,0,0.0,0,A_genuine_13F_only_or_C_loader_gap
4105,"Mitsubishi UFJ Asset Management Co., Ltd.",147.504538704,0.0,147.504538704,0,1,13F_only,True,0,0.0,0,A_genuine_13F_only_or_C_loader_gap
