outer_top_parent,outer_family,family_match,n_rows,aum_b
2.0,"BlackRock Bond Fund, Inc.",extra_family,6,0.027530836859999998
2.0,BlackRock ETF Trust,extra_family,502,15.77257934166
2.0,BlackRock ETF Trust,unknown_match,2,9.45083e-05
2.0,BlackRock ETF Trust II,extra_family,10,0.27803662722000005
2.0,BlackRock Funds,extra_family,68,1.8281052300899998
2.0,BlackRock Funds,unknown_match,1,0.0037845838500000003
2.0,BlackRock Funds II,extra_family,34,2.02658906924
2.0,BlackRock Funds II,intra_family,8,0.73586173734
2.0,BlackRock Funds III,extra_family,68,0.10965520251
2.0,BlackRock Funds IV,extra_family,45,0.12130186499
2.0,BlackRock Funds V,extra_family,24,0.18544852263999997
2.0,"BlackRock Index Funds, Inc.",extra_family,27,0.78865823636
2.0,"BlackRock Index Funds, Inc.",intra_family,1,3.18366839193
2.0,"BlackRock Municipal Bond Fund, Inc.",extra_family,2,0.126549
2.0,BlackRock Municipal Series Trust,extra_family,1,0.01158
2.0,"BlackRock Strategic Global Bond Fund, Inc.",extra_family,25,0.03302532322
2.0,"BlackRock Variable Series Funds II, Inc.",extra_family,2,0.00015709492999999998
2.0,Index Funds,unknown_match,50,0.03578879177
2.0,iShares Trust,extra_family,7098,519.14438747591
2.0,iShares Trust,intra_family,17,9.7510966153
2.0,iShares Trust,unknown_match,32,2.52379696905
2.0,iShares U.S. ETF Trust,extra_family,34,0.18639385616
2.0,iShares U.S. ETF Trust,intra_family,5,1.1439054178699999
2.0,"iShares, Inc.",extra_family,504,5.792285328939999
2.0,"iShares, Inc.",unknown_match,2,0.01007266725
4.0,AIM Counselor Series Trust (Invesco Counselor Series Trust),extra_family,323,11.4392990538
4.0,AIM Counselor Series Trust (Invesco Counselor Series Trust),unknown_match,3,0.0214006113
4.0,AIM Equity Funds (Invesco Equity Funds),extra_family,115,10.08881873584
4.0,AIM Funds Group (Invesco Funds Group),extra_family,21,0.20829208299
4.0,AIM Growth Series (Invesco Growth Series),extra_family,152,6.71987760584
4.0,AIM International Mutual Funds (Invesco International Mutual Funds),extra_family,65,3.74479618721
4.0,AIM Investment Funds (Invesco Investment Funds),extra_family,84,6.09549766357
4.0,AIM Investment Securities Funds (Invesco Investment Securities Funds),extra_family,21,0.13436107124
4.0,AIM Sector Funds (Invesco Sector Funds),extra_family,64,5.365242805830001
4.0,AIM Tax-Exempt Funds (Invesco Tax-Exempt Funds),extra_family,8,0.10060154499
4.0,AIM Variable Insurance Funds (Invesco Variable Insurance Funds),extra_family,290,2.6006225512000003
4.0,AIM Variable Insurance Funds (Invesco Variable Insurance Funds),unknown_match,1,0.0009290603
4.0,Invesco Actively Managed Exchange-Traded Fund Trust,extra_family,318,0.25110567332
4.0,Invesco Actively Managed Exchange-Traded Fund Trust,intra_family,8,0.01876981295
4.0,Invesco Actively Managed Exchange-Traded Fund Trust,unknown_match,4,0.0010511145
4.0,Invesco Exchange-Traded Fund Trust,extra_family,1182,30.397616417370003
4.0,Invesco Exchange-Traded Fund Trust,intra_family,8,0.19026867113999998
4.0,Invesco Exchange-Traded Fund Trust,unknown_match,10,0.4967905455
4.0,Invesco Exchange-Traded Fund Trust II,extra_family,1547,37.63940693743
4.0,Invesco Exchange-Traded Fund Trust II,intra_family,9,0.04396714866
4.0,Invesco Exchange-Traded Fund Trust II,unknown_match,6,0.0358822485
4.0,Invesco Exchange-Traded Self-Indexed Fund Trust,extra_family,420,1.35842581755
4.0,Invesco Exchange-Traded Self-Indexed Fund Trust,intra_family,3,0.00334425625
4.0,Invesco Exchange-Traded Self-Indexed Fund Trust,unknown_match,2,0.00648129555
4.0,Invesco India Exchange-Traded Fund Trust,extra_family,2,0.00131118578
4.0,"Invesco QQQ Trust, Series 1",extra_family,18,110.8614018469
5.0,SCHWAB ANNUITY PORTFOLIOS,extra_family,83,0.89305098788
5.0,SCHWAB ANNUITY PORTFOLIOS,intra_family,28,0.43481764334999995
5.0,SCHWAB ANNUITY PORTFOLIOS,unknown_match,1,0.0045979119
5.0,SCHWAB CAPITAL TRUST,extra_family,1532,52.570831674759994
5.0,SCHWAB CAPITAL TRUST,intra_family,335,18.072824024029998
5.0,SCHWAB CAPITAL TRUST,unknown_match,5,0.272098962
5.0,SCHWAB INVESTMENTS,extra_family,147,5.3686470129499995
5.0,SCHWAB INVESTMENTS,unknown_match,1,0.0285645735
5.0,SCHWAB STRATEGIC TRUST,extra_family,1716,78.60403328377
5.0,SCHWAB STRATEGIC TRUST,unknown_match,6,0.25957338345
9.0,College Retirement Equities Fund,extra_family,663,52.348581302899994
9.0,College Retirement Equities Fund,unknown_match,4,0.0676622625
9.0,NuShares ETF Trust,extra_family,195,1.596862746220002
9.0,NuShares ETF Trust,unknown_match,3,0.030897405
9.0,"Nuveen Investment Funds, Inc.",extra_family,91,1.29387138145
9.0,Nuveen Investment Trust,extra_family,66,0.36905089027
9.0,Nuveen Investment Trust II,extra_family,68,1.91095683025
9.0,Nuveen Investment Trust III,extra_family,4,0.22011362818000002
9.0,Nuveen Investment Trust V,extra_family,8,0.00271605329
9.0,Nuveen Managed Accounts Portfolio Trust,extra_family,1,0.00017765
9.0,Nuveen Municipal Trust,intra_family,3,0.05610975
9.0,TIAA Separate Account VA-1,extra_family,309,0.35968295693999996
9.0,TIAA Separate Account VA-1,unknown_match,1,0.0017727873
12.0,AMCAP Fund,extra_family,40,19.59069674577
12.0,AMERICAN FUNDS COLLEGE TARGET DATE SERIES,extra_family,55,9.18968530713
12.0,AMERICAN FUNDS INSURANCE SERIES,unknown_match,458,37.882539457620005
12.0,AMERICAN FUNDS PORTFOLIO SERIES,unknown_match,39,52.7844713346
12.0,American Balanced Fund,unknown_match,43,50.8573346058
12.0,American Funds Developing World Growth & Income Fund,extra_family,5,0.09742914341000002
12.0,American Funds Fundamental Investors,extra_family,34,31.26489466539
12.0,American Funds Fundamental Investors,unknown_match,1,0.19442031680000002
12.0,American Funds Global Balanced Fund,unknown_match,29,3.05212911368
12.0,American Funds Global Insight Fund,extra_family,23,3.29697679826
12.0,American Funds International Vantage Fund,extra_family,1,0.057740542990000004
12.0,American Funds Multi-Sector Income Fund,extra_family,1,0.00039113058
12.0,American Funds Retirement Income Portfolio Series,unknown_match,12,2.01261521303
12.0,American Funds Strategic Bond Fund,unknown_match,1,0.00037366008
12.0,American Funds Target Date Retirement Series,extra_family,146,199.96310061331
12.0,American Funds U.S. Small & Mid Cap Equity Fund,extra_family,23,0.022495278940000002
12.0,American Mutual Fund,extra_family,39,26.85889351037
