cusip_bucket,asset_category,n_rows,aum_b,n_isin,n_issuer,n_ticker
NA_lit,LON,1469039,42.17964379219525,853.0,1468521.0,1402.0
valid_format,DBT,1448077,5925.770459458875,1244233.0,1447991.0,79433.0
valid_format,EC,1152952,26427.796700616527,741853.0,1152123.0,1004649.0
valid_format,ABS-MBS,450171,1584.1903390607195,385993.0,450156.0,15478.0
zeros_or_nines,EC,354020,2045.4773024256492,260561.0,353995.0,5007.0
NA_lit,EC,302741,3126.7164426654067,159245.0,301285.0,15487.0
valid_format,ABS-O,70530,221.4820665969601,55157.0,70509.0,7662.0
valid_format,ABS-CBDO,66284,271.30436607747987,55502.0,66274.0,2049.0
zeros_or_nines,DFE,64988,-4.311510762608002,1507.0,41301.0,353.0
valid_format,LON,52183,165.0448193558017,33341.0,52154.0,2166.0
NA_lit,DFE,51210,3.224239093320004,3.0,10265.0,5493.0
zeros_or_nines,DBT,50992,141.0474514727369,41584.0,50984.0,798.0
NA_lit,DBT,38247,313.7788217723186,24251.0,38144.0,127.0
zeros_or_nines,DIR,33235,23.05499392783002,12259.0,18468.0,1307.0
zeros_or_nines,DE,32829,31.321202480830017,480.0,31970.0,1878.0
zeros_or_nines,OTHER,22382,75.62651491787598,33.0,22382.0,1114.0
zeros_or_nines,LON,20651,74.71115415369029,2325.0,20608.0,9584.0
NA_lit,DE,18412,89.08235942983629,276.0,6885.0,3693.0
valid_format,STIV,17996,784.447674383962,10895.0,17743.0,4622.0
NA_lit,DIR,16962,14.772470157466412,344.0,7492.0,2261.0
valid_format,EP,10875,71.944718984145,5989.0,10868.0,9491.0
valid_format,OTHER,7224,256.17421785629995,3244.0,7212.0,4202.0
zeros_or_nines,DCR,7095,2.6157365013400007,1795.0,4826.0,84.0
NA_lit,DCO,6387,1.4831301748067087,407.0,1775.0,3998.0
zeros_or_nines,RA,6141,42.24257073438024,0.0,4407.0,0.0
NA_lit,STIV,5775,163.53312175158973,110.0,5462.0,48.0
zeros_or_nines,DCO,5194,0.6292769481459702,436.0,3857.0,721.0
valid_format,DE,4814,0.282471146294262,1075.0,3640.0,2516.0
NA_lit,OTHER,4737,24.130163866559993,78.0,3302.0,486.0
zeros_or_nines,EP,4222,31.057662299867275,1804.0,4216.0,158.0
NA_lit,EP,3781,38.062661144206416,997.0,3728.0,235.0
NA_lit,DCR,3387,0.28208119751400007,0.0,1417.0,28.0
NA_lit,RA,2591,9.706957428880001,0.0,1947.0,48.0
zeros_or_nines,STIV,2258,96.33083561888998,438.0,2258.0,136.0
valid_format,RE,1510,3.332452112450001,1111.0,1510.0,1139.0
valid_format,SN,1429,120.78175761799001,1078.0,1427.0,93.0
valid_format,ABS-APCP,1119,3.3760249220299996,1089.0,1119.0,30.0
valid_format,DFE,1060,0.5673828479644775,0.0,1060.0,211.0
zeros_or_nines,ABS-CBDO,1011,8.057551574000001,893.0,1011.0,37.0
zeros_or_nines,ABS-MBS,902,1.01208041804,547.0,902.0,118.0
NA_lit,ABS-CBDO,773,2.1288121384299994,303.0,731.0,0.0
NA_lit,ABS-MBS,767,3.1782240755000015,106.0,759.0,5.0
NA_lit,SN,740,10.14142240706,52.0,719.0,0.0
NA_lit,ABS-O,727,2.0236438353100006,54.0,711.0,13.0
NA_lit,DO,709,0.3380174088396168,18.0,258.0,14.0
zeros_or_nines,ABS-O,654,0.83218781607,593.0,654.0,0.0
valid_format,RA,472,3.87853516288,0.0,257.0,87.0
zeros_or_nines,DO,412,-0.004459284420000002,0.0,353.0,2.0
valid_format,DIR,259,0.015584505220999122,0.0,251.0,183.0
zeros_or_nines,SN,171,0.43400714443,171.0,171.0,0.0
NA_lit,RE,135,5.71392497508,0.0,58.0,0.0
valid_format,DO,107,0.0036511936200000006,92.0,11.0,12.0
valid_format,DCR,69,-0.0031340235399999927,0.0,69.0,3.0
zeros_or_nines,RE,55,1.8605714248599998,0.0,55.0,0.0
valid_format,DCO,52,0.010872206720000019,0.0,52.0,6.0
valid_format,COMM,34,1.7702879126999997,0.0,34.0,34.0
other,DBT,9,0.047686986817837,0.0,9.0,0.0
NA_lit,COMM,9,10.600994416739997,0.0,9.0,0.0
NULL,,1,,0.0,0.0,0.0
other,EP,1,0.006437841,0.0,1.0,0.0
other,ABS-CBDO,1,0.00505818801,0.0,1.0,0.0
