cusip_bucket,asset_category,issuer_name,n_rows,aum_b,sample_isin
NA_lit,STIV,Vanguard Cmt Funds-Vanguard Market Liquidity Fund,294,93.29944895564002,
zeros_or_nines,EC,Dimensional Fund Advisors,23,67.97601856391002,
zeros_or_nines,EC,MASTER INVESTMENT PORTFOLIO,8,63.78412674567001,
NA_lit,EC,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,26,51.84989992663,
NA_lit,DE,(NULL),11527,51.41249936043,DE000C7GEHQ1
NA_lit,EC,Taiwan Semiconductor Manufacturing Co Ltd,43,44.07282187101001,TW0002330008
zeros_or_nines,EC,RUSSEL 1000 LIFEPATH,10,35.944980292050005,
zeros_or_nines,STIV,PIMCO FUNDS,156,33.91176582810001,US72201W1541
NA_lit,EC,"Taiwan Semiconductor Manufacturing Co., Ltd.",55,27.946502541589997,TW0002330008
zeros_or_nines,DE,"CBOE GLOBAL MARKETS, INC.",1603,26.23511482926,
zeros_or_nines,EC,Taiwan Semiconductor Manufacturing Co Ltd,240,24.983366366100004,TW0002330008
NA_lit,EC,TAIWAN SEMICONDUCTOR MFG CO LTD,73,23.549805484050005,TW0002330008
NA_lit,EC,ASML HOLDING NV,103,23.34995087973,NL0010273215
NA_lit,EC,SK HYNIX INC,85,23.297100046499995,KR7000660001
zeros_or_nines,EC,ASML Holding NV,507,21.9872484727,NL0010273215
NA_lit,EC,BRITISH AMERICAN TOBACCO PLC,65,19.76807213248,GB0002875804
NA_lit,EC,ROYAL CARIBBEAN CRUISES LTD,61,19.54660017057,LR0008862868
NA_lit,DBT,French Republic Government Bond OAT,105,16.968685614500004,FR0013154044
NA_lit,EC,AstraZeneca PLC,94,16.15356411307,US0463531089
NA_lit,DBT,Italy Buoni Poliennali Del Tesoro,152,15.90198063527,IT0005494239
NA_lit,EC,Alibaba Group Holding Ltd,40,15.130079343430001,KYG017191142
NA_lit,EC,ASTRAZENECA PLC,116,14.97532623386,US0463531089
zeros_or_nines,EC,Tencent Holdings Ltd,345,14.572664616539996,KYG875721634
NA_lit,EC,AIRBUS SE,57,14.47964788922,NL0000235190
NA_lit,EC,SAP SE,237,14.14677365473,DE0007164600
NA_lit,EC,ROLLS-ROYCE HOLDINGS PLC,109,14.110731783030001,GB00B63H8491
NA_lit,EC,(NULL),1456,14.07096086101,AU0000368995
zeros_or_nines,EC,SAP SE,334,13.892283487580002,DE0007164600
zeros_or_nines,EC,Samsung Electronics Co Ltd,316,13.825989868449998,KR7005930003
NA_lit,DBT,United Kingdom Gilt,142,13.74514709882,GB00BT7J0027
NA_lit,STIV,Invesco Private Prime Fund,263,13.7207213809197,
zeros_or_nines,EC,Roche Holding AG,438,13.407429027840001,CH0012032113
zeros_or_nines,EC,Linde PLC,462,13.11236716838,IE000S9YS762
zeros_or_nines,DIR,(NULL),14767,13.087331146120004,EZ3TD3PGJZ56
NA_lit,EC,TENCENT HLDGS LTD,73,13.05452842259,KYG875721634
zeros_or_nines,RA,(NULL),1734,12.953098350140015,
zeros_or_nines,EC,AstraZeneca PLC,300,12.889447742839996,GB0009895292
zeros_or_nines,EC,Accenture PLC,399,11.580124317399997,IE00B4BNMY34
zeros_or_nines,STIV,Dimensional Holdings Inc.,66,11.56984539746,
NA_lit,STIV,DREYFUS GOVERNMENT CASH MANAGE,119,11.37081993114,
zeros_or_nines,EC,Nestle SA,261,10.94509992659,CH0038863350
zeros_or_nines,EC,Shell PLC,286,10.93820380593,GB00BP6MXD84
zeros_or_nines,EC,Chubb Ltd,354,10.868838763760003,CH0044328745
NA_lit,DBT,Spain Government Bond,104,10.5443197562,ES0000012F43
NA_lit,EC,SAMSUNG ELECTRONICS CO LTD,76,10.486959475310002,KR7005930003
NA_lit,EC,Tencent Holdings Limited,73,10.473360761450001,KYG875721634
NA_lit,EC,UBS Group AG,150,10.452687705210002,CH0244767585
zeros_or_nines,EC,Medtronic PLC,477,10.44071622469,IE00BTN1Y115
zeros_or_nines,EC,TotalEnergies SE,295,10.31516208093,FR0000120271
NA_lit,EC,Siemens AG,134,10.24662595758,DE0007236101
NA_lit,COMM,Gold bullion,7,10.22156443196,
NA_lit,EC,NESTLE SA,38,10.03629018144,CH0038863350
zeros_or_nines,STIV,BLACKROCK GLOBAL,24,9.96559994682,
zeros_or_nines,EC,Novartis AG,265,9.94379678481,CH0012005267
zeros_or_nines,EC,AST PGIM Fixed Income Central Portfolio,8,9.88852575625,
NA_lit,EC,CHUBB LTD,79,9.756759878299999,CH0044328745
NA_lit,EC,ACCENTURE PLC,67,9.713099478799998,IE00B4BNMY34
NA_lit,DBT,Bundesrepublik Deutschland Bundesanleihe,96,9.479578539210003,DE000BU2Z023
NA_lit,EC,SAFRAN SA,83,9.449492109800001,FR0000073272
NA_lit,EC,BAE SYSTEMS PLC,82,9.356608243630001,GB0002634946
NA_lit,DE,SPY 03/20/2026 10010.01 P,4,9.35547975,
zeros_or_nines,EC,Global Opportunities Portfolio,1,9.34502924607,
zeros_or_nines,EC,Eaton Corp PLC,432,9.039801594270001,IE00B8KQN827
NA_lit,DBT,Japan Government Twenty Year Bond,206,8.995332779259998,JP1201871Q14
zeros_or_nines,EC,Alibaba Group Holding Ltd,242,8.970743847560001,KYG017191142
NA_lit,EC,UNICREDIT SPA,55,8.834529117299999,IT0005239360
NA_lit,STIV,GOLDMAN FINANCIAL,114,8.80106251524,
NA_lit,EC,GSK PLC,136,8.779524365560002,GB00BN7SWP63
zeros_or_nines,EC,SK hynix Inc,255,8.67299982897,KR7000660001
