norm_name,n_eids,n_ciks,eids,ciks,sample_name
WELLINGTONMANAGEMENT,2,3,"11220,14","0001678858,0001903360,0000902219",Wellington Management
CAPITALPLANNINGLLC,2,2,"9304,1863","0001790688,0002053750","CAPITAL & PLANNING, LLC"
JUSTDEVELOPITLIMITED,2,2,"25074,25980","0001908124,0001805833",Just Develop It Limited
HEARTLANDADVISORSINC,2,2,"25168,5486","0000892712,0000937394",HEARTLAND ADVISORS INC
FIDELITYFMR,2,2,"10443,11","0000945908,0000315066",Fidelity / FMR
UNITEDBANK,2,2,"410,4727","0001697791,0001286478",United Bank
MIZUHOSECURITIESUSALLC,2,2,"5617,7988","0000812291,0001513006",MIZUHO SECURITIES USA LLC
BNPPARIBAS,2,2,"5936,10027","0000872786,0001166588",BNP Paribas
COPELANDCAPITALMANAGEMENTLLC,2,2,"19028,4764","0001580642,0001541743","Copeland Capital Management, LLC"
PREMIERMACYMANAGEMENTHOLDINGSLLC,2,2,"25740,26211","0001920021,0001607062","Premier Macy Management Holdings, LLC"
EAGLECAPITALMANAGEMENTLLC,2,2,"9119,7002","0000945631,0001600746",EAGLE CAPITAL MANAGEMENT LLC
PINEBRIDGEINVESTMENTSLLC,2,2,"516,18204","0002088548,0001531721",PINEBRIDGE INVESTMENTS LLC
HAPTRADINGLLC,2,2,"2873,10387","0001049854,0001484972","HAP Trading, LLC"
CATALYSTBANCORPINCEMPLOYEESTOCKOWNERSHIPPLAN,2,2,"26435,25926","0001849867,0001910868","Catalyst Bancorp, Inc. Employee Stock Ownership Plan"
STATESTREETGLOBALADVISORSLTD,2,2,"2848,7118","0001324602,0001324601",State Street Global Advisors Ltd.
VANGUARDGROUP,2,2,"4375,1","0000102909,0000932471",Vanguard Group
CAPSTONEWEALTHMANAGEMENTGROUPLLC,2,2,"9830,10478","0001923052,0002059649","CAPSTONE WEALTH MANAGEMENT GROUP, LLC"
OCHOINVESTMENTSLLC,2,2,"26377,25444","0001096906,0001665159",Ocho Investments LLC
LONGVIEWASSETMANAGEMENTLLC,2,2,"803,1865","0001086477,0002053960","LONGVIEW ASSET MANAGEMENT, LLC"
THRIVECAPITALMANAGEMENTLLC,2,2,"5515,2366","0001845943,0001765681","Thrive Capital Management, LLC"
PINNACLEFINANCIALPARTNERSINC,2,2,"4101,2837","0001115055,0002082866","Pinnacle Financial Partners, Inc."
SCHNIEDERSCAPITALMANAGEMENTLLC,2,2,"2264,4242","0002057056,0001603937",SCHNIEDERS CAPITAL MANAGEMENT LLC
WEALTHGROUPLTD,2,2,"10693,8799","0002013988,0002010748",Wealth Group Ltd
