cusip,ticker,issuer_name,n_rows,aum_b
922908355,VSMPX,Vanguard Total Stock Market Index Fund,12,343.98389722413003
921909602,VGTSX,Vanguard Total International Stock Index Fund,16,253.94750676619
92203C105,VTBIX,Vanguard Total Bond Market II Index Fund,16,163.85268570731
315911537,FCFMX,Fidelity Concord Street Trust,14,89.58293211572999
316146679,FSGEX,Fidelity Salem Street Trust,14,61.46845188935
92211J308,VTILX,Vanguard Total International Bond II Index Fund,12,61.03301619269
31606V500,,Fidelity Central Investment Portfolios II LLC,12,43.5334884114
87245P296,TEQWX,Nuveen Equity Index Fund,14,33.37217999964
140543810,RWIGX,CAPITAL WORLD GROWTH & INCOME FUND,39,33.18185410240999
316146729,FSIGX,Fidelity Salem Street Trust,49,29.15103893177
939330817,RWMGX,WASHINGTON MUTUAL INVESTORS FUND (WMIF),38,28.6471234037
31635T823,FIFZX,Fidelity Salem Street Trust,14,28.515157923529998
399874817,RGAGX,GROWTH FUND OF AMERICA (THE),30,28.47082545418
027681816,RMFGX,AMERICAN MUTUAL FUND (AMF),48,27.733521428659994
831681812,RLLGX,SMALLCAP WORLD FUND INC,37,25.177006274009994
31635V844,FUQIX,Fidelity Salem Street Trust,2,25.16909142898
360802813,RFNGX,FUNDAMENTAL INVESTORS,36,25.077158945839997
922908306,VTSMX,Vanguard Total Stock Market Index Fund,4,23.907941953479998
779578400,TRZAX,T Rowe Price Value Fund Inc,46,23.05059111382
77958E208,TRJZX,T Rowe Price Growth Stock Fund Inc,46,22.60750324811
31635T849,FSMTX,Fidelity Salem Street Trust,2,22.040963907880002
315910125,FEMSX,Fidelity Investment Trust,63,21.48300798704
85749T756,SSEYX,State Street Equity 500 Index II Portfolio,12,21.394361644570004
253868103,DLR,Digital Realty Trust Inc,792,20.640340524270005
31617F833,FGLGX,Fidelity Hastings Street Trust,63,20.49574337149
31606V666,,Fidelity Central Investment Portfolios LLC,11,20.326838635660003
453320814,RIDGX,INCOME FUND OF AMERICA (THE) (IFA),30,19.80538815688
31635V620,FTLTX,Fidelity Salem Street Trust,91,18.81679789371
026300814,RGVGX,U S GOVERNMENT SECURITIES FUND (GVT),30,17.631114569219996
316200831,FCGSX,Fidelity Mt. Vernon Street Trust,14,16.80100386191
779552504,TRHZX,T Rowe Price Equity Index 500 Fund,45,16.069328065449998
31618H770,FINVX,Fidelity Investment Trust,63,15.541977930140002
31618H176,FSOSX,Fidelity Investment Trust,63,15.203493060269999
31618H721,FIGSX,Fidelity Investment Trust,63,15.14347108648
74149R404,TRZLX,T Rowe Price US Large-Cap Core Fund Inc,32,14.588234119680001
02629W817,RGBGX,AMERICAN FUNDS GLOBAL BALANCED FUND (GBAL),35,14.423465204389997
87245P411,TBIWX,Nuveen Bond Index Fund,14,14.17648553032
779570506,TRVZX,T Rowe Price New Income Fund Inc,31,14.044173273859998
55273H361,MRSKX,MFS Research International Fund,16,13.456194928150001
87281D827,TROZX,T Rowe Price International Value Equity Fund,46,13.199696391389999
31638R667,FSTQX,Fidelity School Street Trust,85,13.12278101649
254339104,,Dimensional Fund Advisors,2,13.05711814107
316389386,FSBDX,Fidelity Securities Fund,49,12.548237592109999
316128586,FNKLX,Fidelity Devonshire Trust,63,12.507437673119998
458809811,RBOGX,INTERMEDIATE BOND FUND OF AMERICA,22,12.485496043330002
14020E775,RGLGX,AMERICAN FUNDS GLOBAL INSIGHT FUND,24,12.33041062878
316128552,FBLEX,Fidelity Devonshire Trust,28,12.10883465741
87245P239,TCIWX,Nuveen International Equity Index Fund,14,11.888523362059999
02630D816,RILFX,AMERICAN FUNDS INFLATION LINKED BOND (ILBF),25,11.87138838104
649280815,RNWGX,NEW WORLD FUND INC,23,11.806777110649998
