entity_id,fund_name,dm_eid,dm_name,ec_eid,ec_name,fund_aum_b
16822,Strategic Advisers Fidelity International Fund,17924,T. Rowe Price Associates,10443,Fidelity / FMR,60.35835585837
12735,Goldman Sachs GQG Partners International Opportunities Fund,18062,GQG Partners LLC,22,Goldman Sachs Asset Management,52.40895653133001
16830,Strategic Advisers Fidelity Core Income Fund,17924,T. Rowe Price Associates,10443,Fidelity / FMR,43.097781580159996
11535,Putnam Large Cap Value Fund,1355,FRANKLIN ADVISERS INC,16,Putnam Investments,41.361636617969985
13742,Six Circles U.S. Unconstrained Equity Fund,2322,PIMCO,8501,J.P. Morgan Private Investments Inc.,31.832813803259985
12622,MidCap Fund,7316,PRINCIPAL FINANCIAL GROUP INC,54,Principal Financial,31.55903120173005
11719,Harbor Capital Appreciation Fund,6938,JENNISON ASSOCIATES LLC,18336,"Harbor Capital Advisors, Inc.",29.40765846732
14823,Bridge Builder Large Cap Growth Fund,18073,J.P. Morgan Investment Management Inc.,19924,Olive Street Investment Advisers LLC,28.35234968194
13743,Six Circles Managed Equity Portfolio U.S. Unconstrained Fund,17970,"BlackRock Investment Management, LLC",8501,J.P. Morgan Private Investments Inc.,26.980049083689973
11783,Old Westbury Large Cap Strategies Fund,7064,"SANDS CAPITAL MANAGEMENT, LLC",6410,BESSEMER INVESTMENT MANAGEMENT LLC,26.171319403869997
14821,Bridge Builder Large Cap Value Fund,2322,PIMCO,19924,Olive Street Investment Advisers LLC,25.31735429678
14825,Bridge Builder International Equity Fund,1589,"PGIM, Inc.",19924,Olive Street Investment Advisers LLC,23.280977814920018
13508,Disciplined Value Mid Cap Fund,9143,Boston Partners,8179,"MANUFACTURERS LIFE INSURANCE COMPANY, THE",22.946478084200002
13109,GQG Partners Emerging Markets Equity Fund,8646,"Vident Advisory, LLC",4749,SEI INVESTMENTS CO,21.161650139440003
13744,Six Circles International Unconstrained Equity Fund,1589,"PGIM, Inc.",8501,J.P. Morgan Private Investments Inc.,19.261387542610006
12038,THE HARTFORD DIVIDEND AND GROWTH FUND,9935,Wellington Management Co LLP,2984,Hartford Funds Management Co LLC,18.108457667199996
13506,Disciplined Value Fund,9143,Boston Partners,8179,"MANUFACTURERS LIFE INSURANCE COMPANY, THE",17.713542958030004
13962,AST Balanced Asset Allocation Portfolio,1013,"Clearbridge Investments, LLC",18526,"AST Investment Services, Inc.",17.59811300108001
