sub_eid,sub_name,n_series,n_crds,aum_under_subadvise_b
7069,Fidelity Management & Research (Hong Kong) Ltd,111,1,1091.3250289377102
10549,FMR Investment Management (UK) Ltd,95,1,585.49711351578
18098,Dimensional Fund Advisors Ltd.,60,1,356.55407312260996
18338,BlueCove Limited,20,1,277.52586377969
7859,"GEODE CAPITAL MANAGEMENT, LLC",23,1,253.36319979108
9937,Fidelity Management & Research (Japan) Ltd,63,1,243.75781627482007
17924,T. Rowe Price Associates,75,1,237.75108601589
18097,DFA Australia Limited,58,1,218.49084145915003
9935,Wellington Management Co LLP,109,1,188.97151917856013
9910,FIAM LLC,24,1,149.84438099241996
3050,MELLON INVESTMENTS Corp,77,1,139.61149875448
17970,"BlackRock Investment Management, LLC",102,1,134.87948311579999
17978,"T. Rowe Price Investment Management, Inc.",19,1,134.12548077304996
18073,J.P. Morgan Investment Management Inc.,76,1,121.96081349210006
1589,"PGIM, Inc.",25,1,118.69115476532998
10538,MANULIFE INVESTMENT MANAGEMENT (US) LLC,83,1,110.92933275188004
2322,PIMCO,25,1,100.44575166492
18402,"Research Affiliates, LLC",18,1,99.20072524179997
18030,BlackRock International Limited,35,1,98.73736804748003
17973,"Loomis, Sayles & Company, L.P.",38,1,92.66635352625998
