manager_type,n_filers,aum_b
mixed,1519,12272.769361639997
active,4594,11866.992307701006
passive,42,10473.532543114998
quantitative,70,4106.1736054230005
hedge_fund,970,2302.6497771459976
wealth_management,347,2259.19271864
pension_insurance,131,1755.3474856170003
strategic,457,510.15179636999994
private_equity,101,320.33973049
endowment_foundation,60,185.94018063599992
SWF,13,142.828727087
activist,19,90.588490617
family_office,47,20.083185658
venture_capital,26,8.01828473
multi_strategy,1,0.428469634
