table,writer,op,first_lineno,n_sites
entities,scripts/bootstrap_etf_advisers.py,INSERT,147,1
entities,scripts/bootstrap_residual_advisers.py,INSERT,184,1
entities,scripts/bootstrap_tier_c_advisers.py,INSERT,150,1
entities,scripts/build_entities.py,INSERT,129,3
entities,scripts/entity_sync.py,INSERT,104,1
entities,scripts/resolve_13dg_filers.py,INSERT,337,1
entity_aliases,scripts/admin_bp.py,INSERT,1121,1
entity_aliases,scripts/bootstrap_etf_advisers.py,INSERT,177,1
entity_aliases,scripts/bootstrap_residual_advisers.py,INSERT,212,1
entity_aliases,scripts/bootstrap_tier_c_advisers.py,INSERT,178,1
entity_aliases,scripts/build_entities.py,INSERT,483,2
entity_aliases,scripts/resolve_13dg_filers.py,INSERT,343,1
entity_aliases,scripts/resolve_long_tail.py,INSERT,230,1
entity_aliases,scripts/resolve_pending_series.py,INSERT,671,1
entity_classification_history,scripts/admin_bp.py,INSERT,1089,2
entity_classification_history,scripts/admin_bp.py,UPDATE,1082,1
entity_classification_history,scripts/bootstrap_etf_advisers.py,INSERT,188,1
entity_classification_history,scripts/bootstrap_residual_advisers.py,INSERT,222,1
entity_classification_history,scripts/bootstrap_tier_c_advisers.py,INSERT,188,1
entity_classification_history,scripts/build_entities.py,INSERT,604,2
entity_classification_history,scripts/build_entities.py,UPDATE,830,2
entity_classification_history,scripts/entity_sync.py,INSERT,696,1
entity_classification_history,scripts/entity_sync.py,UPDATE,691,1
entity_classification_history,scripts/resolve_13dg_filers.py,INSERT,359,1
entity_identifiers,scripts/bootstrap_etf_advisers.py,INSERT,156,2
entity_identifiers,scripts/bootstrap_residual_advisers.py,INSERT,192,2
entity_identifiers,scripts/bootstrap_tier_c_advisers.py,INSERT,158,2
entity_identifiers,scripts/build_entities.py,INSERT,320,1
entity_identifiers,scripts/entity_sync.py,INSERT,112,1
entity_identifiers,scripts/resolve_13dg_filers.py,INSERT,249,2
entity_relationships,scripts/build_entities.py,UPDATE,948,1
entity_relationships,scripts/entity_sync.py,INSERT,274,2
entity_relationships,scripts/entity_sync.py,UPDATE,238,3
entity_relationships,scripts/migrations/add_last_refreshed_at.py,UPDATE,138,1
entity_rollup_history,scripts/admin_bp.py,INSERT,1149,1
entity_rollup_history,scripts/admin_bp.py,UPDATE,1141,1
entity_rollup_history,scripts/bootstrap_etf_advisers.py,INSERT,199,1
entity_rollup_history,scripts/bootstrap_residual_advisers.py,INSERT,232,1
entity_rollup_history,scripts/bootstrap_tier_c_advisers.py,INSERT,198,1
entity_rollup_history,scripts/build_entities.py,INSERT,686,3
entity_rollup_history,scripts/build_entities.py,UPDATE,879,1
entity_rollup_history,scripts/entity_sync.py,INSERT,628,2
entity_rollup_history,scripts/entity_sync.py,UPDATE,622,2
entity_rollup_history,scripts/resolve_13dg_filers.py,INSERT,368,1
entity_rollup_history,scripts/resolve_pending_series.py,INSERT,721,1
fund_holdings_v2,scripts/build_fund_classes.py,UPDATE,112,2
fund_holdings_v2,scripts/enrich_fund_holdings_v2.py,UPDATE,335,1
fund_holdings_v2,scripts/enrich_holdings.py,UPDATE,447,1
fund_holdings_v2,scripts/pipeline/load_nport.py,INSERT,765,1
fund_holdings_v2,scripts/pipeline/load_nport.py,UPDATE,1032,3
fund_universe,scripts/fix_fund_classification.py,UPDATE,95,1
fund_universe,scripts/pipeline/load_nport.py,DELETE,1199,1
fund_universe,scripts/pipeline/load_nport.py,INSERT,1213,1
holdings_v2,scripts/backfill_manager_types.py,UPDATE,137,1
holdings_v2,scripts/build_managers.py,UPDATE,11,4
holdings_v2,scripts/enrich_holdings.py,UPDATE,237,2
holdings_v2,scripts/load_13f_v2.py,INSERT,490,1
securities,scripts/approve_overrides.py,UPDATE,48,2
securities,scripts/auto_resolve.py,UPDATE,399,2
securities,scripts/build_cusip.py,INSERT,297,1
securities,scripts/build_cusip.py,UPDATE,314,1
securities,scripts/enrich_tickers.py,UPDATE,269,2
securities,scripts/normalize_securities.py,INSERT,57,1
securities,scripts/normalize_securities.py,UPDATE,38,1
