pair_id,canonical_eid,duplicate_eid,canonical_name,duplicate_name,cycle_member_count,cycle_members,selection_reason,ambiguous_selection,canonical_type,duplicate_type,canonical_cik,duplicate_cik,canonical_crd,duplicate_crd,canonical_n_identifiers,duplicate_n_identifiers,canonical_h_v2_rows,canonical_h_v2_aum_b,duplicate_h_v2_rows,duplicate_h_v2_aum_b,canonical_fh_rollup_rows,canonical_fh_rollup_aum_b,duplicate_fh_rollup_rows,duplicate_fh_rollup_aum_b,canonical_fh_dmrollup_rows,duplicate_fh_dmrollup_rows,canonical_fh_entity_rows,duplicate_fh_entity_rows,category,n_dup_per_canonical,rollup_classification,inverted_rollup,inst_inst_relationship_ids
1,22,17941,Goldman Sachs Asset Management,"Goldman Sachs Asset Management, L.P.",2,22;17941,rule3_fh_footprint,False,institution,institution,,,,000107738,0,1,0,0.0000,0,0.0000,124984,782.6917,25067,46.5008,112744,53380,0,0,I,1,DUPLICATE_TO_CANONICAL,False,15227;15230
2,58,18070,Lazard Asset Management,Lazard Asset Management LLC,2,58;18070,rule3_fh_footprint,False,institution,institution,,,,000122836,0,1,0,0.0000,0,0.0000,14942,110.4762,0,0.0000,14942,5158,0,0,I,1,DUPLICATE_TO_CANONICAL,False,15223;15224
3,70,18357,Ariel Investments,"Ariel Investments, LLC",2,70;18357,rule3_fh_footprint,False,institution,institution,,,,000108211,0,1,0,0.0000,0,0.0000,1366,102.9026,0,0.0000,1366,0,0,0,I,1,DUPLICATE_TO_CANONICAL,False,15254;15256
4,893,17916,"LORD, ABBETT & CO. LLC","Lord, Abbett & Co. LLC",2,893;17916,rule1_active_filer,False,institution,institution,0000728100,,110391,000110391,2,1,2450,0.1253,0,0.0000,23430,283.9039,0,0.0000,23430,1832,0,0,I,1,DUPLICATE_TO_CANONICAL,False,15101;15123
5,1600,9722,"Financial Partners Group, Inc","Financial Partners Group, LLC",2,1600;9722,rule1_active_filer,False,institution,institution,0001731169,0001965246,000288644,000165856,3,2,838,3.0387,169,0.5067,6778,11.6905,0,0.0000,6778,0,0,0,I,1,DUPLICATE_TO_CANONICAL,False,15214;15215
6,2562,9668,"Equitable Investment Management, LLC","Equitable Investment Management Group, LLC",2,2562;9668,rule3_fh_footprint,False,institution,institution,0001965856,0001536185,000322513,000156933,2,2,0,0.0000,0,0.0000,231561,564.6430,0,0.0000,53433,0,0,0,I,1,DUPLICATE_TO_CANONICAL,False,15239;15240
7,2925,18537,THORNBURG INVESTMENT MANAGEMENT INC,"Thornburg Investment Management, Inc.",2,2925;18537,rule1_active_filer,False,institution,institution,0001145020,,106357,000106357,2,1,711,94.9091,0,0.0000,13242,152.4087,0,0.0000,13242,0,0,0,I,1,DUPLICATE_TO_CANONICAL,False,15102;15189
8,7558,18029,Fayez Sarofim & Co,"Fayez Sarofim & Co., LLC",2,7558;18029,rule1_active_filer,False,institution,institution,0000937729,,106584,000106584,2,1,2280,166.6704,0,0.0000,233,0.4574,795,2.1038,233,1742,0,0,I,1,DUPLICATE_TO_CANONICAL,False,15103;15265
9,7655,18649,"LEAVELL INVESTMENT MANAGEMENT, INC.","Leavell Investment Management, Inc.",2,7655;18649,rule1_active_filer,False,institution,institution,0000924181,,107890,000107890,2,1,2304,9.0290,0,0.0000,830,0.8956,0,0.0000,830,0,0,0,I,1,DUPLICATE_TO_CANONICAL,False,15112;15136
10,10501,19846,Stonebridge Capital Advisors LLC,"Stonebridge Capital Advisors, LLC",2,10501;19846,rule1_active_filer,False,institution,institution,0001600035,,111447,000111447,2,1,853,5.3898,0,0.0000,822,0.9363,1042,2.3406,330,1042,0,0,I,1,DUPLICATE_TO_CANONICAL,False,15113;15177
