top_parent_eid,top_parent_name,aum_method_a_b,aum_method_b_b,delta_aum_b,delta_pct
4375,Vanguard Group,41271.33,41271.33,0.0,0.0
10443,Fidelity / FMR,20898.01,20898.01,0.0,0.0
2,BlackRock / iShares,15738.17,15738.17,-0.0,-0.0
12,Capital Group / American Funds,14336.2,14336.2,-0.0,-0.0
7984,State Street / SSGA,5461.3,5461.3,-0.0,-0.0
3616,T. Rowe Price,5263.61,5263.61,0.0,0.0
5026,Dimensional Fund Advisors,3206.29,3154.01,52.29,0.0163
18073,J.P. Morgan Investment Management Inc.,2714.53,2714.53,-0.0,-0.0
3241,"BlackRock, Inc.",2549.5,2540.7,8.8,0.0035
17,MFS Investment Management,2346.37,2346.37,-0.0,-0.0
5,Charles Schwab,2276.33,2276.33,0.0,0.0
4,Invesco,2193.52,2193.52,-0.0,-0.0
2322,PIMCO,2043.2,2044.2,-1.0,-0.0005
11220,Wellington Management,1778.0,1778.0,0.0,0.0
9904,"TEACHERS ADVISORS, LLC",1571.05,1571.05,-0.0,-0.0
9,Nuveen / TIAA,1528.35,1528.35,0.0,0.0
10178,Ameriprise Financial,1276.44,1276.44,-0.0,-0.0
15,Dodge & Cox,1203.61,1203.61,-0.0,-0.0
1355,FRANKLIN ADVISERS INC,1162.81,1162.81,-0.0,-0.0
51,Janus Henderson,947.45,947.45,-0.0,-0.0
1589,"PGIM, Inc.",791.2,791.2,-0.0,-0.0
9935,Wellington Management Co LLP,761.93,761.93,-0.0,-0.0
7316,PRINCIPAL FINANCIAL GROUP INC,779.52,669.7,109.82,0.1409
2400,Fidelity Management & Research Co LLC,714.59,714.59,0.0,0.0
9130,VICTORY CAPITAL MANAGEMENT INC,699.51,698.74,0.77,0.0011
136,First Trust Portfolios,590.68,590.68,0.0,0.0
6309,PRIMECAP MANAGEMENT CO/CA/,582.29,582.29,0.0,0.0
22,"Goldman Sachs Asset Management, L.P.",567.79,567.79,-0.0,-0.0
8994,MANULIFE FINANCIAL CORP,543.51,543.51,0.0,0.0
2920,Morgan Stanley Investment Management,532.71,532.71,0.0,0.0
21,JPMorgan Asset Management,522.03,522.03,0.0,0.0
26,BNY Mellon / Dreyfus,492.72,492.72,-0.0,-0.0
18762,AllianceBernstein Holding L.P.,482.64,480.61,2.03,0.0042
17956,"Pzena Investment Management, LLC",480.14,480.14,-0.0,-0.0
901,"First Eagle Investment Management, LLC",462.54,462.54,0.0,0.0
4805,Franklin Templeton,436.17,436.17,0.0,0.0
0,,418.55,418.55,0.0,0.0
5022,ProShare Advisors LLC,391.31,391.31,0.0,0.0
59,Artisan Partners,340.7,340.7,-0.0,-0.0
7623,GQG Partners LLC,325.91,325.91,0.0,0.0
6053,"Allspring Global Investments Holdings, LLC",320.97,320.97,0.0,0.0
6690,HARRIS ASSOCIATES L P,307.65,307.65,0.0,0.0
18983,"Jackson National Asset Management, LLC",300.79,300.79,-0.0,-0.0
893,"Lord, Abbett & Co. LLC",284.09,284.09,-0.0,-0.0
17930,Federated Advisory Services Company,275.34,275.34,-0.0,-0.0
8386,"Natixis Investment Managers, LLC",275.01,274.85,0.17,0.0006
10914,PRUDENTIAL FINANCIAL INC,269.4,269.4,0.0,0.0
9523,ORIX Corp Europe N.V.,274.64,261.8,12.84,0.0467
19555,"WisdomTree Asset Management, Inc.",262.24,262.24,-0.0,-0.0
55,Neuberger Berman,254.22,254.22,-0.0,-0.0
