id,kind,file,site_line,description
R1,reader,scripts/queries/cross.py,33,"_cross_ownership_query: rn = _rollup_name_sql('h', rollup_type); h.{rn} -> {rn} at lines 61, 74"
R2,reader,scripts/queries/trend.py,35,"holder_momentum: rn = _rollup_name_sql('', rollup_type); references at lines 121, 145, 152 unchanged"
R3,reader,scripts/queries/trend.py,111,"holder_momentum: eid_col = _rollup_eid_sql('', rollup_type) (replaces literal column-name conditional); ref line 122"
R4,reader,scripts/queries/trend.py,331,"ownership_trend_summary: rn = _rollup_name_sql('', rollup_type); ref line 376"
R5,reader,scripts/queries/register.py,42,"query1: rn = _rollup_name_sql('h', rollup_type); h.{rn} -> {rn} at lines 51, 125, 134, 236"
R6,reader,scripts/queries/register.py,270,"query2: rn = _rollup_name_sql('', rollup_type); 3 in-SQL refs unchanged"
R7,reader,scripts/queries/register.py,449,"query3: rn = _rollup_name_sql('h', rollup_type); h.{rn} -> {rn} at line 463"
R8,reader,scripts/queries/register.py,775,"query5: rn = _rollup_name_sql('', rollup_type); ref line 781"
R9,reader,scripts/queries/register.py,1088,"query12: rn = _rollup_name_sql('', rollup_type); ref line 1094"
R10,reader,scripts/queries/register.py,1119,"query14: rn = _rollup_name_sql('h', rollup_type); h.{rn} -> {rn} at lines 1124, 1135"
R11,reader,scripts/queries/fund.py,48,"concentration: rn = _rollup_name_sql('h', ...) + rn_noalias = _rollup_name_sql('', ...); split aliased vs unaliased call sites (lines 109, 178, 187)"
R12,reader,scripts/queries/market.py,585,"short_interest_analysis: rn = _rollup_name_sql('', rollup_type); ref line 718"
R13,reader,scripts/queries/flows.py,211,"_cohort_analysis_impl: rn = _rollup_name_sql('', rollup_type); 4 in-SQL refs unchanged"
R14,reader,scripts/queries/flows.py,320,"_compute_flows_live: rn = _rollup_name_sql('', rollup_type); 2 in-SQL refs unchanged"
R15,reader,scripts/queries/flows.py,461,"flow_analysis: rn = _rollup_name_sql('', rollup_type); ref line 611"
R16,reader,scripts/queries/common.py,758,"get_13f_children: rn = _rollup_name_sql('h', rollup_type); h.{rn} -> {rn} at line 769"
H1,helper,scripts/queries/common.py,49,"NEW _rollup_name_sql(alias, rollup_type) returns SQL expression; correlated subquery for DM"
H2,helper,scripts/queries/common.py,77,"NEW _rollup_eid_sql(alias, rollup_type) — same pattern for entity_id resolution"
H3,helper,scripts/queries/common.py,49,"REMOVED _rollup_col helper (replaced by _rollup_name_sql)"
H4,helper,scripts/queries/__init__.py,25,"export _rollup_name_sql + _rollup_eid_sql in queries module surface; remove _rollup_col"
P1,pipeline-reader,scripts/compute_flows.py,47,"_ROLLUP_SPECS: 3-tuple (label, rid_col_name, rname_col_name) -> (label, rid SQL expr with h. alias, rname SQL expr); h. prefix added to FROM holdings_v2 in _insert_period_flows + _project_period_flows"
P2,pipeline-reader,scripts/build_summaries.py,60,"_ROLLUP_SPECS: same shape change as P1; h. alias added in _build_summary_by_parent + _project_summary_by_parent; redundant h. prefix removed where {rid_col} now embeds it"
P3,pipeline-reader,scripts/pipeline/compute_peer_rotation.py,397,"_materialize_parent_agg: replace MAX(dm_rollup_name) with MAX(dm_e.canonical_name) via LEFT JOIN entity_rollup_history + entities (Method A); h. alias added throughout"
P4,pipeline-reader,scripts/pipeline/compute_parent_fund_map.py,95,"_PARENT_ROLLUP_SPECS: 3-tuple shape change to embed SQL expressions; h. alias added at the SELECT DISTINCT site (line 376) and the dry-run dm_parents query (line 491)"
P5,pipeline-reader,scripts/build_fixture.py,232,"seed_sql: drop the dm_rollup_entity_id UNION arm — DM eids are reachable via the recursive entity_rollup_history walk seeded from the entity_id arms"
W1,writer,scripts/load_13f_v2.py,150,"_STG_HOLDINGS_V2_DDL: remove dm_rollup_entity_id BIGINT and dm_rollup_name VARCHAR column declarations"
W2,writer,scripts/load_13f_v2.py,231,"_TARGET_TABLE_COLUMNS: remove ('dm_rollup_entity_id','BIGINT') and ('dm_rollup_name','VARCHAR') tuples"
W3,writer,scripts/load_13f_v2.py,499,"INSERT column list and matching NULL AS SELECT entries (lines 537-538) retired"
M1,migration,scripts/migrations/025_drop_holdings_v2_dm_rollup_denorm.py,1,"NEW: CTAS-and-swap drop. Required because holdings_v2 has PRIMARY KEY on row_id (col 33) — DuckDB DROP COLUMN refuses when index sits after dropped column, and ALTER TABLE DROP CONSTRAINT is not supported"
