fund_cik,sample_fund_name,n_rows,aum_billions,classification,target_entity_id
0000013075,Bond Fund of America,5801,101.149752,LINKABLE,26537
0000050142,Tax Exempt Bond Fund of America,10606,48.164858,LINKABLE,26538
0000826813,Intermediate Bond Fund of America,2849,28.536743,LINKABLE,26542
0000925950,American High-Income Municipal Bond Fund,7418,26.592803,LINKABLE,26543
0000823620,American High Income Trust,1027,26.300655,LINKABLE,26544
0001475712,Global Opportunities Portfolio,2964,24.585991,LINKABLE,26545
0001484750,"Cohen & Steers Preferred Securities & Income Fund, Inc.",581,14.830780,LINKABLE,26549
0000933188,Senior Debt Portfolio,1349,13.746831,LINKABLE,26550
0001368040,Short-Term Bond Fund of America,1432,12.596046,LINKABLE,26551
0000909427,Limited Term Tax Exempt Bond Fund of America,3843,11.891701,LINKABLE,26552
0001493214,Global Macro Absolute Return Advantage Portfolio,2484,11.643931,LINKABLE,26554
0000812303,Capital World Bond Fund,2574,9.864997,LINKABLE,26555
0001791032,Axonic Strategic Income Fund,1046,7.969505,LINKABLE,26557
0000883676,"AB GLOBAL BOND FUND, INC.",1788,7.406895,LINKABLE,26561
0000225030,AFL CIO Housing Investment Trust,874,7.388534,LINKABLE,26562
0000915845,AB HIGH INCOME FUND INC,2135,6.245252,LINKABLE,26565
0000918706,Global Macro Portfolio,2461,6.137825,LINKABLE,26568
0002025968,BNY Mellon Active Core Bond ETF,2061,5.054681,UNMATCHED,
0001364924,Strategic Advisers Fidelity Short Duration Fund,356,5.027819,UNMATCHED,
0001766436,Leader Capital High Quality Income Fund,816,4.248417,LINKABLE,26590
0001078195,CCM Community Impact Bond Fund,2574,3.839410,LINKABLE,26588
0001652200,"Cohen & Steers Low Duration Preferred and Income Fund, Inc.",500,3.671495,LINKABLE,26591
0000921370,HIGH INCOME OPPORTUNITIES PORTFOLIO,962,3.471340,LINKABLE,26593
0001981627,GMO U.S. Quality ETF,204,3.095225,LINKABLE,26600
0001394395,Emerging Markets Local Income Portfolio,2067,3.002834,LINKABLE,26601
0000810744,Colorado BondShares A Tax Exempt Fund,652,2.761676,UNMATCHED,
0001557794,Blackstone Alternative Multi-Strategy Fund,7152,2.540852,UNMATCHED,
0002055464,Dan IVES Wedbush AI Revolution ETF,62,2.061388,UNMATCHED,
0000002646,VOYA INTERMEDIATE BOND PORTFOLIO,3905,1.845506,UNMATCHED,
0001104129,Core Bond Portfolio,765,1.712109,UNMATCHED,
0000215740,ELFUN TAX EXEMPT INCOME FUND,964,1.643298,UNMATCHED,
0001606378,EUBEL BRADY & SUTTMAN INCOME AND APPRECIATION FUND,170,1.141130,UNMATCHED,
0001166729,Bernstein Intermediate Duration Institutional Portfolio,598,0.943729,UNMATCHED,
0001760077,Preferred Securities and Income SMA Shares,492,0.869789,UNMATCHED,
0001928846,Short Duration Inflation-Protected Income Portfolio,84,0.856667,UNMATCHED,
0001496608,AB US Equity ETF,796,0.658821,UNMATCHED,
0001924447,THOR Index Rotation ETF,31,0.485060,UNMATCHED,
0001090682,VY BrandyWineGLOBAL - Bond Portfolio,89,0.457712,UNMATCHED,
0001492374,Destra Flaherty & Crumrine Preferred and Income Fund,429,0.448787,UNMATCHED,
0000906236,Macquarie Tax-Free Idaho Fund,333,0.386812,UNMATCHED,
0000750909,Hawaiian Tax-Free Trust,96,0.368508,UNMATCHED,
0000925737,Hawaii Municipal Bond Fund,428,0.339079,UNMATCHED,
0001225290,Series M,71,0.322363,UNMATCHED,
0000072760,NORTHEAST INVESTORS TRUST,89,0.256314,UNMATCHED,
0000870355,CCM Affordable Housing MBS ETF,496,0.221172,UNMATCHED,
0002069687,FIS Bright Portfolios Focused Equity ETF,121,0.195679,UNMATCHED,
0001796383,Siren DIVCON Leaders Dividend ETF,171,0.177105,UNMATCHED,
0001026634,Renaissance IPO ETF,115,0.150014,UNMATCHED,
