relationship_type,control_type,source,is_inferred,n
fund_sponsor,advisory,family_name_alias_match,True,3608
fund_sponsor,advisory,fund_cik_sibling,True,4
fund_sponsor,advisory,fund_name_alias_match,True,109
fund_sponsor,advisory,ncen_adviser_map,True,7908
fund_sponsor,advisory,nport_orphan_fix,False,858
fund_sponsor,advisory,parent_bridge,True,499
mutual_structure,mutual,ADV_SCHEDULE_A,False,13
mutual_structure,mutual,ADV_SCHEDULE_B,False,10
parent_brand,control,ADV_SCHEDULE_A,False,6
parent_brand,control,ADV_SCHEDULE_B,False,12
parent_brand,control,name_inference,False,1
parent_brand,merge,CP-4a-merge:inst-eid-bridge-fix-aliases|subsumes:fund_sponsor/30->2322/parent_bridge,False,1
parent_brand,merge,CP-4a-merge:inst-eid-bridge-fix-aliases|subsumes:wholly_owned/4375->1/orphan_scan,False,1
parent_brand,merge,CP-5-pre:cp-5-adams-duplicates|pair=1|merged_duplicate_to_canonical|subsumes:wholly_owned/19509->4909/orphan_scan,False,1
parent_brand,merge,CP-5-pre:cp-5-adams-duplicates|pair=2|merged_duplicate_to_canonical|subsumes:fund_sponsor/2961->20213/fund_cik_sibling,False,1
parent_brand,merge,CP-5-pre:cp-5-adams-duplicates|pair=3|merged_duplicate_to_canonical|subsumes:fund_sponsor/2961->20214/fund_cik_sibling,False,1
parent_brand,merge,CP-5-pre:cp-5-adams-duplicates|pair=4|merged_duplicate_to_canonical|subsumes:fund_sponsor/2961->20215/fund_cik_sibling,False,1
parent_brand,merge,CP-5-pre:cp-5-adams-duplicates|pair=5|merged_duplicate_to_canonical|subsumes:fund_sponsor/6471->20210/fund_cik_sibling,False,1
parent_brand,merge,CP-5-pre:cp-5-adams-duplicates|pair=6|merged_duplicate_to_canonical|subsumes:fund_sponsor/6471->20211/fund_cik_sibling,False,1
parent_brand,merge,CP-5-pre:cp-5-adams-duplicates|pair=7|merged_duplicate_to_canonical|subsumes:fund_sponsor/6471->20212/fund_cik_sibling,False,1
parent_brand,merge,CP-5-pre:cp-5-cycle-truncated-merges|pair=10|merged_duplicate_to_canonical|subsumes:wholly_owned/10501->19846/orphan_scan;wholly_owned/19846->10501/orphan_scan,False,1
parent_brand,merge,CP-5-pre:cp-5-cycle-truncated-merges|pair=1|merged_duplicate_to_canonical|subsumes:wholly_owned/22->17941/orphan_scan;wholly_owned/17941->22/orphan_scan,False,1
parent_brand,merge,CP-5-pre:cp-5-cycle-truncated-merges|pair=2|merged_duplicate_to_canonical|subsumes:wholly_owned/58->18070/orphan_scan;wholly_owned/18070->58/orphan_scan,False,1
parent_brand,merge,CP-5-pre:cp-5-cycle-truncated-merges|pair=3|merged_duplicate_to_canonical|subsumes:wholly_owned/70->18357/orphan_scan;wholly_owned/18357->70/orphan_scan,False,1
parent_brand,merge,CP-5-pre:cp-5-cycle-truncated-merges|pair=4|merged_duplicate_to_canonical|subsumes:wholly_owned/893->17916/orphan_scan;wholly_owned/17916->893/orphan_scan,False,1
parent_brand,merge,CP-5-pre:cp-5-cycle-truncated-merges|pair=5|merged_duplicate_to_canonical|subsumes:wholly_owned/1600->9722/orphan_scan;wholly_owned/9722->1600/orphan_scan,False,1
parent_brand,merge,CP-5-pre:cp-5-cycle-truncated-merges|pair=6|merged_duplicate_to_canonical|subsumes:wholly_owned/2562->9668/orphan_scan;wholly_owned/9668->2562/orphan_scan,False,1
parent_brand,merge,CP-5-pre:cp-5-cycle-truncated-merges|pair=7|merged_duplicate_to_canonical|subsumes:wholly_owned/2925->18537/orphan_scan;wholly_owned/18537->2925/orphan_scan,False,1
parent_brand,merge,CP-5-pre:cp-5-cycle-truncated-merges|pair=8|merged_duplicate_to_canonical|subsumes:wholly_owned/7558->18029/orphan_scan;wholly_owned/18029->7558/orphan_scan,False,1
