top_parent_eid,top_parent_name,aum_method_a_b,aum_method_b_b,delta_aum_b,delta_pct
4375,Vanguard Group,25322.975,25322.975,0.0,0.0
2,BlackRock / iShares,21642.696,21642.696,0.0,0.0
7984,State Street / SSGA,10959.488,10959.488,0.0,0.0
12,Capital Group / American Funds,7265.222,7265.222,0.0,0.0
10443,Fidelity / FMR,7224.11,7224.11,0.0,0.0
2920,Morgan Stanley Investment Management,6292.083,6292.083,0.0,0.0
21,JPMorgan Asset Management,6160.583,6160.583,0.0,0.0
89,Geode Capital Management,5886.699,5886.699,0.0,0.0
78,Bank of America / Merrill,4355.364,4355.364,0.0,0.0
24,UBS Asset Management,2381.313,4199.355,-1818.042,-0.7635
88,Susquehanna,3101.917,3101.917,0.0,0.0
91,Norges Bank,3085.436,3085.436,0.0,0.0
4435,Northern Trust,2966.811,2966.811,0.0,0.0
22,"Goldman Sachs Asset Management, L.P.",2864.169,2864.169,0.0,0.0
38,Citadel Advisors,2426.294,2426.294,0.0,0.0
4,Invesco,2404.174,2404.174,0.0,0.0
5,Charles Schwab,2294.178,2294.178,0.0,0.0
7345,Jane Street Group,2221.839,2221.839,0.0,0.0
85,RBC Global,2203.028,2203.028,0.0,0.0
26,BNY Mellon / Dreyfus,2159.337,2159.337,0.0,0.0
79,Wells Fargo,1998.739,1998.739,0.0,0.0
5026,Dimensional Fund Advisors,1776.963,1776.963,0.0,0.0
11220,Wellington Management,1693.076,1693.076,0.0,0.0
10178,Ameriprise Financial,1656.194,1656.194,0.0,0.0
4805,Franklin Templeton,1635.273,1635.273,0.0,0.0
10,Legal & General,1621.409,1621.409,0.0,0.0
9,Nuveen / TIAA,1605.661,1605.661,0.0,0.0
25,Deutsche Asset Management,1532.866,1532.866,0.0,0.0
8477,Envestnet Asset Management,1337.501,1337.501,0.0,0.0
2633,LPL Financial LLC,1267.793,1267.793,0.0,0.0
17,MFS Investment Management,1248.809,1248.809,0.0,0.0
4248,Amundi Asset Management,1243.535,1243.535,0.0,0.0
4723,Raymond James Financial,1195.337,1195.337,0.0,0.0
1755,"Fisher Asset Management, LLC",1052.17,1052.17,0.0,0.0
1589,"PGIM, Inc.",986.534,986.534,0.0,0.0
84,BMO Financial,968.433,968.433,0.0,0.0
9665,"IMC-Chicago, LLC",952.289,952.289,0.0,0.0
3583,"UBS AM, a distinct business unit of UBS ASSET MANAGEMENT AMERICAS LLC",1818.042,0.0,1818.042,1.0
7382,Optiver Holding B.V.,901.638,901.638,0.0,0.0
82,Barclays,898.393,898.393,0.0,0.0
37,Millennium Management,867.04,867.04,0.0,0.0
80,Citigroup,850.132,850.132,0.0,0.0
51,Janus Henderson,828.808,828.808,0.0,0.0
7443,Berkshire Hathaway Inc,801.302,801.302,0.0,0.0
7316,PRINCIPAL FINANCIAL GROUP INC,783.871,783.871,0.0,0.0
5936,BNP Paribas,752.469,752.469,0.0,0.0
18,American Century,742.542,742.542,0.0,0.0
15,Dodge & Cox,724.016,724.016,0.0,0.0
5342,"PNC Financial Services Group, Inc.",694.16,694.16,0.0,0.0
4105,"Mitsubishi UFJ Asset Management Co., Ltd.",689.438,689.438,0.0,0.0
