top_parent_entity_id,top_parent_canonical_name,thirteen_f_aum_billions,fund_tier_aum_billions,combined_aum_billions,n_funds_under,n_inst_subsidiaries,coverage_class
4375,Vanguard Group,6897.676080637,16420.47103029798,23318.14711093498,354,2,both
10443,Fidelity / FMR,1961.271425547,8090.147721156387,10051.419146703387,1147,4,both
3241,"BlackRock, Inc.",5916.347916984,837.0107484835878,6753.358665467588,387,6,both
2,BlackRock / iShares,0.0,5848.108456371503,5848.108456371503,1024,1,fund_only
12,Capital Group / American Funds,0.0,5641.236380286561,5641.236380286561,274,1,fund_only
7984,State Street / SSGA,2980.911055209,1617.4968009429433,4598.407856151944,426,2,both
5026,Dimensional Fund Advisors,476.724133909,1404.6124172074926,1881.3365511164925,356,4,both
4,Invesco,0.0,1871.85227803372,1871.85227803372,704,1,fund_only
2920,Morgan Stanley Investment Management,1674.996068266,193.54587784424015,1868.5419461102401,306,9,both
3616,T. Rowe Price,0.927464479,1754.8648348974646,1755.7922993764646,321,2,both
7859,"GEODE CAPITAL MANAGEMENT, LLC",1620.441726706,19.133501322740013,1639.57522802874,11,1,both
4433,JPMORGAN CHASE & CO,1592.803635626,0.0,1592.803635626,0,2,13F_only
8424,BANK OF AMERICA CORP /DE/,1473.915614101,0.0,1473.915614101,0,1,13F_only
5,Charles Schwab,0.0,1345.1214281971393,1345.1214281971393,185,1,fund_only
11220,Wellington Management,570.656014881,551.9549752965399,1122.6109901775399,52,1,both
10178,Ameriprise Financial,442.510554031,508.86852414043017,951.3790781714301,229,1,both
91,Norges Bank,934.755639394,0.0,934.755639394,0,1,13F_only
4435,Northern Trust,784.379399994,102.6934402981003,887.0728402921003,98,1,both
9755,"SUSQUEHANNA INTERNATIONAL GROUP, LLP",868.031753979,0.0,868.031753979,0,1,13F_only
18073,J.P. Morgan Investment Management Inc.,0.0,835.9533316825291,835.9533316825291,225,1,fund_only
5386,GOLDMAN SACHS GROUP INC,811.112828977,0.0,811.112828977,0,1,13F_only
17,MFS Investment Management,0.0,792.2610321930196,792.2610321930196,214,1,fund_only
