block,series_id,fund_name,current_value,proposed_value,source,new_strategy_source,support_quarter,support_row_count,support_sum_mv,support_implied_nav
A,S000090077,Rareview 2x Bull Cryptocurrency & Precious Metals ETF,excluded,passive,manual_override,unknown_cleanup_2026Q2,,0,,
B,S000000713,Western Asset Core Bond Fund,,1869626398.87,canonical_nport,orphan_backfill_2026Q2,2025Q4,1010,1947342244.06,1869626398.87
B,S000000714,Western Asset Core Plus Bond Fund,,3952570949.28,canonical_nport,orphan_backfill_2026Q2,2025Q4,1296,4214251155.53,3952570949.28
B,S000000715,Western Asset Inflation Indexed Plus Bond Fund,,40282134.22,canonical_nport,orphan_backfill_2026Q2,2025Q4,48,39752130.85,40282134.22
B,S000001146,TCW METWEST LOW DURATION BOND FUND,,878483370.97,canonical_nport,orphan_backfill_2026Q2,2025Q4,508,1029781127.66,878483370.97
B,S000001147,TCW METWEST TOTAL RETURN BOND FUND,,31064468922.50,canonical_nport,orphan_backfill_2026Q2,2025Q4,1552,33663672206.91,31064468922.50
B,S000001149,TCW METWEST HIGH YIELD BOND FUND,,419552606.17,canonical_nport,orphan_backfill_2026Q2,2025Q4,322,409448473.71,419552606.17
B,S000001151,TCW METWEST ULTRA SHORT BOND FUND,,40338152.26,canonical_nport,orphan_backfill_2026Q2,2025Q4,246,46991373.43,40338152.26
B,S000001152,TCW METWEST STRATEGIC INCOME FUND,,48703621.71,canonical_nport,orphan_backfill_2026Q2,2025Q4,479,53466689.51,48703621.71
B,S000001913,CCM Community Impact Bond Fund,,3839941072.54,canonical_nport,orphan_backfill_2026Q2,2025Q4,2574,3839409901.08,3839941072.54
B,S000002521,MFS Alabama Municipal Bond Fund,,69550332.40,canonical_nport,orphan_backfill_2026Q2,2025Q4,157,68695246.22,69550332.40
B,S000002522,MFS New York Municipal Bond Fund,,188260473.90,canonical_nport,orphan_backfill_2026Q2,2025Q4,181,181699991.23,188260473.90
B,S000002523,MFS North Carolina Municipal Bond Fund,,529635467.58,canonical_nport,orphan_backfill_2026Q2,2025Q4,288,526052626.21,529635467.58
B,S000002524,MFS Pennsylvania Municipal Bond Fund,,186221090.31,canonical_nport,orphan_backfill_2026Q2,2025Q4,233,185900313.64,186221090.31
B,S000002525,MFS South Carolina Municipal Bond Fund,,224195606.83,canonical_nport,orphan_backfill_2026Q2,2025Q4,214,222019600.40,224195606.83
B,S000002527,MFS Virginia Municipal Bond Fund,,349475705.37,canonical_nport,orphan_backfill_2026Q2,2025Q4,234,346734354.49,349475705.37
B,S000002528,MFS West Virginia Municipal Bond Fund,,85602523.86,canonical_nport,orphan_backfill_2026Q2,2025Q4,138,84769187.23,85602523.86
