eid,canonical_name,entity_type,is_inferred,created_source,fund_rows,fund_aum_usd,filer_rows,filer_aum_usd,ech_class,ech_is_activist,ech_source,ciks
3241,"BlackRock, Inc.",institution,True,managers,,0.0,199623,21642696386420.0,passive,False,managers,0002012383
2,BlackRock / iShares,institution,True,PARENT_SEEDS,944813,15738173764912.805,,0.0,passive,False,PARENT_SEEDS,0001306550|0001364742|0001137391|0000888410|0000882152|0000884216
7586,BlackRock Fund Advisors,institution,True,managers,70554,1303293291270.1296,,0.0,passive,False,managers,0001006249
3586,BLACKROCK ADVISORS LLC,institution,True,managers,213206,645067260899.9175,,0.0,passive,False,managers,0001086364
17970,"BlackRock Investment Management, LLC",institution,True,ncen_adviser_map,95262,426484088779.99976,,0.0,active,False,dm13_classification_backfill,
8453,BLACKROCK FINANCIAL MANAGEMENT INC/DE,institution,True,managers,5499,149536077450.2902,,0.0,passive,False,managers,0001086363
18030,BlackRock International Limited,institution,True,ncen_adviser_map,10063,16321520168.660013,,0.0,active,False,dm13_classification_backfill,
9160,BLACKROCK (SINGAPORE) LTD.,institution,True,managers,325,11792830001.409998,,0.0,passive,False,managers,0001559921
17999,"BlackRock Advisors, LLC",institution,True,ncen_adviser_map,3694,7767237189.689998,,0.0,,,,
26915,BlackRock Municipal 2030 Target Term Trust,institution,False,bootstrap_tier4,1118,4765819308.069999,,0.0,active,False,tier4_keyword_sweep,0001528437
26729,"BlackRock MuniHoldings California Quality Fund, Inc.",institution,False,bootstrap_tier4,425,3677303434.449999,,0.0,unknown,False,bootstrap_tier4,0001051004
26695,"BlackRock MuniYield Quality Fund, Inc.",institution,False,bootstrap_tier4,912,3038482976.039999,,0.0,unknown,False,bootstrap_tier4,0000890196
26956,BlackRock Science & Technology Trust,institution,False,bootstrap_tier4,280,2998133659.689998,,0.0,unknown,False,bootstrap_tier4,0001616678
26684,"BlackRock MuniYield Quality Fund III, Inc.",institution,False,bootstrap_tier4,605,2692484842.219997,,0.0,unknown,False,bootstrap_tier4,0000883412
26726,"BlackRock MuniHoldings Fund, Inc.",institution,False,bootstrap_tier4,850,2289271362.060003,,0.0,unknown,False,bootstrap_tier4,0001034665
26730,"BlackRock MuniHoldings New Jersey Quality Fund, Inc.",institution,False,bootstrap_tier4,485,2195824447.51,,0.0,unknown,False,bootstrap_tier4,0001053988
26783,"BlackRock Corporate High Yield Fund, Inc.",institution,False,bootstrap_tier4,1235,1994220515.7499993,,0.0,unknown,False,bootstrap_tier4,0001222401
26814,"BlackRock Enhanced Large Cap Core Fund, Inc",institution,False,bootstrap_tier4,279,1986850658.2999997,,0.0,unknown,False,bootstrap_tier4,0001278895
26764,BlackRock Municipal Income Trust II,institution,False,bootstrap_tier4,686,1839624955.0599992,,0.0,active,False,tier4_keyword_sweep,0001176194
26676,"BlackRock MuniYield Fund, Inc.",institution,False,bootstrap_tier4,558,1798018697.470001,,0.0,unknown,False,bootstrap_tier4,0000879361
27041,BlackRock Capital Allocation Term Trust,institution,False,bootstrap_tier4,1322,1736767517.7900016,,0.0,unknown,False,bootstrap_tier4,0001809541
27019,BlackRock Science and Technology Term Trust,institution,False,bootstrap_tier4,85,1728830341.3899999,,0.0,unknown,False,bootstrap_tier4,0001768666
26846,BlackRock Enhanced Equity Dividend Trust,institution,False,bootstrap_tier4,321,1726568249.49,,0.0,unknown,False,bootstrap_tier4,0001332283
27100,BlackRock ESG Capital Allocation Term Trust,institution,False,bootstrap_tier4,1323,1713353376.5299978,,0.0,unknown,False,bootstrap_tier4,0001864843
26748,BlackRock Municipal Income Trust,institution,False,bootstrap_tier4,386,1628361844.6400018,,0.0,active,False,tier4_keyword_sweep,0001137393
26654,"BlackRock MuniVest Fund, Inc.",institution,False,bootstrap_tier4,477,1449144075.39,,0.0,unknown,False,bootstrap_tier4,0000835948
26751,BlackRock Core Bond Trust,institution,False,bootstrap_tier4,3533,1433859265.1399982,,0.0,unknown,False,bootstrap_tier4,0001160864
