cik,fund_rows,fund_aum,distinct_brand_eids,brand_eid,brand_name,brand_canonical_name,brand_entity_type
0000036405,59781,22400221086595.074,1,4375,Vanguard Group,VANGUARD GROUP INC,institution
0001100663,749161,13798705591224.328,1,2,BlackRock / iShares,BlackRock / iShares,institution
0000819118,156638,6558262340841.033,2,7859,Fidelity / FMR,"GEODE CAPITAL MANAGEMENT, LLC",institution
0000752177,1283,4115088742310.149,2,4375,PRIMECAP MANAGEMENT CO/CA/,VANGUARD GROUP INC,institution
0001364924,188106,3179241410405.459,3,5047,Fidelity / FMR,MASSACHUSETTS FINANCIAL SERVICES CO /MA/,institution
0000736054,49747,3044046816087.742,1,4375,Vanguard Group,VANGUARD GROUP INC,institution
0000035315,299619,2514802283981.9478,2,2400,Fidelity / FMR,Fidelity Management & Research Co LLC,institution
0000880195,11936,2170517757018.2705,1,10443,Fidelity / FMR,FMR LLC,institution
0000355437,481982,1947858585136.613,1,5026,Dimensional Fund Advisors,DIMENSIONAL FUND ADVISORS LP,institution
0000052848,41482,1815488992414.4197,1,4375,Vanguard Group,VANGUARD GROUP INC,institution
0000862084,18367,1751798817549.5303,2,1,Vanguard Group,Vanguard Group,institution
0001380175,1323,1681607090234.1096,1,12,Capital Group / American Funds,Capital Group / American Funds,institution
0000857489,145707,1635706122556.374,1,4375,Vanguard Group,VANGUARD GROUP INC,institution
0000044201,1639,1575845893082.8594,1,12,Capital Group / American Funds,Capital Group / American Funds,institution
0001064642,134582,1575768568431.0308,3,3,State Street / SSGA,State Street / SSGA,institution
0001064641,2771,1574466734892.83,1,7984,State Street / SSGA,STATE STREET CORP,institution
0001084380,78521,1539942685767.5806,1,9904,"TEACHERS ADVISORS, LLC","TEACHERS ADVISORS, LLC",institution
0000810893,207463,1490295108293.6155,1,30,PIMCO,PIMCO,institution
0000930667,97783,1392692552555.8303,1,2,BlackRock / iShares,BlackRock / iShares,institution
0000884394,1006,1384685108198.0698,1,7984,STATE STREET CORP,STATE STREET CORP,institution
0000923202,48158,1381372495815.2612,1,4375,Vanguard Group,VANGUARD GROUP INC,institution
0000734383,4066,1343799732110.1702,2,4375,Vanguard Group,VANGUARD GROUP INC,institution
0000004568,19616,1272951795862.811,1,12,Capital Group / American Funds,Capital Group / American Funds,institution
0000777535,64717,1270965264422.551,1,9,Nuveen / TIAA,Nuveen / TIAA,institution
0000029440,10645,1203606587060.8994,1,15,Dodge & Cox,Dodge & Cox,institution
0000933691,162304,1202623129765.7117,40,142,"Jackson National Asset Management, LLC",COHEN & STEERS CAPITAL MANAGEMENT INC,institution
0000763852,27548,1184982955508.5002,1,18073,J.P. Morgan Investment Management Inc.,J.P. Morgan Investment Management Inc.,institution
0000024238,7988,1171272580760.6804,1,10443,Fidelity / FMR,FMR LLC,institution
0001454889,80795,1086206611974.6206,1,5,Charles Schwab,Charles Schwab,institution
0000904333,77743,1076809288249.6769,1,5,Charles Schwab,Charles Schwab,institution
0000104865,958,1000043960042.2,1,12,Capital Group / American Funds,Capital Group / American Funds,institution
0000794105,45865,998874730718.4604,1,1,,Vanguard Group,institution
0000754510,17306,996301755409.2303,1,10443,Fidelity / FMR,FMR LLC,institution
0001177017,5645,930415736877.0204,1,3616,T. Rowe Price,PRICE T ROWE ASSOCIATES INC /MD/,institution
0000898745,94917,898738595092.7931,16,54,Principal Financial,Principal Financial,institution
0000729528,40157,860843612042.4197,1,12,Capital Group / American Funds,Capital Group / American Funds,institution
0000744822,26551,845544024055.5398,3,3512,Fidelity / FMR,FIL Investment Advisors,institution
0000051931,1073,818815026443.5303,1,12,Capital Group / American Funds,Capital Group / American Funds,institution
0000277751,18659,802349998373.2205,2,51,Janus Henderson,Janus Henderson,institution
0001217286,64575,795698562950.9633,1,18073,J.P. Morgan Investment Management Inc.,J.P. Morgan Investment Management Inc.,institution
0000783740,9324,762522965332.75,2,17,Massachusetts Financial Services,MFS Investment Management,institution
0000071516,1410,761625017666.9401,1,12,Capital Group / American Funds,Capital Group / American Funds,institution
0000039473,1148,748532965179.94,1,12,Capital Group / American Funds,Capital Group / American Funds,institution
0000707823,13914,741896211257.45,1,10443,Fidelity / FMR,FMR LLC,institution
0000081205,15250,739344023808.53,1,10443,Fidelity / FMR,FMR LLC,institution
0000893818,12063,725346065879.4392,2,2,BlackRock Fund Advisors,BlackRock / iShares,institution
0000050013,15685,673442769680.9109,1,12,Capital Group / American Funds,Capital Group / American Funds,institution
0001021882,66316,667873391570.8705,4,70,Vanguard Group,Ariel Investments,institution
0000894005,1816,665905234022.8501,1,12,Capital Group / American Funds,Capital Group / American Funds,institution
0000719603,1785,657138911034.38,1,12,Capital Group / American Funds,Capital Group / American Funds,institution
0000320351,11273,642221538320.4701,1,10443,Fidelity / FMR,FMR LLC,institution
0001567101,57893,622731494828.1599,8,1589,Olive Street Investment Advisers LLC,"PGIM, Inc.",institution
0001004655,19542,591350033572.9705,5,4375,Wellington Management,VANGUARD GROUP INC,institution
0000105563,16902,584137205282.2501,2,4375,Vanguard Group,VANGUARD GROUP INC,institution
0000811968,11745,577267930473.7399,1,12,Capital Group / American Funds,Capital Group / American Funds,institution
0001027263,223564,559417679793.6909,23,287,"Equitable Investment Management, LLC",AXA Investment Managers US Inc.,institution
0000773757,39891,539338722606.5107,2,8654,Ameriprise Financial,"Columbia Management Investment Advisers, LLC",institution
