cik,filer_rows,filer_aum,distinct_filer_eids,filer_eid,filer_name,filer_canonical_name,filer_entity_type
0000102909,68763,25287319401601,1,4375,Vanguard Group Inc,VANGUARD GROUP INC,institution
0002012383,199623,21642696386420,1,3241,"BlackRock, Inc.","BlackRock, Inc.",institution
0000093751,17111,10959488280503,1,7984,State Street Corp,STATE STREET CORP,institution
0000315066,52627,7224109597498,1,10443,FMR LLC,FMR LLC,institution
0000895421,179943,6289007374116,1,2920,Morgan Stanley,MORGAN STANLEY,institution
0000019617,129604,6160583000176,1,4433,JPMorgan Chase & Co,JPMORGAN CHASE & CO,institution
0001214717,34077,5886698623841,1,7859,"Geode Capital Management, LLC","GEODE CAPITAL MANAGEMENT, LLC",institution
0000070858,87377,4355363582472,1,8424,Bank of America Corp /DE/,BANK OF AMERICA CORP /DE/,institution
0001374170,7008,3085435929741,1,91,Norges Bank,Norges Bank,institution
0001446194,56104,3048650061959,1,9755,"Susquehanna International Group, LLP","SUSQUEHANNA INTERNATIONAL GROUP, LLP",institution
0000073124,83696,2966811165093,1,4435,Northern Trust Corp,NORTHERN TRUST CORP,institution
0000886982,51055,2864169335036,1,5386,Goldman Sachs Group Inc,GOLDMAN SACHS GROUP INC,institution
0001422849,2274,2772492298503,1,6657,Capital World Investors,Capital World Investors,institution
0001423053,63239,2426293600606,1,260,Citadel Advisors LLC,CITADEL ADVISORS LLC,institution
0000914208,97136,2402839895188,1,569,Invesco Ltd.,Invesco Ltd.,institution
0001610520,92046,2376658834754,1,8369,UBS Group AG,UBS Group AG,institution
0001562230,1786,2346455288639,1,7136,Capital International Investors,Capital International Investors,institution
0000884546,14453,2288357479437,1,5687,Charles Schwab Investment Management Inc,CHARLES SCHWAB INVESTMENT MANAGEMENT INC,institution
0001595888,59885,2221838679054,1,7345,"Jane Street Group, LLC","JANE STREET GROUP, LLC",institution
0001000275,111747,2203028031000,1,7440,Royal Bank of Canada,Royal Bank of Canada,institution
0001390777,129668,2159336878570,1,1401,Bank of New York Mellon Corp,Bank of New York Mellon Corp,institution
0001422848,1754,2034057802585,1,7125,Capital Research Global Investors,Capital Research Global Investors,institution
0000072971,71072,1998738976198,1,3144,Wells Fargo & Company /MN/,WELLS FARGO & COMPANY/MN,institution
0000861177,76472,1818041880948,1,3583,"UBS Am, A Distinct Business Unit of UBS Asset Management Americas LLC","UBS AM, a distinct business unit of UBS ASSET MANAGEMENT AMERICAS LLC",institution
0000354204,54963,1776963373166,1,5026,Dimensional Fund Advisors LP,DIMENSIONAL FUND ADVISORS LP,institution
0000902219,22707,1693075722565,1,11220,Wellington Management Group LLP,WELLINGTON MANAGEMENT GROUP LLP,institution
0000820027,44425,1654076961123,1,10178,Ameriprise Financial Inc,AMERIPRISE FINANCIAL INC,institution
0000764068,31416,1621409307736,1,7307,Legal & General Group Plc,Legal & General Group Plc,institution
0000038777,55862,1533366557600,1,4805,Franklin Resources Inc,FRANKLIN RESOURCES INC,institution
0001871926,32024,1452249244319,1,9554,"Nuveen, LLC","Nuveen, LLC",institution
0001407543,17713,1337500589128,1,8477,Envestnet Asset Management Inc,ENVESTNET ASSET MANAGEMENT INC,institution
0001403438,22554,1266248197508,1,2633,LPL Financial LLC,LPL Financial LLC,institution
0000912938,14985,1248809291787,1,5047,Massachusetts Financial Services Co /MA/,MASSACHUSETTS FINANCIAL SERVICES CO /MA/,institution
0001330387,26938,1243534773649,1,2214,Amundi,Amundi SA,institution
0001109448,13000,1217227177370,1,8497,AllianceBernstein L.P.,ALLIANCEBERNSTEIN L.P.,institution
0000720005,54224,1193849994729,1,4723,Raymond James Financial Inc,RAYMOND JAMES FINANCIAL INC,institution
0000948046,54445,1113324269688,1,7510,Deutsche Bank Ag\,DEUTSCHE BANK AG\,institution
0000850529,4016,1052169521492,1,1755,"Fisher Asset Management, LLC","Fisher Asset Management, LLC",institution
0000927971,52494,968433043822,1,10335,Bank of Montreal /can/,BANK OF MONTREAL /CAN/,institution
