entity_id,canonical_name,entity_type_entities,ECH_source,institution_aum_usd,fund_rollup_aum_usd,signal_A_hit,signal_B_hit,signal_C_hit,signal_C_label,signal_D_hit,signal_D_value,signal_E_hit,signal_E_value,tier,recommended_wave,rationale
6474,"WOLVERINE TRADING, LLC",institution,managers,323521184926.0,0.0,False,False,False,,True,quantitative,True,quantitative,A,3,manager_type=quantitative
1472,"JARISLOWSKY, FRASER Ltd",institution,managers,51658196732.0,0.0,False,False,False,,True,strategic,True,strategic,A,3,manager_type=strategic
751,AXA Investment Managers S.A.,institution,managers,37055742936.0,0.0,False,False,False,,True,pension_insurance,True,pension_insurance,A,3,manager_type=pension_insurance
7291,CLEAR STREET LLC,institution,managers,35672938597.0,0.0,False,False,False,,True,active,True,active,A,3,manager_type=active
8174,SYNOVUS FINANCIAL CORP,institution,managers,24642272767.0,0.0,False,False,False,,True,strategic,True,strategic,A,3,manager_type=strategic
3777,CHURCHILL MANAGEMENT Corp,institution,managers,17096968703.0,0.0,False,False,False,,True,active,True,active,A,3,manager_type=active
1187,Auto-Owners Insurance Co,institution,managers,12135413699.0,0.0,False,False,False,,True,pension_insurance,True,pension_insurance,A,3,manager_type=pension_insurance
1496,"Stonegate Investment Group, LLC",institution,managers,12031164094.0,0.0,False,False,False,,True,wealth_management,True,wealth_management,A,3,manager_type=wealth_management
5404,ClearBridge Investments Ltd,institution,managers,8413302667.0,0.0,False,False,False,,True,active,True,active,A,3,manager_type=active
10388,"MEAG MUNICH ERGO, Kapitalanlagegesellschaft mbH",institution,managers,6947029148.0,0.0,False,False,False,,True,active,True,active,A,3,manager_type=active
5514,"Apexium Financial, LP",institution,managers,5617295264.0,0.0,False,False,True,hedge_fund_candidate,True,active,True,active,A,3,manager_type=active
6925,"Walgreens Boots Alliance, Inc.",institution,managers,5330684778.0,0.0,False,False,False,,True,strategic,True,strategic,A,3,manager_type=strategic
9611,"Full Sail Capital, LLC",institution,managers,5091709318.0,0.0,False,False,False,,True,active,True,active,A,3,manager_type=active
6478,MARTIN CURRIE LTD,institution,managers,5087187175.0,0.0,False,False,False,,True,strategic,True,strategic,A,3,manager_type=strategic
10621,Rehmann Capital Advisory Group,institution,managers,5065995404.0,0.0,True,False,False,,True,wealth_management,True,wealth_management,A,3,manager_type=wealth_management
10054,Northeast Financial Consultants Inc,institution,managers,4701147495.0,0.0,False,False,False,,True,strategic,True,strategic,A,3,manager_type=strategic
10420,"E Fund Management Co., Ltd.",institution,managers,4190890814.0,0.0,False,False,False,,True,active,True,active,A,3,manager_type=active
3455,Ownership Capital B.V.,institution,managers,4080394439.0,0.0,False,False,False,,True,active,True,active,A,3,manager_type=active
6567,Clear Street Derivatives LLC,institution,managers,3989514683.0,0.0,False,False,False,,True,active,True,active,A,3,manager_type=active
8148,"Coho Partners, Ltd.",institution,managers,3778561749.0,0.0,False,False,False,,True,active,True,active,A,3,manager_type=active
9367,"SPC Financial, Inc.",institution,managers,3611670095.0,0.0,False,False,False,,True,strategic,True,strategic,A,3,manager_type=strategic
2042,Silicon Valley Community Foundation,institution,managers,3507861798.0,0.0,False,False,False,,True,endowment_foundation,True,endowment_foundation,A,3,manager_type=endowment_foundation
621,Graypoint LLC,institution,managers,3382089546.0,0.0,False,False,False,,True,active,True,active,A,3,manager_type=active
9017,"HPS Investment Partners, LLC",institution,managers,3270892790.0,0.0,False,False,False,,True,hedge_fund,True,hedge_fund,A,3,manager_type=hedge_fund
9787,"Smith Anglin Financial, LLC",institution,managers,2049325472.0,0.0,False,False,False,,True,active,True,active,A,3,manager_type=active
2873,"HAP Trading, LLC",institution,managers,1992080714.0,0.0,False,False,False,,True,quantitative,True,quantitative,A,3,manager_type=quantitative
2907,"Foundry Partners, LLC",institution,managers,1889176175.0,0.0,False,False,False,,True,active,True,active,A,3,manager_type=active
1505,FORTE CAPITAL LLC /ADV,institution,managers,1773310919.0,0.0,False,False,False,,True,active,True,active,A,3,manager_type=active
2157,Unigestion Holding SA,institution,managers,1703575860.0,0.0,False,False,False,,True,active,True,active,A,3,manager_type=active
7231,Savoie Capital LLC,institution,managers,1643702957.0,0.0,False,False,False,,True,active,True,active,A,3,manager_type=active
11046,"Adero Partners, LLC",institution,managers,1528446941.0,0.0,False,False,False,,True,active,True,active,A,3,manager_type=active
2037,FIRST NATIONAL CORP /MA/ /ADV,institution,managers,1476473643.0,0.0,False,False,False,,True,strategic,True,strategic,A,3,manager_type=strategic
7355,Maple-Brown Abbott Ltd,institution,managers,1466556071.0,0.0,False,False,False,,True,strategic,True,strategic,A,3,manager_type=strategic
10387,"HAP Trading, LLC",institution,managers,1418874234.0,0.0,False,False,False,,True,quantitative,True,quantitative,A,3,manager_type=quantitative
1103,"Callan Capital, LLC",institution,managers,1352249855.0,0.0,False,False,False,,True,active,True,active,A,3,manager_type=active
1349,Clare Market Investments LLC,institution,managers,1331894568.0,0.0,False,False,False,,True,active,True,active,A,3,manager_type=active
6796,"O'Dell Group, LLC",institution,managers,1252714445.0,0.0,False,False,False,,True,active,True,active,A,3,manager_type=active
9613,"Belmont Capital, LLC",institution,managers,1214351273.0,0.0,False,False,False,,True,active,True,active,A,3,manager_type=active
1218,"Talon Private Wealth, LLC",institution,managers,1204566519.0,0.0,False,False,True,active,True,mixed,True,wealth_management,A,1,name-pattern=active
11137,"Lindbrook Capital, LLC",institution,managers,1084646695.0,0.0,False,False,False,,True,active,True,active,A,3,manager_type=active
788,"Watts Gwilliam & Co., LLC",institution,managers,1081564557.0,0.0,False,False,False,,True,strategic,True,strategic,A,3,manager_type=strategic
10260,"Shilanski & Associates, Inc.",institution,managers,1046777557.0,0.0,False,False,False,,True,strategic,True,strategic,A,3,manager_type=strategic
5473,"Cable Hill Partners, LLC",institution,managers,1024233306.0,0.0,False,False,False,,True,active,True,active,A,3,manager_type=active
2501,"Summit X, LLC",institution,managers,1012050423.0,0.0,False,False,False,,True,active,True,active,A,3,manager_type=active
4614,EWG Elevate Inc.,institution,managers,912123928.0,0.0,False,False,False,,True,strategic,True,strategic,A,3,manager_type=strategic
455,CIBC Capital Markets (Europe) S.A.,institution,managers,907214520.0,0.0,False,False,False,,True,active,True,active,A,3,manager_type=active
10439,"MONTAG & CALDWELL, LLC",institution,managers,887775431.0,0.0,False,False,False,,True,active,True,active,A,3,manager_type=active
1510,"Stenger Family Office, LLC",institution,managers,876817162.0,0.0,False,False,False,,True,family_office,True,wealth_management,A,3,manager_type=family_office
3508,West Coast Financial LLC,institution,managers,876014477.0,0.0,False,False,False,,True,active,True,active,A,3,manager_type=active
403,"Family Firm, Inc.",institution,managers,862679912.0,0.0,False,False,False,,True,strategic,True,strategic,A,3,manager_type=strategic
1884,Eleva Capital SAS,institution,managers,842533734.0,0.0,False,False,False,,True,active,True,active,A,3,manager_type=active
5343,L.M. KOHN & COMPANY,institution,managers,836980746.0,0.0,False,False,False,,True,strategic,True,strategic,A,3,manager_type=strategic
