entity_id,canonical_name,entity_type_entities,ECH_source,institution_aum_usd,fund_rollup_aum_usd,signal_A_hit,signal_B_hit,signal_C_hit,signal_C_label,signal_D_hit,signal_D_value,signal_E_hit,signal_E_value,tier,recommended_wave,rationale
8274,CIBC Bancorp USA Inc.,institution,managers,18292489731.0,0.0,False,False,False,,True,mixed,True,mixed,B,4,manager_type=mixed (ambiguous)
5549,"Atria Wealth Solutions, Inc.",institution,managers,12737027884.0,0.0,False,False,False,,True,mixed,True,mixed,B,4,manager_type=mixed (ambiguous)
4101,Pinnacle Financial Partners Inc,institution,managers,9137781451.0,0.0,False,False,False,,True,mixed,True,mixed,B,4,manager_type=mixed (ambiguous)
5617,MIZUHO SECURITIES USA LLC,institution,managers,4635512133.0,0.0,False,False,False,,True,mixed,True,mixed,B,4,manager_type=mixed (ambiguous)
2154,"Bard Financial Services, Inc.",institution,managers,2566376124.0,0.0,False,False,False,,True,mixed,True,mixed,B,4,manager_type=mixed (ambiguous)
6812,"Transform Wealth, LLC",institution,managers,1651234199.0,0.0,False,False,False,,True,mixed,True,mixed,B,4,manager_type=mixed (ambiguous)
3339,"Marcum Wealth, LLC",institution,managers,1156968358.0,0.0,False,False,False,,True,mixed,True,mixed,B,4,manager_type=mixed (ambiguous)
9102,"Spectrum Wealth Counsel, LLC",institution,managers,833114685.0,0.0,False,False,False,,True,mixed,True,mixed,B,4,manager_type=mixed (ambiguous)
10805,FULLCIRCLE WEALTH LLC,institution,managers,794926969.0,0.0,False,False,False,,True,mixed,True,mixed,B,4,manager_type=mixed (ambiguous)
9098,Waypoint Wealth Partners Inc.,institution,managers,773151335.0,0.0,False,False,False,,True,mixed,True,mixed,B,4,manager_type=mixed (ambiguous)
7267,Texas Capital Bancshares Inc/TX,institution,managers,765482133.0,0.0,False,False,False,,True,mixed,True,mixed,B,4,manager_type=mixed (ambiguous)
10440,"PATRIOT FINANCIAL PARTNERS GP, LP",institution,managers,580111901.0,0.0,False,False,True,hedge_fund_candidate,True,mixed,True,mixed,B,4,LP-suffix candidate (weak)
9722,"Financial Partners Group, LLC",institution,managers,506680382.0,0.0,False,False,False,,True,mixed,True,mixed,B,4,manager_type=mixed (ambiguous)
400,"U S WEALTH GROUP, LLC.",institution,managers,407504700.0,0.0,False,False,False,,True,mixed,True,mixed,B,4,manager_type=mixed (ambiguous)
7246,FUTURE YOU WEALTH LLC,institution,managers,340215106.0,0.0,False,False,False,,True,mixed,True,mixed,B,4,manager_type=mixed (ambiguous)
9465,Defined Financial Planning LLC,institution,managers,331809216.0,0.0,False,False,False,,True,mixed,True,wealth_management,B,4,manager_type=mixed (ambiguous)
466,Priebe Wealth Holdings LLC,institution,managers,275834845.0,0.0,False,False,False,,True,mixed,True,mixed,B,4,manager_type=mixed (ambiguous)
4048,IronOak Wealth LLC.,institution,managers,192198788.0,0.0,False,False,False,,True,mixed,True,mixed,B,4,manager_type=mixed (ambiguous)
8412,Ebor Charitable Trust,institution,managers,145333345.0,0.0,False,False,True,active,True,endowment_foundation,True,endowment_foundation,B,4,name=active conflicts with manager_type=endowment_foundation
9625,Skorpios Trust,institution,managers,136349504.0,0.0,False,False,True,active,True,endowment_foundation,True,endowment_foundation,B,4,name=active conflicts with manager_type=endowment_foundation
7212,"Michael A. Dubis Financial Planning, LLC",institution,managers,103020867.0,0.0,False,False,False,,True,mixed,True,wealth_management,B,4,manager_type=mixed (ambiguous)
4200,"Heritage Wealth Partners, LLC",institution,managers,65593370.0,0.0,False,False,False,,True,mixed,True,mixed,B,4,manager_type=mixed (ambiguous)
418,"Old North State Trust, LLC",institution,managers,478541.0,0.0,False,False,True,active,True,endowment_foundation,True,endowment_foundation,B,4,name=active conflicts with manager_type=endowment_foundation
10875,Amica Retiree Medical Trust,institution,managers,207995.0,0.0,False,False,True,active,True,endowment_foundation,True,endowment_foundation,B,4,name=active conflicts with manager_type=endowment_foundation
17956,"Pzena Investment Management, LLC",institution,default_unknown,0.0,480136768473.42017,False,True,False,,False,,False,,B,4,N-CEN role=subadviser only (no class signal)
18062,GQG Partners LLC,institution,default_unknown,0.0,325909220676.62006,False,True,False,,False,,False,,B,4,N-CEN role=subadviser only (no class signal)
18983,"Jackson National Asset Management, LLC",institution,default_unknown,0.0,300790894227.8795,False,True,False,,False,,False,,B,4,N-CEN role=adviser only (no class signal)
17930,Federated Advisory Services Company,institution,default_unknown,0.0,275335717174.4101,False,True,False,,False,,False,,B,4,N-CEN role=adviser only (no class signal)
19555,"WisdomTree Asset Management, Inc.",institution,default_unknown,0.0,262242184223.8401,False,True,False,,False,,False,,B,4,N-CEN role=adviser only (no class signal)
18177,"Brighthouse Investment Advisers, LLC",institution,default_unknown,0.0,168944419442.6398,False,True,False,,False,,False,,B,4,N-CEN role=adviser only (no class signal)
18051,Nationwide Fund Advisors,institution,default_unknown,0.0,164787774406.81003,False,True,False,,False,,False,,B,4,N-CEN role=adviser only (no class signal)
18298,"Transamerica Asset Management, Inc.",institution,default_unknown,0.0,145429837632.17996,False,True,False,,False,,False,,B,4,N-CEN role=adviser only (no class signal)
18814,Causeway Capital Management LLC,institution,default_unknown,0.0,141860144466.0387,False,True,False,,False,,False,,B,4,N-CEN role=subadviser only (no class signal)
17935,Macquarie Investment Management Global Limited,institution,default_unknown,0.0,138379602457.44,False,True,False,,False,,False,,B,4,N-CEN role=subadviser only (no class signal)
18286,"Grantham, Mayo, Van Otterloo & Co. LLC",institution,default_unknown,0.0,132354744735.06006,False,True,False,,False,,False,,B,4,N-CEN role=adviser only (no class signal)
