kind,name,path_or_branch,sha,category,reason,pr,delete_method
worktree,/Users/sergetismen/ClaudeWorkspace/Projects/13f-ownership,main,46fa3fb,KEEP_MAIN,main repo,,
worktree,pedantic-lamarr-c00e78,claude/pedantic-lamarr-c00e78,46fa3fb,KEEP_ACTIVE,this PR's worktree,,
worktree,condescending-payne-657a73,claude/condescending-payne-657a73,b24975c,RETIRE_MERGED_PR,PR #264 merged 2026-05-03,#264,worktree remove --force
worktree,hardcore-banach-af9cc2,claude/hardcore-banach-af9cc2,7f21574,RETIRE_STALE,sync-audit work behind 18 commits no associated PR,,worktree remove --force
worktree,kind-gauss-eb0ad2,claude/kind-gauss-eb0ad2,394f962,RETIRE_MERGED_PR,PR #261 merged 2026-05-03,#261,worktree remove --force
worktree,nostalgic-franklin-3eaf1a,claude/nostalgic-franklin-3eaf1a,b65363a,RETIRE_STALE,sync-audit-resolution work behind 17 commits no associated PR,,worktree remove --force
branch,main,main,46fa3fb,KEEP_MAIN,main branch,,
branch,claude/pedantic-lamarr-c00e78,claude/pedantic-lamarr-c00e78,46fa3fb,KEEP_ACTIVE,active session branch,,
branch,claude/competent-mclean-b334c6,claude/competent-mclean-b334c6,5af96e1,DELETE_MERGED,IN-MAIN ancestry,,git branch -d
branch,claude/condescending-payne-657a73,claude/condescending-payne-657a73,b24975c,DELETE_MERGED,IN-MAIN ancestry; freed after worktree retire,,git branch -d
branch,claude/condescending-visvesvaraya-c919ce,claude/condescending-visvesvaraya-c919ce,1a6e400,DELETE_MERGED,IN-MAIN ancestry,,git branch -d
branch,claude/cool-torvalds-4a3b12,claude/cool-torvalds-4a3b12,4ee2b97,DELETE_MERGED,IN-MAIN ancestry,,git branch -d
branch,claude/cranky-hugle-c74f17,claude/cranky-hugle-c74f17,c53337c,DELETE_MERGED,IN-MAIN ancestry,,git branch -d
branch,claude/determined-johnson-b98483,claude/determined-johnson-b98483,b24975c,DELETE_MERGED,IN-MAIN ancestry,,git branch -d
branch,claude/eager-moore-74200c,claude/eager-moore-74200c,f256e5e,DELETE_MERGED,IN-MAIN ancestry,,git branch -d
branch,claude/ecstatic-mestorf-d20e8a,claude/ecstatic-mestorf-d20e8a,dfa392e,DELETE_MERGED,IN-MAIN ancestry,,git branch -d
branch,claude/epic-chebyshev-064eeb,claude/epic-chebyshev-064eeb,d272624,DELETE_MERGED,IN-MAIN ancestry,,git branch -d
branch,claude/epic-roentgen-4bdb17,claude/epic-roentgen-4bdb17,c53337c,DELETE_MERGED,IN-MAIN ancestry,,git branch -d
branch,claude/flamboyant-einstein-b40e83,claude/flamboyant-einstein-b40e83,6b31fe7,DELETE_MERGED,IN-MAIN ancestry,,git branch -d
branch,claude/gifted-black-c4d1c6,claude/gifted-black-c4d1c6,9cfe339,DELETE_MERGED,IN-MAIN ancestry (PR #271 SHA),#271,git branch -d
branch,claude/goofy-grothendieck-34bff4,claude/goofy-grothendieck-34bff4,6b31fe7,DELETE_MERGED,IN-MAIN ancestry,,git branch -d
branch,claude/hardcore-banach-af9cc2,claude/hardcore-banach-af9cc2,7f21574,DELETE_MERGED,IN-MAIN ancestry; freed after worktree retire,,git branch -d
branch,claude/inspiring-taussig-f883e7,claude/inspiring-taussig-f883e7,65da8cc,DELETE_MERGED,IN-MAIN ancestry,,git branch -d
branch,claude/kind-gauss-eb0ad2,claude/kind-gauss-eb0ad2,394f962,DELETE_MERGED,IN-MAIN ancestry; freed after worktree retire,,git branch -d
branch,claude/modest-snyder-b17577,claude/modest-snyder-b17577,448bd01,DELETE_MERGED,IN-MAIN ancestry,,git branch -d
