series_id,fund_name,family_name,current_fund_strategy,proposed_fund_strategy,total_net_assets,triggering_pattern
S000101292,"Invesco QQQ Trust, Series 1","Invesco QQQ Trust, Series 1",equity,passive,407693673462.84,qqq
S000002573,VANGUARD TARGET RETIREMENT 2035 FUND,VANGUARD CHESTER FUNDS,equity,passive,119365651112.19,target_retirement
S000012761,VANGUARD TARGET RETIREMENT 2040 FUND,VANGUARD CHESTER FUNDS,equity,passive,109141754748.04,target_retirement
S000002574,VANGUARD TARGET RETIREMENT 2045 FUND,VANGUARD CHESTER FUNDS,equity,passive,108994613592.05,target_retirement
S000012760,VANGUARD TARGET RETIREMENT 2030 FUND,VANGUARD CHESTER FUNDS,equity,passive,108935139126.93,target_retirement
S000012762,VANGUARD TARGET RETIREMENT 2050 FUND,VANGUARD CHESTER FUNDS,equity,passive,95999017635.83,target_retirement
S000002572,VANGUARD TARGET RETIREMENT 2025 FUND,VANGUARD CHESTER FUNDS,equity,passive,76514313516.96,target_retirement
S000029700,VANGUARD TARGET RETIREMENT 2055 FUND,VANGUARD CHESTER FUNDS,equity,passive,66885018922.69,target_retirement
S000015560,American Funds 2035 Target Date Retirement Fund,American Funds Target Date Retirement Series,equity,passive,55360456168.34,target_date
S000015559,American Funds 2030 Target Date Retirement Fund,American Funds Target Date Retirement Series,equity,passive,52776346490.63,target_date
S000015561,American Funds 2040 Target Date Retirement Fund,American Funds Target Date Retirement Series,equity,passive,52228943556.0,target_date
S000015562,American Funds 2045 Target Date Retirement Fund,American Funds Target Date Retirement Series,equity,passive,45763967353.14,target_date
S000015563,American Funds 2050 Target Date Retirement Fund,American Funds Target Date Retirement Series,equity,passive,41471102953.73,target_date
S000035453,VANGUARD TARGET RETIREMENT 2060 FUND,VANGUARD CHESTER FUNDS,equity,passive,40109759469.36,target_retirement
S000002569,VANGUARD TARGET RETIREMENT INCOME FUND,VANGUARD CHESTER FUNDS,equity,passive,36132702458.14,target_retirement
S000012759,VANGUARD TARGET RETIREMENT 2020 FUND,VANGUARD CHESTER FUNDS,equity,passive,35224685897.5,target_retirement
S000015558,American Funds 2025 Target Date Retirement Income Fund,American Funds Target Date Retirement Series,equity,passive,32379858236.21,target_date
S000027236,American Funds 2055 Target Date Retirement Fund,American Funds Target Date Retirement Series,equity,passive,30185413096.85,target_date
S000024908,ProShares UltraPro QQQ,ProShares Trust,multi_asset,passive,27316016534.29,qqq
S000047903,American Funds 2060 Target Date Retirement Fund,American Funds Target Date Retirement Series,equity,passive,19476181741.22,target_date
S000015557,American Funds 2020 Target Date Retirement Income Fund,American Funds Target Date Retirement Series,equity,passive,14874362199.07,target_date
S000056748,VANGUARD TARGET RETIREMENT 2065 FUND,VANGUARD CHESTER FUNDS,equity,passive,13754603440.83,target_retirement
S000027920,Direxion Daily Semiconductor Bull 3X Shares,Direxion Shares ETF Trust,multi_asset,passive,12059334515.01,leveraged_digit_x
S000006827,ProShares Ultra QQQ,ProShares Trust,balanced,passive,9863934193.39,qqq
S000067479,American Funds 2065 Target Date Retirement Fund,American Funds Target Date Retirement Series,equity,passive,6447123854.74,target_date
S000015556,American Funds 2015 Target Date Retirement Income Fund,American Funds Target Date Retirement Series,equity,passive,4680700593.57,target_date
S000015555,American Funds 2010 Target Date Retirement Income Fund,American Funds Target Date Retirement Series,equity,passive,3879256693.26,target_date
S000023809,Direxion Daily Technology Bull 3X Shares,Direxion Shares ETF Trust,balanced,passive,3860084552.56,leveraged_digit_x
S000046038,State Street Target Retirement 2035 Fund,STATE STREET INSTITUTIONAL INVESTMENT TRUST,equity,passive,3521725695.83,target_retirement
S000046037,State Street Target Retirement 2030 Fund,STATE STREET INSTITUTIONAL INVESTMENT TRUST,equity,passive,3344922513.44,target_retirement
S000046039,State Street Target Retirement 2040 Fund,STATE STREET INSTITUTIONAL INVESTMENT TRUST,equity,passive,3311103583.29,target_retirement
S000046040,State Street Target Retirement 2045 Fund,STATE STREET INSTITUTIONAL INVESTMENT TRUST,equity,passive,3091371243.69,target_retirement
S000046023,State Street Target Retirement 2050 Fund,STATE STREET INSTITUTIONAL INVESTMENT TRUST,equity,passive,2682379788.5,target_retirement
S000075611,VANGUARD TARGET RETIREMENT 2070 FUND,VANGUARD CHESTER FUNDS,equity,passive,2456912672.86,target_retirement
S000022761,Direxion Daily Financial Bull 3X Shares,Direxion Shares ETF Trust,balanced,passive,2357126867.76,leveraged_digit_x
S000046024,State Street Target Retirement 2055 Fund,STATE STREET INSTITUTIONAL INVESTMENT TRUST,equity,passive,2089907679.07,target_retirement
S000046036,State Street Target Retirement 2025 Fund,STATE STREET INSTITUTIONAL INVESTMENT TRUST,equity,passive,1921553078.35,target_retirement
S000014258,ProShares Ultra Semiconductors,ProShares Trust,multi_asset,passive,1662808962.21,proshares
S000022786,Direxion Daily Small Cap Bull 3X Shares,Direxion Shares ETF Trust,balanced,passive,1583002536.67,leveraged_digit_x
S000046025,State Street Target Retirement 2060 Fund,STATE STREET INSTITUTIONAL INVESTMENT TRUST,equity,passive,1520522741.09,target_retirement
S000046033,State Street Target Retirement Fund,STATE STREET INSTITUTIONAL INVESTMENT TRUST,equity,passive,1492648560.46,target_retirement
S000003066,ULTRANASDAQ-100 PROFUND,ProFunds,balanced,passive,1171239557.32,profund
S000046035,State Street Target Retirement 2020 Fund,STATE STREET INSTITUTIONAL INVESTMENT TRUST,equity,passive,897792889.97,target_retirement
S000014260,ProShares Ultra Technology,ProShares Trust,balanced,passive,760943307.29,proshares
S000024918,ProShares UltraPro Dow30,ProShares Trust,balanced,passive,753860087.79,proshares
S000014252,ProShares Ultra Financials,ProShares Trust,balanced,passive,703158891.37,proshares
S000029341,Direxion Daily Regional Banks Bull 3X Shares,Direxion Shares ETF Trust,balanced,passive,586876935.02,leveraged_digit_x
S000049373,Direxion Daily S&P Biotech Bull 3X Shares,Direxion Shares ETF Trust,multi_asset,passive,576365747.91,leveraged_digit_x
S000067189,American Funds IS 2010 Target Date Fund,AMERICAN FUNDS INSURANCE SERIES,equity,passive,561957989.49,target_date
S000003096,SEMICONDUCTOR ULTRASECTOR PROFUND,ProFunds,balanced,passive,550855735.33,profund
S000022763,Direxion Daily Homebuilders & Supplies Bull 3X Shares,Direxion Shares ETF Trust,balanced,passive,544080013.08,leveraged_digit_x
S000067360,State Street Target Retirement 2065 Fund,STATE STREET INSTITUTIONAL INVESTMENT TRUST,equity,passive,524256090.26,target_retirement
S000006826,ProShares Ultra Dow30,ProShares Trust,balanced,passive,509169011.19,proshares
S000083553,American Funds 2070 Target Date Retirement Fund,American Funds Target Date Retirement Series,equity,passive,488734786.35,target_date
S000057185,Direxion Daily Aerospace & Defense Bull 3X Shares,Direxion Shares ETF Trust,balanced,passive,483911644.14,leveraged_digit_x
S000020962,ProShares Large Cap Core Plus,ProShares Trust,equity,passive,482800342.37,proshares
S000024921,ProShares UltraPro Russell2000,ProShares Trust,multi_asset,passive,339486013.84,proshares
S000003958,PROFUND VP ULTRANASDAQ-100,ProFunds,balanced,passive,303411105.78,profund
S000014248,ProShares Ultra Russell2000,ProShares Trust,balanced,passive,282497219.34,proshares
S000022760,Direxion Daily Energy Bull 2X Shares,Direxion Shares ETF Trust,balanced,passive,271222232.53,leveraged_digit_x
S000039455,VOYA TARGET RETIREMENT 2035 FUND,Voya Separate Portfolios Trust,equity,passive,262190520.49,target_retirement
S000049375,Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 2X Shares,Direxion Shares ETF Trust,balanced,passive,259836177.49,leveraged_digit_x
S000050929,DIMENSIONAL 2045 TARGET DATE RETIREMENT INCOME FUND,DFA INVESTMENT DIMENSIONS GROUP INC,equity,passive,229789667.69,target_date
S000039457,VOYA TARGET RETIREMENT 2045 FUND,Voya Separate Portfolios Trust,equity,passive,227333099.74,target_retirement
S000050930,DIMENSIONAL 2050 TARGET DATE RETIREMENT INCOME FUND,DFA INVESTMENT DIMENSIONS GROUP INC,equity,passive,200359004.61,target_date
S000050940,DIMENSIONAL 2040 TARGET DATE RETIREMENT INCOME FUND,DFA INVESTMENT DIMENSIONS GROUP INC,equity,passive,199837952.6,target_date
S000039454,VOYA TARGET RETIREMENT 2030 FUND,Voya Separate Portfolios Trust,equity,passive,196849420.74,target_retirement
S000050939,DIMENSIONAL 2035 TARGET DATE RETIREMENT INCOME FUND,DFA INVESTMENT DIMENSIONS GROUP INC,equity,passive,191862314.86,target_date
S000003107,BIOTECHNOLOGY ULTRASECTOR PROFUND,ProFunds,balanced,passive,177372784.88,profund
S000003062,ULTRABULL PROFUND,ProFunds,balanced,passive,172211446.83,profund
S000027486,Direxion Daily Healthcare Bull 3X Shares,Direxion Shares ETF Trust,balanced,passive,164922804.5,leveraged_digit_x
S000039459,VOYA TARGET RETIREMENT 2055 FUND,Voya Separate Portfolios Trust,equity,passive,158255865.03,target_retirement
S000050938,DIMENSIONAL 2030 TARGET DATE RETIREMENT INCOME FUND,DFA INVESTMENT DIMENSIONS GROUP INC,equity,passive,155170612.16,target_date
S000039453,VOYA TARGET RETIREMENT 2025 FUND,Voya Separate Portfolios Trust,equity,passive,152253031.53,target_retirement
S000006825,ProShares Ultra MidCap400,ProShares Trust,balanced,passive,151570331.76,proshares
